Country,NUTS2_ID,NUTS_NAME,NUTS1_ID,Growth_Rate
ALB,AL01,Veri,AL0,0.9546542577491279
ALB,AL02,Qender,AL0,0.12541656175608595
ALB,AL03,Jug,AL0,0.14828871480404082
AUT,AT11,Burgenland,AT1,0.4457208114520258
AUT,AT12,Niederösterreich,AT1,0.22469252579403753
AUT,AT13,Wien,AT1,0.6159403872482369
AUT,AT21,Kärnten,AT2,0.5438305287290357
AUT,AT22,Steiermark,AT2,0.8466476876033119
AUT,AT31,Oberösterreich,AT3,0.3723242142962817
AUT,AT32,Salzburg,AT3,0.1276697619426319
AUT,AT33,Tirol,AT3,0.4271302447853129
AUT,AT34,Vorarlberg,AT3,0.9970272585722035
BEL,BE22,Prov. Limburg (BE),BE2,0.07667376247548863
BEL,BE23,Prov. Oost-Vlaanderen,BE2,0.23252054858574855
BEL,BE34,Prov. Luxembourg (BE),BE3,0.0959361683229798
BEL,BE35,Prov. Namur,BE3,0.4147511283349301
BEL,BE24,Prov. Vlaams-Brabant,BE2,0.8697937684706786
BEL,BE25,Prov. West-Vlaanderen,BE2,0.7623306729957985
BEL,BE31,Prov. Brabant wallon,BE3,0.13716172939809845
BEL,BE32,Prov. Hainaut,BE3,0.8124357081754299
BEL,BE33,Prov. Liège,BE3,0.013776520208434118
BEL,BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,BE1,0.7521913589044641
BEL,BE21,Prov. Antwerpen,BE2,0.10607147846763243
BGR,BG31,Severozapaden,BG3,0.6063296387067274
BGR,BG32,Severen tsentralen,BG3,0.8050629806364696
BGR,BG33,Severoiztochen,BG3,0.4016047911632342
BGR,BG34,Yugoiztochen,BG3,0.8920588093108862
BGR,BG41,Yugozapaden,BG4,0.8638232537795542
BGR,BG42,Yuzhen tsentralen,BG4,0.44538064071938743
CHE,CH07,Ticino,CH0,0.944150915393988
CHE,CH01,Région lémanique,CH0,0.10732378082721228
CHE,CH02,Espace Mittelland,CH0,0.936829119605681
CHE,CH03,Nordwestschweiz,CH0,0.5030888537909819
CHE,CH04,Zürich,CH0,0.6671730130810684
CHE,CH05,Ostschweiz,CH0,0.3517366861670852
CHE,CH06,Zentralschweiz,CH0,0.5723291451162136
CYP,CY00,Kýpros,CY0,0.879029597659979
CZE,CZ02,Střední Čechy,CZ0,0.9797764819791189
CZE,CZ03,Jihozápad,CZ0,0.8035121068654989
CZE,CZ04,Severozápad,CZ0,0.31795271287569826
CZE,CZ05,Severovýchod,CZ0,0.5254335569759742
CZE,CZ06,Jihovýchod,CZ0,0.6452773812749012
CZE,CZ07,Střední Morava,CZ0,0.19727586618535287
CZE,CZ08,Moravskoslezsko,CZ0,0.15183715823166677
CZE,CZ01,Praha,CZ0,0.06631918499324918
DEU,DEB1,Koblenz,DEB,0.2516590647404363
DEU,DEB2,Trier,DEB,0.8959338231256436
DEU,DE13,Freiburg,DE1,0.4985814027584503
DEU,DE72,Gießen,DE7,0.23426643985346085
DEU,DEB3,Rheinhessen-Pfalz,DEB,0.4205367979204524
DEU,DE14,Tübingen,DE1,0.5326087476737956
DEU,DE73,Kassel,DE7,0.9519508574316218
DEU,DEC0,Saarland,DEC,0.2737635639462287
DEU,DE21,Oberbayern,DE2,0.8387054788772824
DEU,DEG0,Thüringen,DEG,0.11820364663199279
DEU,DE22,Niederbayern,DE2,0.5670013949212125
DEU,DE80,Mecklenburg-Vorpommern,DE8,0.1485165558003696
DEU,DE23,Oberpfalz,DE2,0.39927238652788666
DEU,DE91,Braunschweig,DE9,0.6268503521108433
DEU,DE24,Oberfranken,DE2,0.5025462850182992
DEU,DE92,Hannover,DE9,0.8164793107314572
DEU,DED2,Dresden,DED,0.46259018685022657
DEU,DE25,Mittelfranken,DE2,0.29996105835776155
DEU,DE93,Lüneburg,DE9,0.673239121527005
DEU,DED4,Chemnitz,DED,0.9413092372182049
DEU,DE26,Unterfranken,DE2,0.38651630747805255
DEU,DE94,Weser-Ems,DE9,0.9024942918305106
DEU,DED5,Leipzig,DED,0.9160336785342299
DEU,DEA1,Düsseldorf,DEA,0.3706962470777535
DEU,DE27,Schwaben,DE2,0.27239155528467507
DEU,DE30,Berlin,DE3,0.27968909145009035
DEU,DEA2,Köln,DEA,0.5629291167219439
DEU,DEE0,Sachsen-Anhalt,DEE,0.14170944090932902
DEU,DEA3,Münster,DEA,0.8682322059203079
DEU,DE40,Brandenburg,DE4,0.21287961413769751
DEU,DE50,Bremen,DE5,0.08722197909178464
DEU,DEA4,Detmold,DEA,0.8086076364182831
DEU,DEF0,Schleswig-Holstein,DEF,0.7240379272274311
DEU,DE11,Stuttgart,DE1,0.2504790504909584
DEU,DE60,Hamburg,DE6,0.332707780489816
DEU,DEA5,Arnsberg,DEA,0.7846267706806256
DEU,DE71,Darmstadt,DE7,0.5521927485027953
DEU,DE12,Karlsruhe,DE1,0.6458861283486302
DNK,DK01,Hovedstaden,DK0,0.8440237666036389
DNK,DK02,Sjælland,DK0,0.9267110802823257
DNK,DK03,Syddanmark,DK0,0.562362382101931
DNK,DK04,Midtjylland,DK0,0.23853114765425276
DNK,DK05,Nordjylland,DK0,0.5586374090994949
ESP,ES22,Comunidad Foral de Navarra,ES2,0.5754977105641911
ESP,ES30,Comunidad de Madrid,ES3,0.7886978196156997
ESP,ES53,Illes Balears,ES5,0.05230418874585108
ESP,ES41,Castilla y León,ES4,0.6428715615116173
ESP,ES61,Andalucía,ES6,0.5059259557506726
ESP,ES62,Región de Murcia,ES6,0.08282614039699587
ESP,ES63,Ciudad de Ceuta,ES6,0.5042652734615529
ESP,ES64,Ciudad de Melilla,ES6,0.6303347107053726
ESP,ES42,Castilla-La Mancha,ES4,0.02308677546913107
ESP,ES43,Extremadura,ES4,0.5556524988570832
ESP,ES51,Cataluña,ES5,0.9074740467411981
ESP,ES52,Comunitat Valenciana ,ES5,0.53895465764192
ESP,ES11,Galicia,ES1,0.46055453101005084
ESP,ES23,La Rioja,ES2,0.5808025043256071
ESP,ES12,Principado de Asturias,ES1,0.953702592666416
ESP,ES13,Cantabria,ES1,0.625806165795071
ESP,ES24,Aragón,ES2,0.7440451127403254
ESP,ES21,País Vasco,ES2,0.34543481680026267
EST,EE00,Eesti,EE0,0.025241878642514592
FIN,FI19,Länsi-Suomi,FI1,0.7584204443001465
FIN,FI1B,Helsinki-Uusimaa,FI1,0.8880858760729627
FIN,FI1C,Etelä-Suomi,FI1,0.5044116970433891
FIN,FI1D,Pohjois- ja Itä-Suomi,FI1,0.9789174003957025
FIN,FI20,Åland,FI2,0.5446818593012894
FRA,FRI1,Aquitaine,FRI,0.8669498139468698
FRA,FRE2,Picardie,FRE,0.49842975432610825
FRA,FR10,Ile-de-France,FR1,0.7215379714023806
FRA,FRJ2,Midi-Pyrénées,FRJ,0.9427417051050079
FRA,FRF1,Alsace,FRF,0.10407763237419732
FRA,FRB0,Centre — Val de Loire,FRB,0.5816542553372488
FRA,FRK1,Auvergne,FRK,0.16156950140675985
FRA,FRF2,Champagne-Ardenne,FRF,0.5710143055637216
FRA,FRI2,Limousin,FRI,0.5734936144152647
FRA,FRC1,Bourgogne,FRC,0.22422132401020056
FRA,FRF3,Lorraine,FRF,0.5927072814033876
FRA,FRI3,Poitou-Charentes,FRI,0.06759718668059544
FRA,FRC2,Franche-Comté,FRC,0.7616989690550635
FRA,FRG0,Pays de la Loire,FRG,0.9857593253743286
FRA,FRJ1,Languedoc-Roussillon,FRJ,0.6155092455209529
FRA,FRD1,Basse-Normandie ,FRD,0.9784060599077332
FRA,FRD2,Haute-Normandie ,FRD,0.033661632554139564
FRA,FRE1,Nord-Pas de Calais,FRE,0.052975977142980746
FRA,FRH0,Bretagne,FRH,0.22680179448168336
FRA,FRK2,Rhône-Alpes,FRK,0.5279270817484479
FRA,FRL0,Provence-Alpes-Côte d’Azur,FRL,0.049992387945982486
FRA,FRM0,Corse,FRM,0.18083544873148139
HRV,HR02,Panonska Hrvatska,HR0,0.7879318069688748
HRV,HR03,Jadranska Hrvatska,HR0,0.7399698992679229
HRV,HR05,Grad Zagreb,HR0,0.08492069797860569
HRV,HR06,Sjeverna Hrvatska,HR0,0.46428387544055416
HUN,HU22,Nyugat-Dunántúl,HU2,0.8284318359073548
HUN,HU23,Dél-Dunántúl,HU2,0.15016679208633676
HUN,HU32,Észak-Alföld,HU3,0.9891414575144608
HUN,HU33,Dél-Alföld,HU3,0.6028773654127134
HUN,HU11,Budapest,HU1,0.4967597734057213
HUN,HU12,Pest,HU1,0.8126364559196319
HUN,HU31,Észak-Magyarország,HU3,0.6758146078514111
HUN,HU21,Közép-Dunántúl,HU2,0.0711807861434357
IRL,IE04,Northern and Western,IE0,0.42485486776540426
IRL,IE05,Southern,IE0,0.9416820959885664
IRL,IE06,Eastern and Midland,IE0,0.6877792039576767
ISL,IS00,Ísland,IS0,0.7647429318258976
ITA,ITI3,Marche,ITI,0.19629646658959055
ITA,ITI4,Lazio,ITI,0.3370577734681204
ITA,ITI1,Toscana,ITI,0.6030716289642573
ITA,ITI2,Umbria,ITI,0.1594507740104506
ITA,ITF6,Calabria,ITF,0.5948725577284586
ITA,ITG1,Sicilia,ITG,0.8997412366170691
ITA,ITH3,Veneto,ITH,0.16173403627666727
ITA,ITH4,Friuli-Venezia Giulia,ITH,0.9755464643348774
ITA,ITH5,Emilia-Romagna,ITH,0.7301682458879668
ITA,ITC1,Piemonte,ITC,0.4974077063460294
ITA,ITC2,Valle d’Aosta/Vallée d’Aoste,ITC,0.606575604680947
ITA,ITC3,Liguria,ITC,0.8659895012279791
ITA,ITG2,Sardegna,ITG,0.6847912118346404
ITA,ITH1,Provincia Autonoma di Bolzano/Bozen,ITH,0.06572801657131422
ITA,ITH2,Provincia Autonoma di Trento,ITH,0.5812308896751751
ITA,ITC4,Lombardia,ITC,0.11685769649981559
ITA,ITF1,Abruzzo,ITF,0.02747274569716629
ITA,ITF2,Molise,ITF,0.5771531614007429
ITA,ITF3,Campania,ITF,0.5929734667166603
ITA,ITF4,Puglia,ITF,0.3346664808307155
ITA,ITF5,Basilicata,ITF,0.052407938260730424
LIE,LI00,Liechtenstein,LI0,0.9819727477057176
LTU,LT01,Sostinės regionas,LT0,0.6738593750780951
LTU,LT02,Vidurio ir vakarų Lietuvos regionas ,LT0,0.311191986373199
LUX,LU00,Luxembourg,LU0,0.2660867620145456
LVA,LV00,Latvija,LV0,0.915764969661386
MKD,MK00,Severna Makedonija ,MK0,0.5948574286390061
MLT,MT00,Malta,MT0,0.6312053095550394
MNE,ME00,Crna Gora,ME0,0.4207205804116908
NLD,NL41,Noord-Brabant,NL4,0.13060629878884122
NLD,NL42,Limburg (NL),NL4,0.27771234955174107
NLD,NL11,Groningen,NL1,0.2985737333049646
NLD,NL12,Friesland (NL),NL1,0.8914169682868482
NLD,NL13,Drenthe,NL1,0.4311069976495333
NLD,NL21,Overijssel,NL2,0.9368515115663174
NLD,NL22,Gelderland,NL2,0.930161057762202
NLD,NL23,Flevoland,NL2,0.14041193401484064
NLD,NL32,Noord-Holland,NL3,0.2882034336880157
NLD,NL34,Zeeland,NL3,0.08875148863158122
NLD,NL35,Utrecht,NL3,0.7689391865831559
NLD,NL36,Zuid-Holland,NL3,0.9619769650596475
NOR,NO02,Innlandet,NO0,0.9983964795805887
NOR,NO08,Oslo og Viken,NO0,0.4162144879068106
NOR,NO06,Trøndelag/Trööndelage,NO0,0.23146733129368036
NOR,NO07,Nord-Norge,NO0,0.5541968099503122
NOR,NO0A,Vestlandet,NO0,0.023046919820164824
NOR,NO0B,Svalbard og Jan Mayen,NO0,0.9975387652608539
NOR,NO09,Agder og Sør-Østlandet,NO0,0.5610961311596059
POL,PL61,Kujawsko-pomorskie,PL6,0.0607168210112935
POL,PL62,Warmińsko-mazurskie,PL6,0.7809167218320421
POL,PL22,Śląskie,PL2,0.7367843382141206
POL,PL63,Pomorskie,PL6,0.4329614610890026
POL,PL21,Małopolskie,PL2,0.5070592291264677
POL,PL71,Łódzkie,PL7,0.02514675666944599
POL,PL72,Świętokrzyskie,PL7,0.0909922367741296
