Country,NUTS2_ID,NUTS_NAME,NUTS1_ID,Growth_Rate
ALB,AL01,Veri,AL0,0.06925779719305991
ALB,AL02,Qender,AL0,0.6328797585271402
ALB,AL03,Jug,AL0,0.5824066898326449
AUT,AT11,Burgenland,AT1,0.6729052690586539
AUT,AT12,Niederösterreich,AT1,0.4926691164341185
AUT,AT13,Wien,AT1,0.872497966842388
AUT,AT21,Kärnten,AT2,0.9710968965705014
AUT,AT22,Steiermark,AT2,0.6712907162509766
AUT,AT31,Oberösterreich,AT3,0.19769728068098524
AUT,AT32,Salzburg,AT3,0.2370088139271218
AUT,AT33,Tirol,AT3,0.2638796074130617
AUT,AT34,Vorarlberg,AT3,0.7611189963166486
BEL,BE22,Prov. Limburg (BE),BE2,0.893812049901266
BEL,BE23,Prov. Oost-Vlaanderen,BE2,0.49736547260053854
BEL,BE34,Prov. Luxembourg (BE),BE3,0.44473144911594387
BEL,BE35,Prov. Namur,BE3,0.6278374945198586
BEL,BE24,Prov. Vlaams-Brabant,BE2,0.27985797929721945
BEL,BE25,Prov. West-Vlaanderen,BE2,0.14186255011555948
BEL,BE31,Prov. Brabant wallon,BE3,0.29683351002906644
BEL,BE32,Prov. Hainaut,BE3,0.07641322946319351
BEL,BE33,Prov. Liège,BE3,0.9808546766535059
BEL,BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,BE1,0.6753961186651308
BEL,BE21,Prov. Antwerpen,BE2,0.2756391904982636
BGR,BG31,Severozapaden,BG3,0.7588960745460087
BGR,BG32,Severen tsentralen,BG3,0.06806861092592698
BGR,BG33,Severoiztochen,BG3,0.18868082475400116
BGR,BG34,Yugoiztochen,BG3,0.5824194716916293
BGR,BG41,Yugozapaden,BG4,0.10164593686211176
BGR,BG42,Yuzhen tsentralen,BG4,0.3542003244546602
CHE,CH07,Ticino,CH0,0.5882720590179382
CHE,CH01,Région lémanique,CH0,0.3520337245402496
CHE,CH02,Espace Mittelland,CH0,0.8669498328423357
CHE,CH03,Nordwestschweiz,CH0,0.4335433854244719
CHE,CH04,Zürich,CH0,0.5228978847647577
CHE,CH05,Ostschweiz,CH0,0.7404685304053725
CHE,CH06,Zentralschweiz,CH0,0.4907953312311778
CYP,CY00,Kýpros,CY0,0.34275649892763416
CZE,CZ02,Střední Čechy,CZ0,0.4441135323649279
CZE,CZ03,Jihozápad,CZ0,0.18029986874477533
CZE,CZ04,Severozápad,CZ0,0.2833929670394991
CZE,CZ05,Severovýchod,CZ0,0.1390595619980728
CZE,CZ06,Jihovýchod,CZ0,0.7666629337141967
CZE,CZ07,Střední Morava,CZ0,0.19694078534705595
CZE,CZ08,Moravskoslezsko,CZ0,0.9755776780332978
CZE,CZ01,Praha,CZ0,0.5031990087933548
DEU,DEB1,Koblenz,DEB,0.4640836875069787
DEU,DEB2,Trier,DEB,0.8473951155369231
DEU,DE13,Freiburg,DE1,0.3655547084757099
DEU,DE72,Gießen,DE7,0.38274950960154464
DEU,DEB3,Rheinhessen-Pfalz,DEB,0.40704525178003315
DEU,DE14,Tübingen,DE1,0.21053508660935283
DEU,DE73,Kassel,DE7,0.6813928094241225
DEU,DEC0,Saarland,DEC,0.6132379487358998
DEU,DE21,Oberbayern,DE2,0.617063103317758
DEU,DEG0,Thüringen,DEG,0.05812705178328326
DEU,DE22,Niederbayern,DE2,0.23906680164581573
DEU,DE80,Mecklenburg-Vorpommern,DE8,0.028462441847381115
DEU,DE23,Oberpfalz,DE2,0.7491078968715555
DEU,DE91,Braunschweig,DE9,0.4849996721883614
DEU,DE24,Oberfranken,DE2,0.11473503163941212
DEU,DE92,Hannover,DE9,0.06131282675442318
DEU,DED2,Dresden,DED,0.9119381883114839
DEU,DE25,Mittelfranken,DE2,0.36349217911638965
DEU,DE93,Lüneburg,DE9,0.5577701697849357
DEU,DED4,Chemnitz,DED,0.9004538652124909
DEU,DE26,Unterfranken,DE2,0.04897446655282489
DEU,DE94,Weser-Ems,DE9,0.06207354583594804
DEU,DED5,Leipzig,DED,0.6340160316723477
DEU,DEA1,Düsseldorf,DEA,0.35427850890696577
DEU,DE27,Schwaben,DE2,0.15930798457648743
DEU,DE30,Berlin,DE3,0.6131868778179265
DEU,DEA2,Köln,DEA,0.3789518542858076
DEU,DEE0,Sachsen-Anhalt,DEE,0.06822886608580991
DEU,DEA3,Münster,DEA,0.06498659324789857
DEU,DE40,Brandenburg,DE4,0.3764725123751935
DEU,DE50,Bremen,DE5,0.3148846307774339
DEU,DEA4,Detmold,DEA,0.49598813306530243
DEU,DEF0,Schleswig-Holstein,DEF,0.5724652206994436
DEU,DE11,Stuttgart,DE1,0.9753100971428529
DEU,DE60,Hamburg,DE6,0.5384281035713787
DEU,DEA5,Arnsberg,DEA,0.7426679067190134
DEU,DE71,Darmstadt,DE7,0.20128353983546654
DEU,DE12,Karlsruhe,DE1,0.8092276580231341
DNK,DK01,Hovedstaden,DK0,0.6154326647080683
DNK,DK02,Sjælland,DK0,0.2845599276157633
DNK,DK03,Syddanmark,DK0,0.9498564280308102
DNK,DK04,Midtjylland,DK0,0.9168248753633866
DNK,DK05,Nordjylland,DK0,0.7354193069634313
ESP,ES22,Comunidad Foral de Navarra,ES2,0.08030340939635594
ESP,ES30,Comunidad de Madrid,ES3,0.8792963060607358
ESP,ES53,Illes Balears,ES5,0.7810612204175327
ESP,ES41,Castilla y León,ES4,0.5452644969430572
ESP,ES61,Andalucía,ES6,0.45381697562635315
ESP,ES62,Región de Murcia,ES6,0.6744289511092215
ESP,ES63,Ciudad de Ceuta,ES6,0.37704605388947554
ESP,ES64,Ciudad de Melilla,ES6,0.0020971059837980865
ESP,ES42,Castilla-La Mancha,ES4,0.5251473633145589
ESP,ES43,Extremadura,ES4,0.8696203298749123
ESP,ES51,Cataluña,ES5,0.7078198645496939
ESP,ES52,Comunitat Valenciana ,ES5,0.24875436657189376
ESP,ES11,Galicia,ES1,0.20668769596590786
ESP,ES23,La Rioja,ES2,0.11004742827875591
ESP,ES12,Principado de Asturias,ES1,0.5972358794254725
ESP,ES13,Cantabria,ES1,0.48507758650480626
ESP,ES24,Aragón,ES2,0.9625563389124627
ESP,ES21,País Vasco,ES2,0.8647407682356387
EST,EE00,Eesti,EE0,0.4056328750986665
