parent,child,Count,Growth_Rate,Type
,Arr. Oostende,1936,0.04893131743687573,Overall
Arr. Oostende,Technology,223,0.79979593791649,Sector
Arr. Oostende,Healthcare,144,0.1433007327585033,Sector
Arr. Oostende,Finance,197,0.6620888517985052,Sector
Arr. Oostende,Energy,88,0.17856335323498473,Sector
Arr. Oostende,Consumer Goods,208,0.6438805559544911,Sector
Arr. Oostende,Utilities,166,0.7440570637646612,Sector
Arr. Oostende,Real Estate,219,0.3861003044902279,Sector
Arr. Oostende,Telecommunications,105,0.2851175925085636,Sector
Arr. Oostende,Materials,205,0.8166394269987041,Sector
Arr. Oostende,Industrials,157,0.3483920718555761,Sector
Arr. Oostende,Consumer Services,39,0.593347901249969,Sector
Arr. Oostende,Transportation,185,0.6752373917307608,Sector
Technology,Software,98,0.15337241953773895,Industry
Technology,Hardware,59,0.03342399027180931,Industry
Technology,IT Services,66,0.6328943243842817,Industry
Healthcare,Pharmaceuticals,44,0.6806631568284186,Industry
Healthcare,Medical Devices,31,0.10961498209681342,Industry
Healthcare,Healthcare Services,69,0.6543567159700657,Industry
Finance,Banking,87,0.3175271363863339,Industry
Finance,Insurance,37,0.6923784361476358,Industry
Finance,Investment Services,73,0.32796482874561006,Industry
Energy,Oil & Gas,23,0.8101748554514265,Industry
Energy,Renewable Energy,10,0.19580356078874306,Industry
Energy,Energy Exploration,55,0.4272831558646579,Industry
Consumer Goods,Food & Beverage,99,0.11108863133725277,Industry
Consumer Goods,Household Products,26,0.8069342211708729,Industry
Consumer Goods,Apparel,83,0.223942381118723,Industry
Utilities,Electric,33,0.2712988215528256,Industry
Utilities,Water,41,0.2894407708174016,Industry
Utilities,Gas,92,0.6867595333196915,Industry
Real Estate,Residential,54,0.536669737746663,Industry
Real Estate,Commercial,66,0.37145911330012116,Industry
Real Estate,Industrial,99,0.9484382125601445,Industry
Telecommunications,Mobile,66,0.5462710369057994,Industry
Telecommunications,Broadband,0,0.9422996561687357,Industry
Telecommunications,Satellite,39,0.0038426905928282684,Industry
Materials,Chemicals,84,0.9041115884611148,Industry
Materials,Metals & Mining,53,0.6204656856634022,Industry
Materials,Construction Materials,68,0.8702688940818634,Industry
Industrials,Aerospace & Defense,29,0.9291344597222926,Industry
Industrials,Machinery,49,0.7812168538648333,Industry
Industrials,Industrial Services,79,0.5867669924777346,Industry
Consumer Services,Retail,28,0.5290290117630059,Industry
Consumer Services,Travel & Leisure,0,0.22263358276241774,Industry
Consumer Services,Media,11,0.9833510933940569,Industry
Transportation,Airlines,73,0.7651450305900889,Industry
Transportation,Railroads,66,0.19599648421930893,Industry
Transportation,Logistics,46,0.18373287463834875,Industry
