parent,child,Count,Growth_Rate,Type
,Kyustendil,2024,0.1567840201999342,Overall
Kyustendil,Technology,175,0.28958015482155686,Sector
Kyustendil,Healthcare,117,0.704575318020161,Sector
Kyustendil,Finance,138,0.5833678453561268,Sector
Kyustendil,Energy,125,0.6783865608839166,Sector
Kyustendil,Consumer Goods,219,0.08144104219410842,Sector
Kyustendil,Utilities,99,0.45954070490484433,Sector
Kyustendil,Real Estate,226,0.06232407029992593,Sector
Kyustendil,Telecommunications,117,0.6748157198983495,Sector
Kyustendil,Materials,207,0.5469584617140729,Sector
Kyustendil,Industrials,240,0.9585721980740253,Sector
Kyustendil,Consumer Services,203,0.3680182164079687,Sector
Kyustendil,Transportation,158,0.9280893723998057,Sector
Technology,Software,74,0.9588035837696318,Industry
Technology,Hardware,98,0.36910391123123265,Industry
Technology,IT Services,3,0.7848905548797522,Industry
Healthcare,Pharmaceuticals,62,0.6088258818650739,Industry
Healthcare,Medical Devices,11,0.32751952412883356,Industry
Healthcare,Healthcare Services,44,0.8320970025682269,Industry
Finance,Banking,88,0.472019489867159,Industry
Finance,Insurance,19,0.9880273197960191,Industry
Finance,Investment Services,31,0.38060005398274166,Industry
Energy,Oil & Gas,27,0.049225786587366094,Industry
Energy,Renewable Energy,43,0.6510659348590988,Industry
Energy,Energy Exploration,55,0.5606220326104059,Industry
Consumer Goods,Food & Beverage,74,0.10487410249730822,Industry
Consumer Goods,Household Products,77,0.17154858559575525,Industry
Consumer Goods,Apparel,68,0.1724496121074781,Industry
Utilities,Electric,11,0.5888047089350651,Industry
Utilities,Water,60,0.36004341094383385,Industry
Utilities,Gas,28,0.5378310779614308,Industry
Real Estate,Residential,77,0.2592733945432095,Industry
Real Estate,Commercial,66,0.770713921441621,Industry
Real Estate,Industrial,83,0.31220824356978394,Industry
Telecommunications,Mobile,91,0.22245745429876074,Industry
Telecommunications,Broadband,6,0.666186898642877,Industry
Telecommunications,Satellite,20,0.04139775364751741,Industry
Materials,Chemicals,91,0.8619617276302813,Industry
Materials,Metals & Mining,88,0.05101882081268172,Industry
Materials,Construction Materials,28,0.9972296408915047,Industry
Industrials,Aerospace & Defense,87,0.8995804620737423,Industry
Industrials,Machinery,70,0.9021749229162482,Industry
Industrials,Industrial Services,83,0.5365866391802199,Industry
Consumer Services,Retail,60,0.17990710489214345,Industry
Consumer Services,Travel & Leisure,72,0.5525372578768519,Industry
Consumer Services,Media,71,0.7899970490399542,Industry
Transportation,Airlines,58,0.5802575192399471,Industry
Transportation,Railroads,21,0.9991376208228545,Industry
Transportation,Logistics,79,0.24652608476633286,Industry
