parent,child,Count,Growth_Rate,Type
,"Passau, Landkreis",1735,0.7497052739054304,Overall
"Passau, Landkreis",Technology,68,0.3935652530406816,Sector
"Passau, Landkreis",Healthcare,65,0.5307826014059575,Sector
"Passau, Landkreis",Finance,100,0.6832657181734952,Sector
"Passau, Landkreis",Energy,138,0.9327492013230846,Sector
"Passau, Landkreis",Consumer Goods,246,0.17576129377771477,Sector
"Passau, Landkreis",Utilities,203,0.5090081651539603,Sector
"Passau, Landkreis",Real Estate,50,0.04570930097628312,Sector
"Passau, Landkreis",Telecommunications,134,0.22366693340998123,Sector
"Passau, Landkreis",Materials,112,0.16339374636627535,Sector
"Passau, Landkreis",Industrials,158,0.9693294031636408,Sector
"Passau, Landkreis",Consumer Services,206,0.2738495552768695,Sector
"Passau, Landkreis",Transportation,255,0.3926384486459614,Sector
Technology,Software,7,0.4801932011229516,Industry
Technology,Hardware,11,0.08928832021375921,Industry
Technology,IT Services,50,0.7134811883567802,Industry
Healthcare,Pharmaceuticals,30,0.03407490335877317,Industry
Healthcare,Medical Devices,0,0.5329713932861518,Industry
Healthcare,Healthcare Services,35,0.2958057445169586,Industry
Finance,Banking,37,0.35088846202768564,Industry
Finance,Insurance,41,0.030164473652827928,Industry
Finance,Investment Services,22,0.36538377780585873,Industry
Energy,Oil & Gas,30,0.9868878324213284,Industry
Energy,Renewable Energy,99,0.07565250467655749,Industry
Energy,Energy Exploration,9,0.7674568862383966,Industry
Consumer Goods,Food & Beverage,83,0.4848767235291853,Industry
Consumer Goods,Household Products,89,0.5345210558168692,Industry
Consumer Goods,Apparel,74,0.05402692931426256,Industry
Utilities,Electric,90,0.7013507652552758,Industry
Utilities,Water,74,0.5638234417479199,Industry
Utilities,Gas,39,0.350907531135746,Industry
Real Estate,Residential,9,0.33425170040584185,Industry
Real Estate,Commercial,38,0.4673343611291112,Industry
Real Estate,Industrial,3,0.33804714443073514,Industry
Telecommunications,Mobile,12,0.5180680433786806,Industry
Telecommunications,Broadband,74,0.2985766992330485,Industry
Telecommunications,Satellite,48,0.5880487650301881,Industry
Materials,Chemicals,50,0.4328457646767012,Industry
Materials,Metals & Mining,17,0.4693719963491626,Industry
Materials,Construction Materials,45,0.37300832863285793,Industry
Industrials,Aerospace & Defense,74,0.5888712476208644,Industry
Industrials,Machinery,49,0.15564316220620478,Industry
Industrials,Industrial Services,35,0.7379821837797923,Industry
Consumer Services,Retail,10,0.31653759206817456,Industry
Consumer Services,Travel & Leisure,98,0.7244276133736283,Industry
Consumer Services,Media,98,0.9294860754208203,Industry
Transportation,Airlines,93,0.4039533964420955,Industry
Transportation,Railroads,88,0.7994297065601949,Industry
Transportation,Logistics,74,0.7958130743939046,Industry
