parent,child,Count,Growth_Rate,Type
,Donau-Ries,1753,0.244571695246106,Overall
Donau-Ries,Technology,148,0.39007904625238243,Sector
Donau-Ries,Healthcare,195,0.45141306218754307,Sector
Donau-Ries,Finance,174,0.05305702018211067,Sector
Donau-Ries,Energy,169,0.887165389066316,Sector
Donau-Ries,Consumer Goods,90,0.12408801637778599,Sector
Donau-Ries,Utilities,168,0.36929430645175443,Sector
Donau-Ries,Real Estate,128,0.5874883956657122,Sector
Donau-Ries,Telecommunications,114,0.9192394600689612,Sector
Donau-Ries,Materials,141,0.020745119858269323,Sector
Donau-Ries,Industrials,138,0.996751361169326,Sector
Donau-Ries,Consumer Services,153,0.8598823483967566,Sector
Donau-Ries,Transportation,135,0.21830356581996202,Sector
Technology,Software,31,0.5034203549402494,Industry
Technology,Hardware,96,0.9035623677180447,Industry
Technology,IT Services,21,0.919655115589572,Industry
Healthcare,Pharmaceuticals,85,0.42541782375213444,Industry
Healthcare,Medical Devices,76,0.7461263085367498,Industry
Healthcare,Healthcare Services,34,0.310893937773718,Industry
Finance,Banking,83,0.2801655581914464,Industry
Finance,Insurance,81,0.43322135281858043,Industry
Finance,Investment Services,10,0.07375809848276416,Industry
Energy,Oil & Gas,68,0.11439577935498157,Industry
Energy,Renewable Energy,95,0.8203476886936202,Industry
Energy,Energy Exploration,6,0.28328536788204217,Industry
Consumer Goods,Food & Beverage,48,0.512859967379772,Industry
Consumer Goods,Household Products,30,0.497197437588899,Industry
Consumer Goods,Apparel,12,0.0019630493258421255,Industry
Utilities,Electric,63,0.055830539958325764,Industry
Utilities,Water,91,0.2146874714822784,Industry
Utilities,Gas,14,0.7548436851050506,Industry
Real Estate,Residential,19,0.8329144849491136,Industry
Real Estate,Commercial,84,0.07963139096797678,Industry
Real Estate,Industrial,25,0.951831230693758,Industry
Telecommunications,Mobile,22,0.5872434661749298,Industry
Telecommunications,Broadband,18,0.3284640255834086,Industry
Telecommunications,Satellite,74,0.07475460235092357,Industry
Materials,Chemicals,87,0.12541900307511633,Industry
Materials,Metals & Mining,34,0.6093937289954747,Industry
Materials,Construction Materials,20,0.3016022212574688,Industry
Industrials,Aerospace & Defense,72,0.6969056415843149,Industry
Industrials,Machinery,6,0.46982990644464007,Industry
Industrials,Industrial Services,60,0.6242636051517102,Industry
Consumer Services,Retail,81,0.028889664189498343,Industry
Consumer Services,Travel & Leisure,58,0.8153514683546916,Industry
Consumer Services,Media,14,0.49904443051468905,Industry
Transportation,Airlines,11,0.3913877468051009,Industry
Transportation,Railroads,96,0.7263971814648612,Industry
Transportation,Logistics,28,0.18188682900026176,Industry
