parent,child,Count,Growth_Rate,Type
,"Köln, Kreisfreie Stadt",2190,0.7715604681749983,Overall
"Köln, Kreisfreie Stadt",Technology,71,0.7007257842826018,Sector
"Köln, Kreisfreie Stadt",Healthcare,237,0.8361663923902467,Sector
"Köln, Kreisfreie Stadt",Finance,169,0.9815263719982996,Sector
"Köln, Kreisfreie Stadt",Energy,113,0.291605134288517,Sector
"Köln, Kreisfreie Stadt",Consumer Goods,268,0.7702291642553543,Sector
"Köln, Kreisfreie Stadt",Utilities,221,0.5497984549290366,Sector
"Köln, Kreisfreie Stadt",Real Estate,183,0.35118236973974604,Sector
"Köln, Kreisfreie Stadt",Telecommunications,176,0.9116415631955966,Sector
"Köln, Kreisfreie Stadt",Materials,192,0.562436776231781,Sector
"Köln, Kreisfreie Stadt",Industrials,176,0.5726010310704015,Sector
"Köln, Kreisfreie Stadt",Consumer Services,186,0.7737370630916545,Sector
"Köln, Kreisfreie Stadt",Transportation,198,0.7354956237045013,Sector
Technology,Software,5,0.5936879308888844,Industry
Technology,Hardware,31,0.9251285818508389,Industry
Technology,IT Services,35,0.8592299984474182,Industry
Healthcare,Pharmaceuticals,86,0.1350484235545203,Industry
Healthcare,Medical Devices,85,0.8317665922531429,Industry
Healthcare,Healthcare Services,66,0.3245861268407332,Industry
Finance,Banking,10,0.6940250646179389,Industry
Finance,Insurance,79,0.9027133629031528,Industry
Finance,Investment Services,80,0.9191339619413638,Industry
Energy,Oil & Gas,76,0.3451969550415369,Industry
Energy,Renewable Energy,8,0.4375186035166272,Industry
Energy,Energy Exploration,29,0.5170745092195064,Industry
Consumer Goods,Food & Beverage,85,0.5074728419767457,Industry
Consumer Goods,Household Products,95,0.2796295651814865,Industry
Consumer Goods,Apparel,88,0.12143599777338443,Industry
Utilities,Electric,59,0.5390804779895301,Industry
Utilities,Water,91,0.9675512742464343,Industry
Utilities,Gas,71,0.7583278311840105,Industry
Real Estate,Residential,34,0.8754847375030567,Industry
Real Estate,Commercial,61,0.9729908097361453,Industry
Real Estate,Industrial,88,0.11270196842698277,Industry
Telecommunications,Mobile,92,0.5718770320519291,Industry
Telecommunications,Broadband,76,0.5840827813275961,Industry
Telecommunications,Satellite,8,0.43477521361958205,Industry
Materials,Chemicals,95,0.9731351363090669,Industry
Materials,Metals & Mining,45,0.5160460264365767,Industry
Materials,Construction Materials,52,0.41403765624468813,Industry
Industrials,Aerospace & Defense,81,0.8936012944891812,Industry
Industrials,Machinery,60,0.6618465329912087,Industry
Industrials,Industrial Services,35,0.4512600628662444,Industry
Consumer Services,Retail,47,0.9342616074315004,Industry
Consumer Services,Travel & Leisure,53,0.03450451287040257,Industry
Consumer Services,Media,86,0.4905152842235436,Industry
Transportation,Airlines,68,0.7823139393284199,Industry
Transportation,Railroads,50,0.4480971211833711,Industry
Transportation,Logistics,80,0.5183686655820192,Industry
