parent,child,Count,Growth_Rate,Type
,Vogtlandkreis,2125,0.7382366849651888,Overall
Vogtlandkreis,Technology,221,0.9249942168820181,Sector
Vogtlandkreis,Healthcare,156,0.4788731158714947,Sector
Vogtlandkreis,Finance,137,0.4288686526820923,Sector
Vogtlandkreis,Energy,244,0.8370653155574758,Sector
Vogtlandkreis,Consumer Goods,174,0.7671960349046875,Sector
Vogtlandkreis,Utilities,174,0.02433659341798111,Sector
Vogtlandkreis,Real Estate,187,0.25384131012554545,Sector
Vogtlandkreis,Telecommunications,140,0.9977720625081633,Sector
Vogtlandkreis,Materials,171,0.6660047052230487,Sector
Vogtlandkreis,Industrials,136,0.6633134084632014,Sector
Vogtlandkreis,Consumer Services,158,0.48752581981564047,Sector
Vogtlandkreis,Transportation,227,0.9342797142208743,Sector
Technology,Software,69,0.1847700206692483,Industry
Technology,Hardware,55,0.8426529369825763,Industry
Technology,IT Services,97,0.526734878343793,Industry
Healthcare,Pharmaceuticals,59,0.8645748477352581,Industry
Healthcare,Medical Devices,54,0.6625749834145142,Industry
Healthcare,Healthcare Services,43,0.3684097189314307,Industry
Finance,Banking,51,0.43195519819472694,Industry
Finance,Insurance,83,0.5134140106575684,Industry
Finance,Investment Services,3,0.45005692991095214,Industry
Energy,Oil & Gas,90,0.9608553560545695,Industry
Energy,Renewable Energy,78,0.12822771303465919,Industry
Energy,Energy Exploration,76,0.3616139696898718,Industry
Consumer Goods,Food & Beverage,53,0.9320372957842858,Industry
Consumer Goods,Household Products,94,0.29670082531285213,Industry
Consumer Goods,Apparel,27,0.4284954049194064,Industry
Utilities,Electric,82,0.4931334196631174,Industry
Utilities,Water,92,0.768849178060436,Industry
Utilities,Gas,0,1.6888842079176847e-05,Industry
Real Estate,Residential,40,0.26996093848334735,Industry
Real Estate,Commercial,84,0.8855579923587589,Industry
Real Estate,Industrial,63,0.7229172921282718,Industry
Telecommunications,Mobile,96,0.6609183365808898,Industry
Telecommunications,Broadband,21,0.11963142414131345,Industry
Telecommunications,Satellite,23,0.0260070766550895,Industry
Materials,Chemicals,47,0.24092268283135232,Industry
Materials,Metals & Mining,81,0.8252843780944703,Industry
Materials,Construction Materials,43,0.5531837264846693,Industry
Industrials,Aerospace & Defense,59,0.6935422736638015,Industry
Industrials,Machinery,65,0.3032456507798815,Industry
Industrials,Industrial Services,12,0.06244119850157803,Industry
Consumer Services,Retail,49,0.97568231303314,Industry
Consumer Services,Travel & Leisure,38,0.31362494523549744,Industry
Consumer Services,Media,71,0.9230859965308729,Industry
Transportation,Airlines,46,0.08057966509521897,Industry
Transportation,Railroads,95,0.9651220317231743,Industry
Transportation,Logistics,86,0.3498582905017035,Industry
