parent,child,Count,Growth_Rate,Type
,Vicenza,1734,0.21400526070515835,Overall
Vicenza,Technology,93,0.6080117752713454,Sector
Vicenza,Healthcare,180,0.2860333858181022,Sector
Vicenza,Finance,155,0.7215906580836595,Sector
Vicenza,Energy,248,0.0718973073138297,Sector
Vicenza,Consumer Goods,59,0.5590680904302576,Sector
Vicenza,Utilities,132,0.21810593635403208,Sector
Vicenza,Real Estate,137,0.8850078909163464,Sector
Vicenza,Telecommunications,91,0.21988752880575801,Sector
Vicenza,Materials,207,0.7677557710926655,Sector
Vicenza,Industrials,166,0.7150324578124239,Sector
Vicenza,Consumer Services,142,0.976305975343741,Sector
Vicenza,Transportation,124,0.5467739224090521,Sector
Technology,Software,10,0.9352378587134756,Industry
Technology,Hardware,31,0.5677028623698349,Industry
Technology,IT Services,52,0.37809191590272184,Industry
Healthcare,Pharmaceuticals,29,0.7316974070055808,Industry
Healthcare,Medical Devices,68,0.8101726126975239,Industry
Healthcare,Healthcare Services,83,0.8615745140863101,Industry
Finance,Banking,10,0.03008745249013689,Industry
Finance,Insurance,62,0.9063504152666606,Industry
Finance,Investment Services,83,0.625045851990476,Industry
Energy,Oil & Gas,54,0.21908415611451193,Industry
Energy,Renewable Energy,98,0.6046368769050887,Industry
Energy,Energy Exploration,96,0.6488419073705103,Industry
Consumer Goods,Food & Beverage,11,0.3067585502218976,Industry
Consumer Goods,Household Products,14,0.07264885078107941,Industry
Consumer Goods,Apparel,34,0.12417060886695708,Industry
Utilities,Electric,7,0.651754656010333,Industry
Utilities,Water,72,0.23554551920419242,Industry
Utilities,Gas,53,0.4183054875046359,Industry
Real Estate,Residential,34,0.09601405050825562,Industry
Real Estate,Commercial,99,0.9306214818587485,Industry
Real Estate,Industrial,4,0.2453499801037432,Industry
Telecommunications,Mobile,17,0.08575190231162244,Industry
Telecommunications,Broadband,64,0.5188887624931269,Industry
Telecommunications,Satellite,10,0.15955062546975018,Industry
Materials,Chemicals,71,0.16703398938788339,Industry
Materials,Metals & Mining,39,0.7803302105192925,Industry
Materials,Construction Materials,97,0.449854194362594,Industry
Industrials,Aerospace & Defense,96,0.19594570729341965,Industry
Industrials,Machinery,8,0.6498311477741291,Industry
Industrials,Industrial Services,62,0.9549061048612284,Industry
Consumer Services,Retail,28,0.7620673654181785,Industry
Consumer Services,Travel & Leisure,46,0.25044770813169415,Industry
Consumer Services,Media,68,0.7972473772536733,Industry
Transportation,Airlines,23,0.5398748386255117,Industry
Transportation,Railroads,23,0.8468963664201683,Industry
Transportation,Logistics,78,0.11240811628569558,Industry
