parent,child,Count,Growth_Rate,Type
,Frosinone,1655,0.0830657262392599,Overall
Frosinone,Technology,123,0.1393678887972527,Sector
Frosinone,Healthcare,63,0.7598462543396235,Sector
Frosinone,Finance,126,0.5295013562651457,Sector
Frosinone,Energy,94,0.5020167421163064,Sector
Frosinone,Consumer Goods,106,0.20956234649114613,Sector
Frosinone,Utilities,161,0.32666501498687306,Sector
Frosinone,Real Estate,163,0.8288630893517975,Sector
Frosinone,Telecommunications,100,0.0015996469684368408,Sector
Frosinone,Materials,240,0.525947393174801,Sector
Frosinone,Industrials,175,0.5298867230055937,Sector
Frosinone,Consumer Services,150,0.6483230614510685,Sector
Frosinone,Transportation,154,0.8390838753079171,Sector
Technology,Software,40,0.017620250482180633,Industry
Technology,Hardware,28,0.7902839900127026,Industry
Technology,IT Services,55,0.3255992275503359,Industry
Healthcare,Pharmaceuticals,5,0.09540319530025498,Industry
Healthcare,Medical Devices,44,0.8342644485993901,Industry
Healthcare,Healthcare Services,14,0.4217468528087631,Industry
Finance,Banking,31,0.8433422935868152,Industry
Finance,Insurance,6,0.8323461641811563,Industry
Finance,Investment Services,89,0.4662944971757792,Industry
Energy,Oil & Gas,74,0.23184541035803807,Industry
Energy,Renewable Energy,10,0.04170702663112147,Industry
Energy,Energy Exploration,10,0.9489976319176454,Industry
Consumer Goods,Food & Beverage,72,0.04590308085801209,Industry
Consumer Goods,Household Products,34,0.9263838783992266,Industry
Consumer Goods,Apparel,0,0.26837684050553545,Industry
Utilities,Electric,10,0.062406367545447594,Industry
Utilities,Water,66,0.7601334086972417,Industry
Utilities,Gas,85,0.33210297224071983,Industry
Real Estate,Residential,72,0.48720666295709547,Industry
Real Estate,Commercial,51,0.4174113571090412,Industry
Real Estate,Industrial,40,0.8393152127698086,Industry
Telecommunications,Mobile,15,0.39180886880744303,Industry
Telecommunications,Broadband,85,0.3334109954400152,Industry
Telecommunications,Satellite,0,0.7426288967893665,Industry
Materials,Chemicals,88,0.4062919917609831,Industry
Materials,Metals & Mining,76,0.24230552096779656,Industry
Materials,Construction Materials,76,0.5334897453079824,Industry
Industrials,Aerospace & Defense,56,0.5498837153016423,Industry
Industrials,Machinery,23,0.6046588974609151,Industry
Industrials,Industrial Services,96,0.525367573373735,Industry
Consumer Services,Retail,49,0.9774465318865666,Industry
Consumer Services,Travel & Leisure,53,0.5361050156307365,Industry
Consumer Services,Media,48,0.21069762303780581,Industry
Transportation,Airlines,79,0.47918375277811875,Industry
Transportation,Railroads,32,0.9160423351995425,Industry
Transportation,Logistics,43,0.2716370597224633,Industry
