parent,child,Count,Growth_Rate,Type
,Kauno apskritis,1566,0.02844467148449048,Overall
Kauno apskritis,Technology,123,0.9426562005513375,Sector
Kauno apskritis,Healthcare,128,0.035251123243550064,Sector
Kauno apskritis,Finance,96,0.655019951982118,Sector
Kauno apskritis,Energy,229,0.34450580165548994,Sector
Kauno apskritis,Consumer Goods,125,0.05192716404759179,Sector
Kauno apskritis,Utilities,156,0.9572326029918349,Sector
Kauno apskritis,Real Estate,119,0.2065431910995419,Sector
Kauno apskritis,Telecommunications,80,0.38780924481929646,Sector
Kauno apskritis,Materials,138,0.44361999997045576,Sector
Kauno apskritis,Industrials,114,0.4345052138431763,Sector
Kauno apskritis,Consumer Services,227,0.43260311476211966,Sector
Kauno apskritis,Transportation,31,0.29907598948926273,Sector
Technology,Software,45,0.2968044916997825,Industry
Technology,Hardware,77,0.8126175399703276,Industry
Technology,IT Services,1,0.13141918588095347,Industry
Healthcare,Pharmaceuticals,18,0.48690868235096774,Industry
Healthcare,Medical Devices,69,0.67869481518008,Industry
Healthcare,Healthcare Services,41,0.8353610735833907,Industry
Finance,Banking,13,0.451294057890235,Industry
Finance,Insurance,21,0.8003012183365932,Industry
Finance,Investment Services,62,0.7746362170985284,Industry
Energy,Oil & Gas,81,0.41518128792582965,Industry
Energy,Renewable Energy,78,0.16079350085159372,Industry
Energy,Energy Exploration,70,0.5036216049494066,Industry
Consumer Goods,Food & Beverage,25,0.8055111908666229,Industry
Consumer Goods,Household Products,70,0.3464865392010934,Industry
Consumer Goods,Apparel,30,0.26964813825849865,Industry
Utilities,Electric,98,0.6821750632710022,Industry
Utilities,Water,17,0.14756071392130599,Industry
Utilities,Gas,41,0.10381561305715992,Industry
Real Estate,Residential,49,0.37724664883229475,Industry
Real Estate,Commercial,16,0.03302957102942783,Industry
Real Estate,Industrial,54,0.4070279452706853,Industry
Telecommunications,Mobile,74,0.2827263573357719,Industry
Telecommunications,Broadband,6,0.6980600516103598,Industry
Telecommunications,Satellite,0,0.582991405365327,Industry
Materials,Chemicals,22,0.7662249957711564,Industry
Materials,Metals & Mining,34,0.21962777915187837,Industry
Materials,Construction Materials,82,0.26251933882397616,Industry
Industrials,Aerospace & Defense,14,0.23412599254822353,Industry
Industrials,Machinery,4,0.0020204873635728537,Industry
Industrials,Industrial Services,96,0.007208995846628596,Industry
Consumer Services,Retail,82,0.5046755488710969,Industry
Consumer Services,Travel & Leisure,94,0.65198146005552,Industry
Consumer Services,Media,51,0.011382279878460855,Industry
Transportation,Airlines,7,0.04112302866170181,Industry
Transportation,Railroads,14,0.2785615938530115,Industry
Transportation,Logistics,10,0.03246065083217997,Industry
