parent,child,Count,Growth_Rate,Type
,Rīga,1809,0.5169479171720667,Overall
Rīga,Technology,212,0.9838459710644941,Sector
Rīga,Healthcare,221,0.8143393255898986,Sector
Rīga,Finance,48,0.7638221564425336,Sector
Rīga,Energy,119,0.07503028066410211,Sector
Rīga,Consumer Goods,145,0.3808224291186234,Sector
Rīga,Utilities,69,0.2028799846035736,Sector
Rīga,Real Estate,137,0.8765025918401967,Sector
Rīga,Telecommunications,145,0.9684318767835741,Sector
Rīga,Materials,186,0.8724639153481207,Sector
Rīga,Industrials,176,0.7431297610178488,Sector
Rīga,Consumer Services,175,0.07445422450194994,Sector
Rīga,Transportation,176,0.5396218218698098,Sector
Technology,Software,75,0.44069835861009976,Industry
Technology,Hardware,64,0.6293040844295935,Industry
Technology,IT Services,73,0.039284701586180804,Industry
Healthcare,Pharmaceuticals,61,0.07881144370746773,Industry
Healthcare,Medical Devices,69,0.04901346118578276,Industry
Healthcare,Healthcare Services,91,0.35750941210353526,Industry
Finance,Banking,21,0.9943464744454765,Industry
Finance,Insurance,22,0.5095502937413757,Industry
Finance,Investment Services,5,0.6633739262684769,Industry
Energy,Oil & Gas,27,0.3423425892597335,Industry
Energy,Renewable Energy,1,0.6074012450972679,Industry
Energy,Energy Exploration,91,0.6220403906717169,Industry
Consumer Goods,Food & Beverage,38,0.12055574482164688,Industry
Consumer Goods,Household Products,67,0.7732555569919211,Industry
Consumer Goods,Apparel,40,0.5585615575464458,Industry
Utilities,Electric,41,0.16559831558279114,Industry
Utilities,Water,9,0.04669429491463739,Industry
Utilities,Gas,19,0.2273207199941133,Industry
Real Estate,Residential,31,0.17179622895868463,Industry
Real Estate,Commercial,47,0.8567006466823802,Industry
Real Estate,Industrial,59,0.49252465505033416,Industry
Telecommunications,Mobile,82,0.1838037550448539,Industry
Telecommunications,Broadband,21,0.726306965204892,Industry
Telecommunications,Satellite,42,0.6556340371839425,Industry
Materials,Chemicals,83,0.03441081224390674,Industry
Materials,Metals & Mining,80,0.32194098891633605,Industry
Materials,Construction Materials,23,0.9103976443272983,Industry
Industrials,Aerospace & Defense,83,0.06338834718597741,Industry
Industrials,Machinery,90,0.41503118213331835,Industry
Industrials,Industrial Services,3,0.2563089407197304,Industry
Consumer Services,Retail,24,0.9664237543895269,Industry
Consumer Services,Travel & Leisure,57,0.4240299017305983,Industry
Consumer Services,Media,94,0.8226890419292407,Industry
Transportation,Airlines,79,0.5798394319449848,Industry
Transportation,Railroads,73,0.22395578757530565,Industry
Transportation,Logistics,24,0.2383382397262649,Industry
