parent,child,Count,Growth_Rate,Type
,Alkmaar en omgeving,1966,0.536562711635132,Overall
Alkmaar en omgeving,Technology,142,0.6815314427403887,Sector
Alkmaar en omgeving,Healthcare,132,0.4584370840761197,Sector
Alkmaar en omgeving,Finance,130,0.5502434645510124,Sector
Alkmaar en omgeving,Energy,151,0.6934815839358307,Sector
Alkmaar en omgeving,Consumer Goods,220,0.38848845050027403,Sector
Alkmaar en omgeving,Utilities,186,0.9707685915765487,Sector
Alkmaar en omgeving,Real Estate,132,0.8672390329419135,Sector
Alkmaar en omgeving,Telecommunications,145,0.034544206512059805,Sector
Alkmaar en omgeving,Materials,263,0.38850857980415965,Sector
Alkmaar en omgeving,Industrials,198,0.860319479581673,Sector
Alkmaar en omgeving,Consumer Services,146,0.5886652142292758,Sector
Alkmaar en omgeving,Transportation,121,0.7539304132108082,Sector
Technology,Software,43,0.3353956619469525,Industry
Technology,Hardware,35,0.5656329416574368,Industry
Technology,IT Services,64,0.6950841324913196,Industry
Healthcare,Pharmaceuticals,78,0.9535441153806924,Industry
Healthcare,Medical Devices,12,0.4043538700161149,Industry
Healthcare,Healthcare Services,42,0.9779741584848297,Industry
Finance,Banking,37,0.24143566963626484,Industry
Finance,Insurance,37,0.2686168145700897,Industry
Finance,Investment Services,56,0.5677140089793151,Industry
Energy,Oil & Gas,18,0.023690838179709517,Industry
Energy,Renewable Energy,46,0.36373492993506074,Industry
Energy,Energy Exploration,87,0.5226666057200845,Industry
Consumer Goods,Food & Beverage,80,0.47050299234189596,Industry
Consumer Goods,Household Products,48,0.7225944737423896,Industry
Consumer Goods,Apparel,92,0.3722507464926942,Industry
Utilities,Electric,99,0.6470518546051212,Industry
Utilities,Water,63,0.6122050842987466,Industry
Utilities,Gas,24,0.7322741828296797,Industry
Real Estate,Residential,22,0.5591759209184324,Industry
Real Estate,Commercial,46,0.9998602149685735,Industry
Real Estate,Industrial,64,0.20976119410202665,Industry
Telecommunications,Mobile,4,0.7320712021972742,Industry
Telecommunications,Broadband,77,0.5144923545178028,Industry
Telecommunications,Satellite,64,0.7313312771684757,Industry
Materials,Chemicals,89,0.5764147043246116,Industry
Materials,Metals & Mining,86,0.1878227850986791,Industry
Materials,Construction Materials,88,0.177210606024382,Industry
Industrials,Aerospace & Defense,90,0.590508985951382,Industry
Industrials,Machinery,48,0.5500759003234731,Industry
Industrials,Industrial Services,60,0.5766933739873019,Industry
Consumer Services,Retail,21,0.5307315079730104,Industry
Consumer Services,Travel & Leisure,68,0.8685096418509943,Industry
Consumer Services,Media,57,0.255428568701877,Industry
Transportation,Airlines,26,0.978943368424364,Industry
Transportation,Railroads,30,0.6269633402869501,Industry
Transportation,Logistics,65,0.39410296497803854,Industry
