parent,child,Count,Growth_Rate,Type
,Galaţi,1465,0.6533867760994523,Overall
Galaţi,Technology,269,0.19590692406072374,Sector
Galaţi,Healthcare,96,0.9688289547465934,Sector
Galaţi,Finance,143,0.13948574303859396,Sector
Galaţi,Energy,131,0.963902283183672,Sector
Galaţi,Consumer Goods,64,0.35330293536883695,Sector
Galaţi,Utilities,92,0.4741406307777124,Sector
Galaţi,Real Estate,116,0.6348264374994338,Sector
Galaţi,Telecommunications,95,0.11677114805816347,Sector
Galaţi,Materials,140,0.5003957904041074,Sector
Galaţi,Industrials,42,0.06743009758038321,Sector
Galaţi,Consumer Services,128,0.6989335742968363,Sector
Galaţi,Transportation,149,0.4773609033701164,Sector
Technology,Software,86,0.009969202845076075,Industry
Technology,Hardware,98,0.27053899011861526,Industry
Technology,IT Services,85,0.6349284553472652,Industry
Healthcare,Pharmaceuticals,23,0.2098639286949996,Industry
Healthcare,Medical Devices,0,0.591618730277936,Industry
Healthcare,Healthcare Services,73,0.5837048910820706,Industry
Finance,Banking,58,0.6091299416483956,Industry
Finance,Insurance,17,0.5372137134793221,Industry
Finance,Investment Services,68,0.07338300710133605,Industry
Energy,Oil & Gas,47,0.19255583185849479,Industry
Energy,Renewable Energy,6,0.446441559541116,Industry
Energy,Energy Exploration,78,0.5956154650822105,Industry
Consumer Goods,Food & Beverage,16,0.6950231646080675,Industry
Consumer Goods,Household Products,32,0.3298126384189509,Industry
Consumer Goods,Apparel,16,0.9827293536074453,Industry
Utilities,Electric,46,0.49297991713224043,Industry
Utilities,Water,27,0.6112078894102994,Industry
Utilities,Gas,19,0.30383936459720895,Industry
Real Estate,Residential,42,0.19404484467306327,Industry
Real Estate,Commercial,60,0.8147876465680849,Industry
Real Estate,Industrial,14,0.3973058736411097,Industry
Telecommunications,Mobile,17,0.6370723119228119,Industry
Telecommunications,Broadband,9,0.6391062374404659,Industry
Telecommunications,Satellite,69,0.03366426444994852,Industry
Materials,Chemicals,52,0.22962742170173756,Industry
Materials,Metals & Mining,35,0.3690339808427082,Industry
Materials,Construction Materials,53,0.04277511396503764,Industry
Industrials,Aerospace & Defense,2,0.38483667056350324,Industry
Industrials,Machinery,9,0.8904651194766529,Industry
Industrials,Industrial Services,31,0.871914523646503,Industry
Consumer Services,Retail,65,0.3180291378713609,Industry
Consumer Services,Travel & Leisure,58,0.26894302493911126,Industry
Consumer Services,Media,5,0.03943617079864781,Industry
Transportation,Airlines,30,0.3321700588710883,Industry
Transportation,Railroads,74,0.1460221467020244,Industry
Transportation,Logistics,45,0.9434336789039311,Industry
