parent,child,Count,Growth_Rate,Type
,Trnavský kraj,1856,0.05162459645839279,Overall
Trnavský kraj,Technology,77,0.07170986091918086,Sector
Trnavský kraj,Healthcare,210,0.10800692865658945,Sector
Trnavský kraj,Finance,101,0.5496619795776595,Sector
Trnavský kraj,Energy,184,0.41668357095259934,Sector
Trnavský kraj,Consumer Goods,117,0.18818148994186468,Sector
Trnavský kraj,Utilities,142,0.5779473645873623,Sector
Trnavský kraj,Real Estate,165,0.6475516819164419,Sector
Trnavský kraj,Telecommunications,258,0.9988274474123022,Sector
Trnavský kraj,Materials,176,0.32921796850531804,Sector
Trnavský kraj,Industrials,107,0.7547495894261129,Sector
Trnavský kraj,Consumer Services,138,0.6279411082350417,Sector
Trnavský kraj,Transportation,181,0.8061433517924949,Sector
Technology,Software,13,0.9391825041286369,Industry
Technology,Hardware,54,0.7991860354467658,Industry
Technology,IT Services,10,0.9256933489212065,Industry
Healthcare,Pharmaceuticals,87,0.8146088787913988,Industry
Healthcare,Medical Devices,25,0.286522125999374,Industry
Healthcare,Healthcare Services,98,0.8647501630174389,Industry
Finance,Banking,58,0.8066693803394066,Industry
Finance,Insurance,25,0.8339174694390814,Industry
Finance,Investment Services,18,0.6621898745753003,Industry
Energy,Oil & Gas,98,0.7709122729195628,Industry
Energy,Renewable Energy,35,0.5366494319472789,Industry
Energy,Energy Exploration,51,0.569914964871351,Industry
Consumer Goods,Food & Beverage,14,0.29595011767488033,Industry
Consumer Goods,Household Products,9,0.25537608910545906,Industry
Consumer Goods,Apparel,94,0.7867128276194881,Industry
Utilities,Electric,16,0.6905805247526965,Industry
Utilities,Water,84,0.6384853824383446,Industry
Utilities,Gas,42,0.7745531324226179,Industry
Real Estate,Residential,12,0.10327394759653497,Industry
Real Estate,Commercial,82,0.6879629833142333,Industry
Real Estate,Industrial,71,0.7247448510384227,Industry
Telecommunications,Mobile,82,0.7070239388158859,Industry
Telecommunications,Broadband,81,0.32734716994621327,Industry
Telecommunications,Satellite,95,0.5673222379011723,Industry
Materials,Chemicals,51,0.7131629695470021,Industry
Materials,Metals & Mining,69,0.9565415633786419,Industry
Materials,Construction Materials,56,0.18369138822315378,Industry
Industrials,Aerospace & Defense,66,0.15272703986588565,Industry
Industrials,Machinery,8,0.7507240043526547,Industry
Industrials,Industrial Services,33,0.2043295958310617,Industry
Consumer Services,Retail,42,0.17135636955728606,Industry
Consumer Services,Travel & Leisure,78,0.5867624940015903,Industry
Consumer Services,Media,18,0.05171784125848178,Industry
Transportation,Airlines,71,0.37282541134265035,Industry
Transportation,Railroads,81,0.7027648017922545,Industry
Transportation,Logistics,29,0.8237561019528091,Industry
