Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756748,True,False,False,Low
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756749,False,True,False,Severe
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756750,False,True,True,Low
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756751,True,True,False,Low
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756752,True,False,False,Low
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756753,True,True,False,Low
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756754,False,True,False,Medium
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756755,False,False,True,Medium
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756756,False,False,True,Severe
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756757,True,True,False,High
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756758,True,False,False,High
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756759,True,False,False,Low
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756760,True,True,False,Medium
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756761,False,True,True,Severe
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756762,False,True,True,Medium
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756763,False,False,True,Medium
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756764,True,True,False,Severe
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756765,False,False,True,High
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756766,False,True,True,Low
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756767,True,False,False,High
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756768,False,True,False,Medium
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756769,False,True,False,Low
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756771,True,False,False,High
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756773,True,False,False,Low
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756774,True,True,False,Low
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756775,True,False,False,Low
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756776,False,True,False,High
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756777,True,True,False,Low
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756778,True,True,False,Low
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756779,True,False,False,High
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756781,True,True,False,Medium
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756783,True,True,False,Medium
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756784,False,True,True,Low
ALB,Large,Technology,Software,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756785,True,True,False,High
ALB,Large,Technology,Hardware,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756787,True,False,False,High
ALB,Large,Technology,Hardware,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756788,True,False,False,Severe
ALB,Large,Technology,Hardware,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756789,True,False,False,Medium
ALB,Large,Technology,Hardware,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756790,True,True,False,Medium
ALB,Large,Technology,Hardware,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756791,False,True,False,Severe
ALB,Large,Technology,Hardware,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756792,True,True,False,Low
ALB,Large,Technology,Hardware,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756793,True,True,False,Medium
ALB,Large,Technology,Hardware,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756794,True,False,False,Low
ALB,Large,Technology,Hardware,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756795,True,True,False,Medium
ALB,Large,Technology,Hardware,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756796,True,True,False,Low
ALB,Large,Technology,Hardware,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756798,True,False,False,High
ALB,Large,Technology,Hardware,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756800,False,True,False,Medium
ALB,Large,Technology,Hardware,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756801,True,False,False,Medium
ALB,Large,Technology,Hardware,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756802,True,False,False,Low
ALB,Large,Technology,Hardware,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756803,False,True,False,Medium
ALB,Large,Technology,Hardware,"Dibër, Veri, Shqipëria, ALB",AL011,,,Name756804,True,False,False,Medium
