Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139521,False,True,True,Low
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139522,True,False,False,Medium
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139523,True,True,False,Severe
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139524,True,True,False,High
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139525,False,True,True,High
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139526,True,False,False,Medium
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139528,True,False,False,Severe
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139530,False,True,False,Medium
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139531,True,False,False,Low
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139532,True,False,False,Severe
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139533,False,True,False,Medium
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139534,False,True,True,High
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139535,True,True,False,Low
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139538,True,False,False,High
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139539,True,False,False,Severe
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139540,True,True,False,Medium
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139542,False,False,True,High
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139543,True,True,False,Low
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139544,True,True,False,Severe
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139546,False,True,False,Severe
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139547,True,False,False,High
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139548,False,True,False,Low
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139549,False,False,True,High
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139550,True,False,False,High
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139551,False,True,False,Medium
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139552,True,True,False,High
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139553,False,True,True,High
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139554,False,True,True,High
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139555,False,False,True,High
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139556,True,True,False,High
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139558,True,False,False,High
BGR,Large,Technology,Software,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139559,False,False,True,Medium
BGR,Large,Technology,Hardware,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139560,True,True,False,Low
BGR,Large,Technology,Hardware,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139561,True,False,False,Severe
BGR,Large,Technology,Hardware,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139562,True,False,False,Low
BGR,Large,Technology,Hardware,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139564,True,True,False,High
BGR,Large,Technology,Hardware,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139565,False,False,True,Severe
BGR,Large,Technology,Hardware,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139566,True,False,False,Medium
BGR,Large,Technology,Hardware,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139567,True,False,False,Medium
BGR,Large,Technology,Hardware,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139569,True,True,False,Medium
BGR,Large,Technology,Hardware,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139570,True,True,False,High
BGR,Large,Technology,Hardware,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139571,True,True,False,High
BGR,Large,Technology,Hardware,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139572,False,True,False,High
BGR,Large,Technology,Hardware,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139573,True,True,False,Medium
BGR,Large,Technology,Hardware,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139574,True,True,False,Severe
BGR,Large,Technology,Hardware,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139575,True,False,False,Low
BGR,Large,Technology,Hardware,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139576,False,True,False,Low
BGR,Large,Technology,Hardware,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139577,False,True,True,Medium
BGR,Large,Technology,Hardware,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139579,False,False,True,Low
BGR,Large,Technology,Hardware,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139580,True,False,False,Severe
BGR,Large,Technology,Hardware,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139581,False,False,True,Low
BGR,Large,Technology,Hardware,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139582,False,False,True,High
BGR,Large,Technology,Hardware,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139583,True,True,False,High
BGR,Large,Technology,Hardware,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139584,False,True,False,High
BGR,Large,Technology,Hardware,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139585,True,False,False,Low
BGR,Large,Technology,Hardware,"Veliko Tarnovo, Severen tsentralen, Severna i Yugoiztochna Bulgaria, BGR",BG321,,,Name1139587,True,False,False,Medium
