Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
DEU,Large,Technology,Software,"Erding, Oberbayern, Bayern, DEU",DE21A,,,Name1604035,True,True,False,High
DEU,Large,Technology,Software,"Erding, Oberbayern, Bayern, DEU",DE21A,,,Name1604036,False,True,True,Low
DEU,Large,Technology,Software,"Erding, Oberbayern, Bayern, DEU",DE21A,,,Name1604037,False,True,False,High
DEU,Large,Technology,Software,"Erding, Oberbayern, Bayern, DEU",DE21A,,,Name1604038,False,True,True,Medium
DEU,Large,Technology,Software,"Erding, Oberbayern, Bayern, DEU",DE21A,,,Name1604039,True,False,False,Low
DEU,Large,Technology,Software,"Erding, Oberbayern, Bayern, DEU",DE21A,,,Name1604040,True,False,False,Medium
DEU,Large,Technology,Software,"Erding, Oberbayern, Bayern, DEU",DE21A,,,Name1604041,True,True,False,High
DEU,Large,Technology,Software,"Erding, Oberbayern, Bayern, DEU",DE21A,,,Name1604043,True,True,False,High
DEU,Large,Technology,Software,"Erding, Oberbayern, Bayern, DEU",DE21A,,,Name1604044,False,False,True,High
DEU,Large,Technology,Software,"Erding, Oberbayern, Bayern, DEU",DE21A,,,Name1604045,True,False,False,Severe
DEU,Large,Technology,Software,"Erding, Oberbayern, Bayern, DEU",DE21A,,,Name1604046,True,False,False,Low
DEU,Large,Technology,Software,"Erding, Oberbayern, Bayern, DEU",DE21A,,,Name1604047,True,False,False,Severe
DEU,Large,Technology,Software,"Erding, Oberbayern, Bayern, DEU",DE21A,,,Name1604048,False,True,False,Medium
DEU,Large,Technology,Software,"Erding, Oberbayern, Bayern, DEU",DE21A,,,Name1604049,False,True,False,Medium
DEU,Large,Technology,Software,"Erding, Oberbayern, Bayern, DEU",DE21A,,,Name1604050,False,True,False,High
DEU,Large,Technology,Software,"Erding, Oberbayern, Bayern, DEU",DE21A,,,Name1604051,True,True,False,Low
DEU,Large,Technology,Software,"Erding, Oberbayern, Bayern, DEU",DE21A,,,Name1604052,True,False,False,Low
DEU,Large,Technology,Software,"Erding, Oberbayern, Bayern, DEU",DE21A,,,Name1604053,False,True,True,Severe
DEU,Large,Technology,Software,"Erding, Oberbayern, Bayern, DEU",DE21A,,,Name1604054,True,True,False,High
