Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
DEU,Large,Technology,Software,"Leverkusen, Kreisfreie Stadt, Köln, Nordrhein-Westfalen, DEU",DEA24,,,Name1959844,False,True,False,Low
DEU,Large,Technology,Software,"Leverkusen, Kreisfreie Stadt, Köln, Nordrhein-Westfalen, DEU",DEA24,,,Name1959845,True,True,False,High
DEU,Large,Technology,Software,"Leverkusen, Kreisfreie Stadt, Köln, Nordrhein-Westfalen, DEU",DEA24,,,Name1959846,False,True,True,High
DEU,Large,Technology,Software,"Leverkusen, Kreisfreie Stadt, Köln, Nordrhein-Westfalen, DEU",DEA24,,,Name1959847,True,True,False,Severe
DEU,Large,Technology,Software,"Leverkusen, Kreisfreie Stadt, Köln, Nordrhein-Westfalen, DEU",DEA24,,,Name1959848,True,False,False,High
DEU,Large,Technology,Software,"Leverkusen, Kreisfreie Stadt, Köln, Nordrhein-Westfalen, DEU",DEA24,,,Name1959850,True,True,False,Medium
DEU,Large,Technology,Hardware,"Leverkusen, Kreisfreie Stadt, Köln, Nordrhein-Westfalen, DEU",DEA24,,,Name1959851,False,True,False,High
DEU,Large,Technology,Hardware,"Leverkusen, Kreisfreie Stadt, Köln, Nordrhein-Westfalen, DEU",DEA24,,,Name1959852,True,False,False,Medium
DEU,Large,Technology,Hardware,"Leverkusen, Kreisfreie Stadt, Köln, Nordrhein-Westfalen, DEU",DEA24,,,Name1959853,False,True,False,Severe
DEU,Large,Technology,Hardware,"Leverkusen, Kreisfreie Stadt, Köln, Nordrhein-Westfalen, DEU",DEA24,,,Name1959854,True,False,False,Severe
DEU,Large,Technology,Hardware,"Leverkusen, Kreisfreie Stadt, Köln, Nordrhein-Westfalen, DEU",DEA24,,,Name1959855,False,True,True,Severe
DEU,Large,Technology,Hardware,"Leverkusen, Kreisfreie Stadt, Köln, Nordrhein-Westfalen, DEU",DEA24,,,Name1959856,False,True,False,High
DEU,Large,Technology,Hardware,"Leverkusen, Kreisfreie Stadt, Köln, Nordrhein-Westfalen, DEU",DEA24,,,Name1959857,True,False,False,Severe
DEU,Large,Technology,Hardware,"Leverkusen, Kreisfreie Stadt, Köln, Nordrhein-Westfalen, DEU",DEA24,,,Name1959858,True,True,False,Severe
DEU,Large,Technology,Hardware,"Leverkusen, Kreisfreie Stadt, Köln, Nordrhein-Westfalen, DEU",DEA24,,,Name1959859,False,False,True,Medium
DEU,Large,Technology,Hardware,"Leverkusen, Kreisfreie Stadt, Köln, Nordrhein-Westfalen, DEU",DEA24,,,Name1959860,False,True,True,Medium
DEU,Large,Technology,Hardware,"Leverkusen, Kreisfreie Stadt, Köln, Nordrhein-Westfalen, DEU",DEA24,,,Name1959861,False,False,True,Severe
DEU,Large,Technology,Hardware,"Leverkusen, Kreisfreie Stadt, Köln, Nordrhein-Westfalen, DEU",DEA24,,,Name1959863,False,True,False,Low
DEU,Large,Technology,Hardware,"Leverkusen, Kreisfreie Stadt, Köln, Nordrhein-Westfalen, DEU",DEA24,,,Name1959864,True,True,False,Severe
DEU,Large,Technology,Hardware,"Leverkusen, Kreisfreie Stadt, Köln, Nordrhein-Westfalen, DEU",DEA24,,,Name1959865,True,False,False,High
DEU,Large,Technology,Hardware,"Leverkusen, Kreisfreie Stadt, Köln, Nordrhein-Westfalen, DEU",DEA24,,,Name1959866,True,True,False,Low
DEU,Large,Technology,Hardware,"Leverkusen, Kreisfreie Stadt, Köln, Nordrhein-Westfalen, DEU",DEA24,,,Name1959867,False,False,True,Medium
DEU,Large,Technology,Hardware,"Leverkusen, Kreisfreie Stadt, Köln, Nordrhein-Westfalen, DEU",DEA24,,,Name1959869,False,True,False,High
DEU,Large,Technology,Hardware,"Leverkusen, Kreisfreie Stadt, Köln, Nordrhein-Westfalen, DEU",DEA24,,,Name1959870,True,True,False,Low
DEU,Large,Technology,Hardware,"Leverkusen, Kreisfreie Stadt, Köln, Nordrhein-Westfalen, DEU",DEA24,,,Name1959871,True,False,False,High
DEU,Large,Technology,Hardware,"Leverkusen, Kreisfreie Stadt, Köln, Nordrhein-Westfalen, DEU",DEA24,,,Name1959872,True,True,False,Medium
DEU,Large,Technology,Hardware,"Leverkusen, Kreisfreie Stadt, Köln, Nordrhein-Westfalen, DEU",DEA24,,,Name1959874,True,False,False,Severe
DEU,Large,Technology,IT Services,"Leverkusen, Kreisfreie Stadt, Köln, Nordrhein-Westfalen, DEU",DEA24,,,Name1959875,False,True,True,Severe
DEU,Large,Technology,IT Services,"Leverkusen, Kreisfreie Stadt, Köln, Nordrhein-Westfalen, DEU",DEA24,,,Name1959876,False,True,True,Low
