Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
DEU,Large,Technology,Software,"Cochem-Zell, Koblenz, Rheinland-Pfalz, DEU",DEB1C,,,Name2394983,True,True,False,High
DEU,Large,Technology,Software,"Cochem-Zell, Koblenz, Rheinland-Pfalz, DEU",DEB1C,,,Name2394984,True,False,False,High
DEU,Large,Technology,Software,"Cochem-Zell, Koblenz, Rheinland-Pfalz, DEU",DEB1C,,,Name2394985,True,False,False,Low
DEU,Large,Technology,Software,"Cochem-Zell, Koblenz, Rheinland-Pfalz, DEU",DEB1C,,,Name2394986,False,True,True,Medium
DEU,Large,Technology,Software,"Cochem-Zell, Koblenz, Rheinland-Pfalz, DEU",DEB1C,,,Name2394987,True,False,False,Medium
DEU,Large,Technology,Software,"Cochem-Zell, Koblenz, Rheinland-Pfalz, DEU",DEB1C,,,Name2394989,True,True,False,Low
DEU,Large,Technology,Software,"Cochem-Zell, Koblenz, Rheinland-Pfalz, DEU",DEB1C,,,Name2394990,False,True,False,Low
DEU,Large,Technology,Software,"Cochem-Zell, Koblenz, Rheinland-Pfalz, DEU",DEB1C,,,Name2394991,False,True,True,High
DEU,Large,Technology,Software,"Cochem-Zell, Koblenz, Rheinland-Pfalz, DEU",DEB1C,,,Name2394992,False,True,True,Medium
DEU,Large,Technology,Software,"Cochem-Zell, Koblenz, Rheinland-Pfalz, DEU",DEB1C,,,Name2394993,False,True,False,Low
DEU,Large,Technology,Software,"Cochem-Zell, Koblenz, Rheinland-Pfalz, DEU",DEB1C,,,Name2394994,True,True,False,Medium
DEU,Large,Technology,Hardware,"Cochem-Zell, Koblenz, Rheinland-Pfalz, DEU",DEB1C,,,Name2394995,False,False,True,Low
DEU,Large,Technology,Hardware,"Cochem-Zell, Koblenz, Rheinland-Pfalz, DEU",DEB1C,,,Name2394996,True,True,False,High
