Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
DEU,Large,Technology,Software,"Ilm-Kreis, Thüringen, Thüringen, DEU",DEG0T,,,Name2375710,True,True,False,High
DEU,Large,Technology,Software,"Ilm-Kreis, Thüringen, Thüringen, DEU",DEG0T,,,Name2375711,True,True,False,Medium
DEU,Large,Technology,Software,"Ilm-Kreis, Thüringen, Thüringen, DEU",DEG0T,,,Name2375713,True,True,False,High
DEU,Large,Technology,Software,"Ilm-Kreis, Thüringen, Thüringen, DEU",DEG0T,,,Name2375714,True,True,False,Low
DEU,Large,Technology,Software,"Ilm-Kreis, Thüringen, Thüringen, DEU",DEG0T,,,Name2375715,False,True,False,High
DEU,Large,Technology,Software,"Ilm-Kreis, Thüringen, Thüringen, DEU",DEG0T,,,Name2375716,False,True,True,Medium
DEU,Large,Technology,Software,"Ilm-Kreis, Thüringen, Thüringen, DEU",DEG0T,,,Name2375717,False,False,True,Low
DEU,Large,Technology,Software,"Ilm-Kreis, Thüringen, Thüringen, DEU",DEG0T,,,Name2375718,True,False,False,Low
DEU,Large,Technology,Software,"Ilm-Kreis, Thüringen, Thüringen, DEU",DEG0T,,,Name2375719,True,True,False,Medium
DEU,Large,Technology,Software,"Ilm-Kreis, Thüringen, Thüringen, DEU",DEG0T,,,Name2375720,True,True,False,High
DEU,Large,Technology,Software,"Ilm-Kreis, Thüringen, Thüringen, DEU",DEG0T,,,Name2375721,False,False,True,Medium
DEU,Large,Technology,Software,"Ilm-Kreis, Thüringen, Thüringen, DEU",DEG0T,,,Name2375722,True,False,False,Severe
DEU,Large,Technology,Software,"Ilm-Kreis, Thüringen, Thüringen, DEU",DEG0T,,,Name2375723,True,True,False,Severe
DEU,Large,Technology,Hardware,"Ilm-Kreis, Thüringen, Thüringen, DEU",DEG0T,,,Name2375724,False,True,False,Medium
DEU,Large,Technology,Hardware,"Ilm-Kreis, Thüringen, Thüringen, DEU",DEG0T,,,Name2375725,True,False,False,Severe
DEU,Large,Technology,Hardware,"Ilm-Kreis, Thüringen, Thüringen, DEU",DEG0T,,,Name2375726,False,True,False,Medium
DEU,Large,Technology,Hardware,"Ilm-Kreis, Thüringen, Thüringen, DEU",DEG0T,,,Name2375727,True,False,False,Medium
DEU,Large,Technology,Hardware,"Ilm-Kreis, Thüringen, Thüringen, DEU",DEG0T,,,Name2375728,True,False,False,Low
DEU,Large,Technology,Hardware,"Ilm-Kreis, Thüringen, Thüringen, DEU",DEG0T,,,Name2375730,False,False,True,Medium
DEU,Large,Technology,Hardware,"Ilm-Kreis, Thüringen, Thüringen, DEU",DEG0T,,,Name2375731,False,True,False,Low
DEU,Large,Technology,Hardware,"Ilm-Kreis, Thüringen, Thüringen, DEU",DEG0T,,,Name2375732,True,True,False,Medium
DEU,Large,Technology,Hardware,"Ilm-Kreis, Thüringen, Thüringen, DEU",DEG0T,,,Name2375734,True,False,False,High
DEU,Large,Technology,Hardware,"Ilm-Kreis, Thüringen, Thüringen, DEU",DEG0T,,,Name2375735,True,False,False,Low
DEU,Large,Technology,Hardware,"Ilm-Kreis, Thüringen, Thüringen, DEU",DEG0T,,,Name2375736,False,False,True,Severe
DEU,Large,Technology,Hardware,"Ilm-Kreis, Thüringen, Thüringen, DEU",DEG0T,,,Name2375739,True,True,False,High
DEU,Large,Technology,Hardware,"Ilm-Kreis, Thüringen, Thüringen, DEU",DEG0T,,,Name2375740,True,False,False,High
DEU,Large,Technology,Hardware,"Ilm-Kreis, Thüringen, Thüringen, DEU",DEG0T,,,Name2375741,False,True,True,High
DEU,Large,Technology,Hardware,"Ilm-Kreis, Thüringen, Thüringen, DEU",DEG0T,,,Name2375742,False,True,True,Low
