Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
EGY,Large,Technology,Software,EGY,,,,Name642780,False,True,True,High
EGY,Large,Technology,Software,EGY,,,,Name642781,False,False,True,Medium
EGY,Large,Technology,Software,EGY,,,,Name642783,True,False,False,High
EGY,Large,Technology,Software,EGY,,,,Name642784,True,False,False,Medium
EGY,Large,Technology,Software,EGY,,,,Name642785,True,True,False,High
EGY,Large,Technology,Software,EGY,,,,Name642787,False,False,True,Medium
EGY,Large,Technology,Software,EGY,,,,Name642788,True,True,False,Low
EGY,Large,Technology,Software,EGY,,,,Name642789,False,True,False,Severe
EGY,Large,Technology,Software,EGY,,,,Name642790,True,False,False,Low
EGY,Large,Technology,Software,EGY,,,,Name642791,True,True,False,Medium
EGY,Large,Technology,Software,EGY,,,,Name642792,True,False,False,Low
EGY,Large,Technology,Software,EGY,,,,Name642793,False,False,True,Severe
EGY,Large,Technology,Software,EGY,,,,Name642795,True,False,False,High
EGY,Large,Technology,Software,EGY,,,,Name642796,True,False,False,Low
EGY,Large,Technology,Software,EGY,,,,Name642798,False,False,True,Low
EGY,Large,Technology,Software,EGY,,,,Name642799,True,True,False,Severe
EGY,Large,Technology,Software,EGY,,,,Name642800,True,True,False,High
EGY,Large,Technology,Software,EGY,,,,Name642801,False,True,True,High
EGY,Large,Technology,Software,EGY,,,,Name642802,True,False,False,Severe
EGY,Large,Technology,Software,EGY,,,,Name642803,True,True,False,High
EGY,Large,Technology,Software,EGY,,,,Name642804,True,True,False,Medium
EGY,Large,Technology,Software,EGY,,,,Name642805,True,True,False,Low
EGY,Large,Technology,Software,EGY,,,,Name642806,True,False,False,Low
EGY,Large,Technology,Software,EGY,,,,Name642807,False,False,True,High
EGY,Large,Technology,Software,EGY,,,,Name642808,True,False,False,Medium
EGY,Large,Technology,Software,EGY,,,,Name642809,False,False,True,Low
EGY,Large,Technology,Software,EGY,,,,Name642811,False,True,True,High
EGY,Large,Technology,Software,EGY,,,,Name642812,True,False,False,Low
EGY,Large,Technology,Software,EGY,,,,Name642813,True,False,False,Low
EGY,Large,Technology,Software,EGY,,,,Name642814,True,False,False,High
EGY,Large,Technology,Software,EGY,,,,Name642815,False,False,True,Severe
EGY,Large,Technology,Software,EGY,,,,Name642816,True,True,False,Low
EGY,Large,Technology,Software,EGY,,,,Name642817,True,False,False,High
EGY,Large,Technology,Hardware,EGY,,,,Name642818,False,True,True,High
EGY,Large,Technology,Hardware,EGY,,,,Name642819,False,True,True,Medium
EGY,Large,Technology,Hardware,EGY,,,,Name642820,False,False,True,Low
EGY,Large,Technology,Hardware,EGY,,,,Name642822,True,False,False,High
EGY,Large,Technology,Hardware,EGY,,,,Name642823,False,True,False,High
