Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
ESH,Large,Technology,Software,ESH,,,,Name717460,False,True,False,Severe
ESH,Large,Technology,Software,ESH,,,,Name717461,False,False,True,High
ESH,Large,Technology,Software,ESH,,,,Name717462,True,False,False,Low
ESH,Large,Technology,Software,ESH,,,,Name717464,True,False,False,Severe
ESH,Large,Technology,Software,ESH,,,,Name717465,True,True,False,Low
ESH,Large,Technology,Hardware,ESH,,,,Name717466,True,False,False,Medium
ESH,Large,Technology,Hardware,ESH,,,,Name717467,True,False,False,Severe
ESH,Large,Technology,Hardware,ESH,,,,Name717469,True,False,False,Medium
ESH,Large,Technology,Hardware,ESH,,,,Name717471,True,True,False,Severe
ESH,Large,Technology,Hardware,ESH,,,,Name717472,True,False,False,High
ESH,Large,Technology,Hardware,ESH,,,,Name717473,False,True,True,High
ESH,Large,Technology,Hardware,ESH,,,,Name717474,True,True,False,Medium
ESH,Large,Technology,Hardware,ESH,,,,Name717475,True,True,False,Medium
ESH,Large,Technology,Hardware,ESH,,,,Name717476,False,True,True,High
ESH,Large,Technology,Hardware,ESH,,,,Name717477,False,True,True,Severe
ESH,Large,Technology,Hardware,ESH,,,,Name717478,False,False,True,Low
ESH,Large,Technology,Hardware,ESH,,,,Name717479,False,True,False,Low
ESH,Large,Technology,Hardware,ESH,,,,Name717480,False,True,False,Medium
ESH,Large,Technology,Hardware,ESH,,,,Name717482,True,False,False,High
ESH,Large,Technology,Hardware,ESH,,,,Name717483,True,False,False,High
ESH,Large,Technology,Hardware,ESH,,,,Name717484,False,True,True,Medium
ESH,Large,Technology,Hardware,ESH,,,,Name717485,False,True,True,High
ESH,Large,Technology,Hardware,ESH,,,,Name717486,True,True,False,Severe
ESH,Large,Technology,Hardware,ESH,,,,Name717487,True,False,False,Low
ESH,Large,Technology,Hardware,ESH,,,,Name717488,False,False,True,High
ESH,Large,Technology,Hardware,ESH,,,,Name717489,True,True,False,Low
ESH,Large,Technology,Hardware,ESH,,,,Name717490,True,False,False,Medium
ESH,Large,Technology,Hardware,ESH,,,,Name717491,True,True,False,Medium
ESH,Large,Technology,Hardware,ESH,,,,Name717493,False,True,True,Medium
ESH,Large,Technology,Hardware,ESH,,,,Name717495,True,False,False,Low
ESH,Large,Technology,Hardware,ESH,,,,Name717496,False,True,True,Low
ESH,Large,Technology,Hardware,ESH,,,,Name717497,True,False,False,Severe
ESH,Large,Technology,Hardware,ESH,,,,Name717500,False,False,True,Low
ESH,Large,Technology,Hardware,ESH,,,,Name717501,False,True,True,High
ESH,Large,Technology,Hardware,ESH,,,,Name717502,False,False,True,High
ESH,Large,Technology,Hardware,ESH,,,,Name717503,False,False,True,Medium
ESH,Large,Technology,Hardware,ESH,,,,Name717504,False,False,True,Low
ESH,Large,Technology,Hardware,ESH,,,,Name717506,True,False,False,Low
ESH,Large,Technology,Hardware,ESH,,,,Name717507,False,True,False,Medium
ESH,Large,Technology,Hardware,ESH,,,,Name717508,True,False,False,Medium
ESH,Large,Technology,Hardware,ESH,,,,Name717509,True,False,False,Severe
ESH,Large,Technology,Hardware,ESH,,,,Name717510,False,True,False,Medium
ESH,Large,Technology,IT Services,ESH,,,,Name717511,True,False,False,Low
ESH,Large,Technology,IT Services,ESH,,,,Name717512,True,False,False,Low
ESH,Large,Technology,IT Services,ESH,,,,Name717513,True,True,False,Low
ESH,Large,Technology,IT Services,ESH,,,,Name717514,True,False,False,Low
ESH,Large,Technology,IT Services,ESH,,,,Name717516,False,True,False,Low
ESH,Large,Technology,IT Services,ESH,,,,Name717518,True,False,False,Medium
ESH,Large,Technology,IT Services,ESH,,,,Name717519,False,False,True,Medium
ESH,Large,Technology,IT Services,ESH,,,,Name717520,True,False,False,Medium
ESH,Large,Technology,IT Services,ESH,,,,Name717521,True,True,False,Medium
ESH,Large,Technology,IT Services,ESH,,,,Name717522,True,True,False,Severe
ESH,Large,Technology,IT Services,ESH,,,,Name717523,False,True,False,Low
ESH,Large,Technology,IT Services,ESH,,,,Name717524,True,False,False,Medium
ESH,Large,Technology,IT Services,ESH,,,,Name717526,True,True,False,Severe
ESH,Large,Technology,IT Services,ESH,,,,Name717527,True,False,False,High
ESH,Large,Technology,IT Services,ESH,,,,Name717529,True,True,False,High
ESH,Large,Technology,IT Services,ESH,,,,Name717530,False,True,False,Low
ESH,Large,Technology,IT Services,ESH,,,,Name717531,False,False,True,Low
ESH,Large,Technology,IT Services,ESH,,,,Name717532,True,False,False,High
ESH,Large,Technology,IT Services,ESH,,,,Name717533,True,True,False,Severe
ESH,Large,Technology,IT Services,ESH,,,,Name717534,True,False,False,Severe
ESH,Large,Technology,IT Services,ESH,,,,Name717535,True,True,False,High
ESH,Large,Technology,IT Services,ESH,,,,Name717536,False,False,True,High
ESH,Large,Technology,IT Services,ESH,,,,Name717537,True,True,False,High
