Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
ESP,Large,Technology,Software,"Segovia, Castilla y León, Centro (ES), ESP",ES416,,,Name3141465,True,False,False,Severe
ESP,Large,Technology,Software,"Segovia, Castilla y León, Centro (ES), ESP",ES416,,,Name3141466,False,True,False,Low
ESP,Large,Technology,Software,"Segovia, Castilla y León, Centro (ES), ESP",ES416,,,Name3141467,False,True,False,Severe
ESP,Large,Technology,Software,"Segovia, Castilla y León, Centro (ES), ESP",ES416,,,Name3141468,True,True,False,Medium
ESP,Large,Technology,Software,"Segovia, Castilla y León, Centro (ES), ESP",ES416,,,Name3141469,False,True,False,Severe
ESP,Large,Technology,Software,"Segovia, Castilla y León, Centro (ES), ESP",ES416,,,Name3141470,True,False,False,High
ESP,Large,Technology,Software,"Segovia, Castilla y León, Centro (ES), ESP",ES416,,,Name3141471,True,True,False,High
ESP,Large,Technology,Software,"Segovia, Castilla y León, Centro (ES), ESP",ES416,,,Name3141472,False,True,True,High
ESP,Large,Technology,Software,"Segovia, Castilla y León, Centro (ES), ESP",ES416,,,Name3141473,False,False,True,Severe
ESP,Large,Technology,Software,"Segovia, Castilla y León, Centro (ES), ESP",ES416,,,Name3141474,True,True,False,Low
ESP,Large,Technology,Software,"Segovia, Castilla y León, Centro (ES), ESP",ES416,,,Name3141476,False,False,True,Medium
ESP,Large,Technology,Software,"Segovia, Castilla y León, Centro (ES), ESP",ES416,,,Name3141477,False,False,True,Severe
ESP,Large,Technology,Software,"Segovia, Castilla y León, Centro (ES), ESP",ES416,,,Name3141478,False,False,True,Low
ESP,Large,Technology,Software,"Segovia, Castilla y León, Centro (ES), ESP",ES416,,,Name3141479,False,False,True,Severe
ESP,Large,Technology,Software,"Segovia, Castilla y León, Centro (ES), ESP",ES416,,,Name3141480,True,False,False,Severe
ESP,Large,Technology,Software,"Segovia, Castilla y León, Centro (ES), ESP",ES416,,,Name3141482,True,False,False,High
ESP,Large,Technology,Software,"Segovia, Castilla y León, Centro (ES), ESP",ES416,,,Name3141483,False,True,True,Severe
ESP,Large,Technology,Software,"Segovia, Castilla y León, Centro (ES), ESP",ES416,,,Name3141484,True,False,False,Low
ESP,Large,Technology,Software,"Segovia, Castilla y León, Centro (ES), ESP",ES416,,,Name3141485,False,False,True,High
ESP,Large,Technology,Software,"Segovia, Castilla y León, Centro (ES), ESP",ES416,,,Name3141486,True,False,False,Severe
ESP,Large,Technology,Software,"Segovia, Castilla y León, Centro (ES), ESP",ES416,,,Name3141487,True,True,False,High
ESP,Large,Technology,Software,"Segovia, Castilla y León, Centro (ES), ESP",ES416,,,Name3141488,True,False,False,Medium
ESP,Large,Technology,Software,"Segovia, Castilla y León, Centro (ES), ESP",ES416,,,Name3141489,False,False,True,High
ESP,Large,Technology,Software,"Segovia, Castilla y León, Centro (ES), ESP",ES416,,,Name3141491,True,True,False,High
