Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
FRA,Large,Technology,Software,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631952,False,True,True,Low
FRA,Large,Technology,Software,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631954,True,False,False,High
FRA,Large,Technology,Software,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631956,True,True,False,Medium
FRA,Large,Technology,Software,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631957,True,False,False,Medium
FRA,Large,Technology,Software,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631959,True,False,False,High
FRA,Large,Technology,Software,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631960,False,True,True,High
FRA,Large,Technology,Software,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631961,True,True,False,Low
FRA,Large,Technology,Software,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631962,True,True,False,Medium
FRA,Large,Technology,Software,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631963,True,False,False,High
FRA,Large,Technology,Software,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631964,True,False,False,Medium
FRA,Large,Technology,Software,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631965,True,False,False,High
FRA,Large,Technology,Software,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631966,False,True,False,Low
FRA,Large,Technology,Software,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631967,False,False,True,Severe
FRA,Large,Technology,Software,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631968,True,True,False,High
FRA,Large,Technology,Software,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631969,False,True,False,Medium
FRA,Large,Technology,Software,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631970,False,True,True,High
FRA,Large,Technology,Software,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631971,False,True,True,Medium
FRA,Large,Technology,Software,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631972,False,True,False,Low
FRA,Large,Technology,Software,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631973,True,True,False,Medium
FRA,Large,Technology,Software,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631974,True,True,False,High
FRA,Large,Technology,Software,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631975,False,True,False,Medium
FRA,Large,Technology,Software,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631976,False,True,False,Medium
FRA,Large,Technology,Hardware,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631977,True,False,False,Medium
FRA,Large,Technology,Hardware,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631978,True,True,False,Severe
FRA,Large,Technology,Hardware,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631979,False,True,False,Low
FRA,Large,Technology,Hardware,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631980,True,True,False,Low
FRA,Large,Technology,Hardware,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631981,True,True,False,Severe
FRA,Large,Technology,Hardware,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631982,True,False,False,Severe
FRA,Large,Technology,Hardware,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631983,True,False,False,High
FRA,Large,Technology,Hardware,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631984,True,True,False,Medium
FRA,Large,Technology,Hardware,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631987,True,False,False,High
FRA,Large,Technology,Hardware,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631988,True,True,False,Severe
FRA,Large,Technology,Hardware,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631989,False,False,True,Low
FRA,Large,Technology,Hardware,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631990,False,True,False,Low
FRA,Large,Technology,Hardware,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631991,True,True,False,Severe
FRA,Large,Technology,Hardware,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631992,True,True,False,Medium
FRA,Large,Technology,Hardware,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631993,True,True,False,Medium
FRA,Large,Technology,Hardware,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631994,True,False,False,Severe
FRA,Large,Technology,Hardware,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631995,True,True,False,High
FRA,Large,Technology,Hardware,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631996,True,False,False,Severe
FRA,Large,Technology,Hardware,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631997,True,False,False,Medium
FRA,Large,Technology,Hardware,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631998,True,False,False,High
FRA,Large,Technology,Hardware,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3631999,False,True,False,Severe
FRA,Large,Technology,Hardware,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3632000,False,True,True,Low
FRA,Large,Technology,Hardware,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3632001,False,False,True,Medium
FRA,Large,Technology,Hardware,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3632002,True,True,False,Medium
FRA,Large,Technology,IT Services,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3632003,True,True,False,Severe
FRA,Large,Technology,IT Services,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3632005,True,True,False,Medium
FRA,Large,Technology,IT Services,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3632006,True,True,False,Medium
FRA,Large,Technology,IT Services,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3632007,True,True,False,High
FRA,Large,Technology,IT Services,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3632008,False,True,True,Medium
FRA,Large,Technology,IT Services,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3632009,False,True,True,Low
FRA,Large,Technology,IT Services,"Meurthe-et-Moselle , Lorraine, Grand Est, FRA",FRF31,,,Name3632010,True,False,False,Low
