Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
FRA,Large,Technology,Software,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543113,True,True,False,Low
FRA,Large,Technology,Software,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543114,False,True,True,Medium
FRA,Large,Technology,Software,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543115,False,True,True,Medium
FRA,Large,Technology,Software,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543116,True,False,False,Low
FRA,Large,Technology,Software,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543117,True,False,False,Low
FRA,Large,Technology,Software,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543119,True,True,False,Medium
FRA,Large,Technology,Software,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543121,False,True,True,High
FRA,Large,Technology,Hardware,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543123,False,False,True,Low
FRA,Large,Technology,Hardware,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543124,True,True,False,High
FRA,Large,Technology,Hardware,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543125,True,True,False,Low
FRA,Large,Technology,Hardware,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543126,False,True,False,Low
FRA,Large,Technology,Hardware,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543127,True,True,False,Low
FRA,Large,Technology,Hardware,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543128,False,True,True,High
FRA,Large,Technology,Hardware,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543129,False,False,True,Medium
FRA,Large,Technology,Hardware,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543130,True,False,False,Low
FRA,Large,Technology,Hardware,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543131,False,True,False,Low
FRA,Large,Technology,Hardware,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543132,True,False,False,Low
FRA,Large,Technology,Hardware,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543133,False,True,True,Low
FRA,Large,Technology,Hardware,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543135,True,True,False,Low
FRA,Large,Technology,Hardware,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543136,True,True,False,Low
FRA,Large,Technology,Hardware,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543137,True,False,False,Medium
FRA,Large,Technology,Hardware,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543138,True,False,False,High
FRA,Large,Technology,Hardware,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543139,False,False,True,Low
FRA,Large,Technology,Hardware,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543140,False,True,True,High
FRA,Large,Technology,Hardware,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543141,False,True,False,Medium
FRA,Large,Technology,Hardware,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543142,True,False,False,Low
FRA,Large,Technology,Hardware,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543143,False,True,True,Low
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543144,True,False,False,Medium
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543145,True,True,False,Medium
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543146,True,True,False,High
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543147,True,True,False,High
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543148,True,False,False,Severe
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543149,False,True,True,High
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543150,True,True,False,Low
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543153,False,True,False,High
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543155,True,True,False,Medium
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543156,True,True,False,High
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543159,False,True,True,Severe
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543160,False,True,False,Low
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543161,True,True,False,Medium
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543162,True,False,False,Severe
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543163,False,False,True,High
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543164,True,False,False,Severe
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543166,True,False,False,Medium
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543167,True,True,False,High
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543168,True,False,False,High
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543169,False,True,True,Medium
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543170,False,True,True,Low
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543171,True,True,False,Medium
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543172,True,False,False,Severe
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543173,True,False,False,Medium
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543174,True,False,False,Low
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543175,False,False,True,High
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543176,True,False,False,Severe
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543177,True,True,False,Low
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543178,False,True,False,Medium
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543179,True,False,False,Medium
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543180,True,False,False,Severe
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543181,True,False,False,Medium
FRA,Large,Technology,IT Services,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543182,True,True,False,Low
FRA,Large,Healthcare,Pharmaceuticals,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543183,False,True,False,High
FRA,Large,Healthcare,Pharmaceuticals,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543184,False,True,True,Low
FRA,Large,Healthcare,Pharmaceuticals,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543186,False,True,True,Medium
FRA,Large,Healthcare,Pharmaceuticals,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543187,False,True,True,Medium
FRA,Large,Healthcare,Pharmaceuticals,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543188,False,True,False,Severe
FRA,Large,Healthcare,Pharmaceuticals,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543189,False,False,True,Severe
FRA,Large,Healthcare,Medical Devices,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543190,True,False,False,High
FRA,Large,Healthcare,Medical Devices,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543191,False,True,True,High
FRA,Large,Healthcare,Medical Devices,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543192,True,True,False,Medium
FRA,Large,Healthcare,Medical Devices,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543195,False,True,True,High
FRA,Large,Healthcare,Medical Devices,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543196,True,False,False,Low
FRA,Large,Healthcare,Medical Devices,"Aveyron, Midi-Pyrénées, Occitanie, FRA",FRJ22,,,Name3543197,False,True,True,Severe
