Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
ITA,Large,Technology,Software,"Bari, Puglia, Sud, ITA",ITF47,,,Name3967223,False,False,True,High
ITA,Large,Technology,Software,"Bari, Puglia, Sud, ITA",ITF47,,,Name3967224,True,False,False,Severe
ITA,Large,Technology,Software,"Bari, Puglia, Sud, ITA",ITF47,,,Name3967225,False,False,True,High
ITA,Large,Technology,Software,"Bari, Puglia, Sud, ITA",ITF47,,,Name3967226,False,False,True,Low
ITA,Large,Technology,Software,"Bari, Puglia, Sud, ITA",ITF47,,,Name3967227,False,False,True,Severe
ITA,Large,Technology,Software,"Bari, Puglia, Sud, ITA",ITF47,,,Name3967228,True,False,False,Severe
ITA,Large,Technology,Software,"Bari, Puglia, Sud, ITA",ITF47,,,Name3967229,True,True,False,High
ITA,Large,Technology,Software,"Bari, Puglia, Sud, ITA",ITF47,,,Name3967230,True,True,False,Low
ITA,Large,Technology,Software,"Bari, Puglia, Sud, ITA",ITF47,,,Name3967231,True,False,False,Severe
ITA,Large,Technology,Software,"Bari, Puglia, Sud, ITA",ITF47,,,Name3967232,True,True,False,High
ITA,Large,Technology,Software,"Bari, Puglia, Sud, ITA",ITF47,,,Name3967233,True,False,False,Severe
ITA,Large,Technology,Software,"Bari, Puglia, Sud, ITA",ITF47,,,Name3967234,False,True,False,High
ITA,Large,Technology,Software,"Bari, Puglia, Sud, ITA",ITF47,,,Name3967235,False,True,True,Low
ITA,Large,Technology,Software,"Bari, Puglia, Sud, ITA",ITF47,,,Name3967236,False,True,True,Severe
ITA,Large,Technology,Software,"Bari, Puglia, Sud, ITA",ITF47,,,Name3967237,True,True,False,High
ITA,Large,Technology,Software,"Bari, Puglia, Sud, ITA",ITF47,,,Name3967238,False,True,False,Low
ITA,Large,Technology,Software,"Bari, Puglia, Sud, ITA",ITF47,,,Name3967239,False,True,False,High
ITA,Large,Technology,Software,"Bari, Puglia, Sud, ITA",ITF47,,,Name3967240,True,True,False,Severe
ITA,Large,Technology,Software,"Bari, Puglia, Sud, ITA",ITF47,,,Name3967242,False,False,True,Low
ITA,Large,Technology,Software,"Bari, Puglia, Sud, ITA",ITF47,,,Name3967243,True,False,False,Medium
ITA,Large,Technology,Hardware,"Bari, Puglia, Sud, ITA",ITF47,,,Name3967245,True,True,False,Severe
ITA,Large,Technology,Hardware,"Bari, Puglia, Sud, ITA",ITF47,,,Name3967246,False,True,False,Low
ITA,Large,Technology,Hardware,"Bari, Puglia, Sud, ITA",ITF47,,,Name3967247,False,False,True,Low
ITA,Large,Technology,Hardware,"Bari, Puglia, Sud, ITA",ITF47,,,Name3967248,False,True,False,Low
ITA,Large,Technology,Hardware,"Bari, Puglia, Sud, ITA",ITF47,,,Name3967249,False,True,True,High
ITA,Large,Technology,Hardware,"Bari, Puglia, Sud, ITA",ITF47,,,Name3967250,False,True,True,Low
ITA,Large,Technology,Hardware,"Bari, Puglia, Sud, ITA",ITF47,,,Name3967251,False,True,True,Medium
ITA,Large,Technology,Hardware,"Bari, Puglia, Sud, ITA",ITF47,,,Name3967252,True,False,False,High
