Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
MTQ,Large,Technology,Software,MTQ,,,,Name410478,True,True,False,Low
MTQ,Large,Technology,Software,MTQ,,,,Name410479,False,True,False,Low
MTQ,Large,Technology,Software,MTQ,,,,Name410481,False,True,False,High
MTQ,Large,Technology,Software,MTQ,,,,Name410484,False,True,True,Medium
MTQ,Large,Technology,Hardware,MTQ,,,,Name410485,False,True,False,Severe
MTQ,Large,Technology,Hardware,MTQ,,,,Name410486,True,False,False,Medium
MTQ,Large,Technology,Hardware,MTQ,,,,Name410487,True,True,False,High
MTQ,Large,Technology,Hardware,MTQ,,,,Name410488,True,True,False,High
MTQ,Large,Technology,Hardware,MTQ,,,,Name410489,False,False,True,Severe
MTQ,Large,Technology,Hardware,MTQ,,,,Name410490,False,False,True,Severe
MTQ,Large,Technology,Hardware,MTQ,,,,Name410491,False,True,False,Medium
MTQ,Large,Technology,Hardware,MTQ,,,,Name410492,True,True,False,Severe
MTQ,Large,Technology,Hardware,MTQ,,,,Name410493,True,True,False,Medium
MTQ,Large,Technology,Hardware,MTQ,,,,Name410494,True,False,False,High
MTQ,Large,Technology,Hardware,MTQ,,,,Name410495,True,True,False,High
MTQ,Large,Technology,Hardware,MTQ,,,,Name410496,True,True,False,Medium
MTQ,Large,Technology,Hardware,MTQ,,,,Name410497,True,True,False,Severe
MTQ,Large,Technology,Hardware,MTQ,,,,Name410498,True,False,False,Medium
MTQ,Large,Technology,Hardware,MTQ,,,,Name410499,True,False,False,Low
MTQ,Large,Technology,Hardware,MTQ,,,,Name410501,True,True,False,Medium
MTQ,Large,Technology,Hardware,MTQ,,,,Name410502,False,True,True,Medium
MTQ,Large,Technology,Hardware,MTQ,,,,Name410503,False,True,False,Severe
MTQ,Large,Technology,Hardware,MTQ,,,,Name410504,True,True,False,Medium
MTQ,Large,Technology,Hardware,MTQ,,,,Name410505,False,False,True,Severe
MTQ,Large,Technology,Hardware,MTQ,,,,Name410507,False,True,False,Severe
MTQ,Large,Technology,Hardware,MTQ,,,,Name410508,False,False,True,Severe
MTQ,Large,Technology,Hardware,MTQ,,,,Name410509,False,False,True,Low
MTQ,Large,Technology,Hardware,MTQ,,,,Name410510,True,False,False,Medium
MTQ,Large,Technology,Hardware,MTQ,,,,Name410511,True,True,False,Medium
MTQ,Large,Technology,Hardware,MTQ,,,,Name410513,True,True,False,Low
MTQ,Large,Technology,Hardware,MTQ,,,,Name410514,True,False,False,Low
MTQ,Large,Technology,Hardware,MTQ,,,,Name410515,True,False,False,High
MTQ,Large,Technology,Hardware,MTQ,,,,Name410516,True,False,False,Severe
MTQ,Large,Technology,IT Services,MTQ,,,,Name410517,False,True,True,Severe
MTQ,Large,Technology,IT Services,MTQ,,,,Name410518,True,True,False,Low
MTQ,Large,Technology,IT Services,MTQ,,,,Name410519,True,False,False,Medium
MTQ,Large,Technology,IT Services,MTQ,,,,Name410521,True,True,False,Low
MTQ,Large,Technology,IT Services,MTQ,,,,Name410522,False,True,False,Low
MTQ,Large,Technology,IT Services,MTQ,,,,Name410523,False,True,False,Severe
MTQ,Large,Technology,IT Services,MTQ,,,,Name410524,True,False,False,Severe
MTQ,Large,Technology,IT Services,MTQ,,,,Name410525,True,False,False,Severe
MTQ,Large,Technology,IT Services,MTQ,,,,Name410527,True,False,False,High
MTQ,Large,Technology,IT Services,MTQ,,,,Name410528,False,False,True,Severe
MTQ,Large,Technology,IT Services,MTQ,,,,Name410529,True,False,False,Severe
MTQ,Large,Technology,IT Services,MTQ,,,,Name410530,False,True,False,Severe
MTQ,Large,Technology,IT Services,MTQ,,,,Name410531,True,True,False,Medium
