Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
POL,Large,Technology,Software,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747559,True,False,False,Medium
POL,Large,Technology,Software,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747562,False,True,True,Low
POL,Large,Technology,Software,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747563,True,False,False,Severe
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747566,False,True,True,Medium
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747567,False,True,True,Medium
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747568,False,True,False,Low
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747569,False,False,True,High
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747570,True,True,False,Severe
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747571,False,True,False,Low
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747572,True,False,False,High
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747573,True,False,False,Medium
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747574,True,False,False,Severe
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747575,True,False,False,Severe
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747577,True,True,False,Severe
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747578,False,False,True,High
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747580,True,True,False,Low
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747581,True,True,False,Medium
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747582,True,False,False,Medium
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747583,False,True,False,Low
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747584,False,True,False,Low
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747585,True,False,False,Medium
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747586,False,True,True,Severe
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747587,False,True,False,Medium
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747588,True,True,False,Low
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747589,True,True,False,Medium
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747590,True,False,False,Medium
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747591,False,True,False,High
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747592,False,True,False,Severe
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747593,True,True,False,Severe
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747594,False,False,True,Medium
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747595,False,False,True,Low
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747596,True,True,False,Low
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747597,False,False,True,High
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747598,True,True,False,Medium
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747599,False,False,True,High
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747600,True,False,False,Low
POL,Large,Technology,Hardware,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747601,False,True,False,High
POL,Large,Technology,IT Services,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747603,True,False,False,High
POL,Large,Technology,IT Services,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747604,True,False,False,Severe
POL,Large,Technology,IT Services,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747605,True,False,False,Medium
POL,Large,Technology,IT Services,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747606,False,False,True,High
POL,Large,Technology,IT Services,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747607,False,True,False,Medium
POL,Large,Technology,IT Services,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747608,True,False,False,Low
POL,Large,Technology,IT Services,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747609,True,False,False,Low
POL,Large,Technology,IT Services,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747610,False,True,False,High
POL,Large,Technology,IT Services,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747612,False,True,True,Low
POL,Large,Technology,IT Services,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747613,True,False,False,Severe
POL,Large,Technology,IT Services,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747614,True,True,False,Low
POL,Large,Technology,IT Services,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747615,True,False,False,High
POL,Large,Technology,IT Services,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747616,False,False,True,Severe
POL,Large,Technology,IT Services,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747617,True,False,False,Severe
POL,Large,Technology,IT Services,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747619,False,True,True,High
POL,Large,Technology,IT Services,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747620,True,False,False,Severe
POL,Large,Healthcare,Pharmaceuticals,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747621,False,True,False,High
POL,Large,Healthcare,Pharmaceuticals,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747622,True,True,False,Low
POL,Large,Healthcare,Pharmaceuticals,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747623,False,True,True,Medium
POL,Large,Healthcare,Pharmaceuticals,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747624,False,False,True,High
POL,Large,Healthcare,Pharmaceuticals,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747625,False,True,False,Medium
POL,Large,Healthcare,Pharmaceuticals,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747626,False,False,True,Low
POL,Large,Healthcare,Pharmaceuticals,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747627,True,False,False,High
POL,Large,Healthcare,Pharmaceuticals,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747628,False,True,False,Low
POL,Large,Healthcare,Pharmaceuticals,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747629,True,True,False,Severe
POL,Large,Healthcare,Pharmaceuticals,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747630,True,True,False,High
POL,Large,Healthcare,Pharmaceuticals,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747631,False,True,False,Medium
POL,Large,Healthcare,Pharmaceuticals,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747632,False,True,False,High
POL,Large,Healthcare,Pharmaceuticals,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747634,False,True,False,High
POL,Large,Healthcare,Pharmaceuticals,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747636,False,False,True,High
POL,Large,Healthcare,Pharmaceuticals,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747637,True,True,False,Severe
POL,Large,Healthcare,Pharmaceuticals,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747638,True,True,False,Low
POL,Large,Healthcare,Medical Devices,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747639,True,False,False,Low
POL,Large,Healthcare,Medical Devices,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747640,False,False,True,High
POL,Large,Healthcare,Medical Devices,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747641,False,True,False,Low
POL,Large,Healthcare,Medical Devices,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747642,False,True,True,Low
POL,Large,Healthcare,Medical Devices,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747643,False,True,True,Low
POL,Large,Healthcare,Medical Devices,"Trójmiejski, Pomorskie, Makroregion północny, POL",PL633,,,Name4747644,True,False,False,Medium
