Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
TUR,Large,Technology,Software,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681625,False,True,False,Severe
TUR,Large,Technology,Software,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681626,False,False,True,Low
TUR,Large,Technology,Software,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681627,True,False,False,Low
TUR,Large,Technology,Software,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681628,True,True,False,Severe
TUR,Large,Technology,Software,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681629,True,False,False,Severe
TUR,Large,Technology,Software,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681631,False,False,True,High
TUR,Large,Technology,Software,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681632,False,True,True,Low
TUR,Large,Technology,Software,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681633,False,False,True,Severe
TUR,Large,Technology,Software,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681634,False,True,False,Severe
TUR,Large,Technology,Software,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681635,False,False,True,Low
TUR,Large,Technology,Software,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681636,True,False,False,High
TUR,Large,Technology,Software,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681638,False,True,True,Low
TUR,Large,Technology,Software,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681640,True,False,False,Medium
TUR,Large,Technology,Software,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681641,True,True,False,Low
TUR,Large,Technology,Software,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681642,True,False,False,Low
TUR,Large,Technology,Software,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681644,False,True,True,Medium
TUR,Large,Technology,Software,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681645,False,True,True,Severe
TUR,Large,Technology,Software,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681646,False,True,True,Severe
TUR,Large,Technology,Software,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681647,True,True,False,Low
TUR,Large,Technology,Hardware,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681648,False,True,True,Low
TUR,Large,Technology,Hardware,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681649,True,False,False,Severe
TUR,Large,Technology,Hardware,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681650,True,True,False,Medium
TUR,Large,Technology,Hardware,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681651,True,False,False,Low
TUR,Large,Technology,Hardware,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681652,True,True,False,High
TUR,Large,Technology,Hardware,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681655,False,False,True,Severe
TUR,Large,Technology,Hardware,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681656,False,True,False,Severe
TUR,Large,Technology,Hardware,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681657,False,True,False,Medium
TUR,Large,Technology,Hardware,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681658,False,True,False,Low
TUR,Large,Technology,Hardware,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681659,True,True,False,Medium
TUR,Large,Technology,Hardware,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681661,True,True,False,Medium
TUR,Large,Technology,Hardware,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681662,True,False,False,Low
TUR,Large,Technology,Hardware,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681663,True,True,False,Severe
TUR,Large,Technology,Hardware,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681664,False,True,False,Medium
TUR,Large,Technology,IT Services,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681665,True,True,False,High
TUR,Large,Technology,IT Services,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681666,False,False,True,Severe
TUR,Large,Technology,IT Services,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681667,True,True,False,Medium
TUR,Large,Technology,IT Services,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681668,False,True,True,Severe
TUR,Large,Technology,IT Services,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681669,False,False,True,Severe
TUR,Large,Technology,IT Services,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681670,False,False,True,High
TUR,Large,Technology,IT Services,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681671,False,False,True,Medium
TUR,Large,Technology,IT Services,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681672,False,True,True,High
TUR,Large,Technology,IT Services,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681673,True,False,False,Severe
TUR,Large,Technology,IT Services,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681674,False,False,True,High
TUR,Large,Technology,IT Services,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681675,True,True,False,Low
TUR,Large,Technology,IT Services,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681676,True,False,False,Severe
TUR,Large,Technology,IT Services,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681677,False,True,True,Medium
TUR,Large,Technology,IT Services,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681678,False,True,True,High
TUR,Large,Technology,IT Services,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681679,True,True,False,Low
TUR,Large,Technology,IT Services,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681680,False,False,True,Medium
TUR,Large,Technology,IT Services,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681681,True,True,False,Severe
TUR,Large,Technology,IT Services,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681682,False,True,True,Medium
TUR,Large,Technology,IT Services,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681683,False,False,True,Medium
TUR,Large,Technology,IT Services,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681684,False,True,True,Medium
TUR,Large,Technology,IT Services,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681685,True,False,False,High
TUR,Large,Technology,IT Services,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681686,False,True,False,High
TUR,Large,Technology,IT Services,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681687,False,True,True,Severe
TUR,Large,Technology,IT Services,"Ankara, Ankara, Batı Anadolu, TUR",TR510,,,Name5681688,True,False,False,High
