Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
TUR,Large,Technology,Software,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498185,False,True,False,Low
TUR,Large,Technology,Software,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498186,True,True,False,Medium
TUR,Large,Technology,Software,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498187,True,False,False,Medium
TUR,Large,Technology,Software,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498188,True,True,False,High
TUR,Large,Technology,Software,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498189,True,False,False,Severe
TUR,Large,Technology,Software,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498190,False,False,True,High
TUR,Large,Technology,Software,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498191,False,True,False,Low
TUR,Large,Technology,Software,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498192,False,False,True,Medium
TUR,Large,Technology,Software,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498193,True,True,False,High
TUR,Large,Technology,Software,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498194,False,True,False,High
TUR,Large,Technology,Software,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498195,True,True,False,High
TUR,Large,Technology,Software,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498197,True,False,False,Medium
TUR,Large,Technology,Software,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498200,True,True,False,High
TUR,Large,Technology,Software,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498201,True,False,False,High
TUR,Large,Technology,Software,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498202,False,True,False,High
TUR,Large,Technology,Software,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498203,True,False,False,Low
TUR,Large,Technology,Software,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498204,True,True,False,Low
TUR,Large,Technology,Software,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498205,False,False,True,Low
TUR,Large,Technology,Software,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498206,False,True,True,Severe
TUR,Large,Technology,Software,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498207,False,False,True,High
TUR,Large,Technology,Software,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498208,True,True,False,Low
TUR,Large,Technology,Software,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498209,True,False,False,Severe
TUR,Large,Technology,Hardware,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498211,True,False,False,High
TUR,Large,Technology,Hardware,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498212,False,True,False,Low
TUR,Large,Technology,Hardware,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498213,False,True,True,Medium
TUR,Large,Technology,Hardware,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498214,True,False,False,Medium
TUR,Large,Technology,Hardware,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498215,True,False,False,Medium
TUR,Large,Technology,Hardware,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498216,True,False,False,Severe
TUR,Large,Technology,Hardware,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498217,False,False,True,High
TUR,Large,Technology,Hardware,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498218,True,False,False,Severe
TUR,Large,Technology,Hardware,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498219,True,True,False,Medium
TUR,Large,Technology,Hardware,"Bayburt, Erzurum, Erzincan, Bayburt, Kuzeydoğu Anadolu, TUR",TRA13,,,Name5498220,False,True,True,High
