Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
USA,Large,Technology,Software,"Bethel, AK, USA",,2050.0,AK,Name5966215,False,True,False,Low
USA,Large,Technology,Software,"Bethel, AK, USA",,2050.0,AK,Name5966217,True,True,False,High
USA,Large,Technology,Software,"Bethel, AK, USA",,2050.0,AK,Name5966218,False,True,True,Low
USA,Large,Technology,Software,"Bethel, AK, USA",,2050.0,AK,Name5966219,False,False,True,Low
USA,Large,Technology,Software,"Bethel, AK, USA",,2050.0,AK,Name5966220,True,False,False,Medium
USA,Large,Technology,Hardware,"Bethel, AK, USA",,2050.0,AK,Name5966221,False,True,True,Severe
USA,Large,Technology,Hardware,"Bethel, AK, USA",,2050.0,AK,Name5966222,False,True,False,High
USA,Large,Technology,Hardware,"Bethel, AK, USA",,2050.0,AK,Name5966224,True,False,False,High
USA,Large,Technology,Hardware,"Bethel, AK, USA",,2050.0,AK,Name5966225,True,True,False,High
USA,Large,Technology,Hardware,"Bethel, AK, USA",,2050.0,AK,Name5966226,True,False,False,High
USA,Large,Technology,Hardware,"Bethel, AK, USA",,2050.0,AK,Name5966227,False,True,True,Severe
USA,Large,Technology,Hardware,"Bethel, AK, USA",,2050.0,AK,Name5966228,False,True,False,Medium
USA,Large,Technology,Hardware,"Bethel, AK, USA",,2050.0,AK,Name5966229,True,True,False,High
USA,Large,Technology,Hardware,"Bethel, AK, USA",,2050.0,AK,Name5966230,False,False,True,Low
USA,Large,Technology,Hardware,"Bethel, AK, USA",,2050.0,AK,Name5966231,True,False,False,High
USA,Large,Technology,Hardware,"Bethel, AK, USA",,2050.0,AK,Name5966232,True,True,False,High
USA,Large,Technology,Hardware,"Bethel, AK, USA",,2050.0,AK,Name5966233,False,False,True,Medium
USA,Large,Technology,Hardware,"Bethel, AK, USA",,2050.0,AK,Name5966234,False,True,True,Medium
USA,Large,Technology,Hardware,"Bethel, AK, USA",,2050.0,AK,Name5966235,True,True,False,Severe
USA,Large,Technology,Hardware,"Bethel, AK, USA",,2050.0,AK,Name5966236,False,True,True,High
USA,Large,Technology,Hardware,"Bethel, AK, USA",,2050.0,AK,Name5966238,True,False,False,High
USA,Large,Technology,Hardware,"Bethel, AK, USA",,2050.0,AK,Name5966239,False,True,True,Medium
USA,Large,Technology,Hardware,"Bethel, AK, USA",,2050.0,AK,Name5966240,True,True,False,Medium
USA,Large,Technology,Hardware,"Bethel, AK, USA",,2050.0,AK,Name5966241,True,True,False,Low
USA,Large,Technology,Hardware,"Bethel, AK, USA",,2050.0,AK,Name5966243,False,False,True,Low
USA,Large,Technology,Hardware,"Bethel, AK, USA",,2050.0,AK,Name5966245,False,False,True,Medium
USA,Large,Technology,IT Services,"Bethel, AK, USA",,2050.0,AK,Name5966246,True,True,False,Medium
USA,Large,Technology,IT Services,"Bethel, AK, USA",,2050.0,AK,Name5966247,True,False,False,High
