Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
USA,Large,Technology,Software,"Yolo, CA, USA",,6113.0,CA,Name6502804,True,True,False,Medium
USA,Large,Technology,Software,"Yolo, CA, USA",,6113.0,CA,Name6502805,True,False,False,High
USA,Large,Technology,Software,"Yolo, CA, USA",,6113.0,CA,Name6502806,False,True,True,Medium
USA,Large,Technology,Software,"Yolo, CA, USA",,6113.0,CA,Name6502807,True,False,False,Low
USA,Large,Technology,Software,"Yolo, CA, USA",,6113.0,CA,Name6502808,False,True,False,Low
USA,Large,Technology,Software,"Yolo, CA, USA",,6113.0,CA,Name6502809,True,False,False,High
USA,Large,Technology,Software,"Yolo, CA, USA",,6113.0,CA,Name6502810,True,False,False,Low
USA,Large,Technology,Software,"Yolo, CA, USA",,6113.0,CA,Name6502812,False,False,True,Low
USA,Large,Technology,Software,"Yolo, CA, USA",,6113.0,CA,Name6502813,True,True,False,Severe
USA,Large,Technology,Software,"Yolo, CA, USA",,6113.0,CA,Name6502814,True,True,False,Low
USA,Large,Technology,Software,"Yolo, CA, USA",,6113.0,CA,Name6502816,True,True,False,Low
USA,Large,Technology,Software,"Yolo, CA, USA",,6113.0,CA,Name6502817,False,True,True,High
USA,Large,Technology,Software,"Yolo, CA, USA",,6113.0,CA,Name6502818,True,False,False,Low
USA,Large,Technology,Software,"Yolo, CA, USA",,6113.0,CA,Name6502819,True,False,False,Medium
USA,Large,Technology,Software,"Yolo, CA, USA",,6113.0,CA,Name6502820,True,False,False,Medium
USA,Large,Technology,Software,"Yolo, CA, USA",,6113.0,CA,Name6502821,False,True,False,Severe
USA,Large,Technology,Software,"Yolo, CA, USA",,6113.0,CA,Name6502822,False,True,True,Medium
USA,Large,Technology,Software,"Yolo, CA, USA",,6113.0,CA,Name6502823,False,True,True,Low
USA,Large,Technology,Software,"Yolo, CA, USA",,6113.0,CA,Name6502824,False,True,True,High
USA,Large,Technology,Software,"Yolo, CA, USA",,6113.0,CA,Name6502825,True,True,False,Medium
USA,Large,Technology,Software,"Yolo, CA, USA",,6113.0,CA,Name6502826,False,True,False,Low
USA,Large,Technology,Software,"Yolo, CA, USA",,6113.0,CA,Name6502827,True,False,False,High
USA,Large,Technology,Software,"Yolo, CA, USA",,6113.0,CA,Name6502828,True,True,False,Medium
USA,Large,Technology,Software,"Yolo, CA, USA",,6113.0,CA,Name6502830,False,False,True,Low
USA,Large,Technology,Software,"Yolo, CA, USA",,6113.0,CA,Name6502831,False,True,False,High
USA,Large,Technology,Software,"Yolo, CA, USA",,6113.0,CA,Name6502832,True,False,False,Severe
USA,Large,Technology,Software,"Yolo, CA, USA",,6113.0,CA,Name6502833,False,True,False,Severe
USA,Large,Technology,Software,"Yolo, CA, USA",,6113.0,CA,Name6502834,False,True,True,Severe
USA,Large,Technology,Hardware,"Yolo, CA, USA",,6113.0,CA,Name6502835,True,False,False,Low
USA,Large,Technology,Hardware,"Yolo, CA, USA",,6113.0,CA,Name6502836,True,False,False,Severe
USA,Large,Technology,Hardware,"Yolo, CA, USA",,6113.0,CA,Name6502837,True,True,False,Severe
USA,Large,Technology,Hardware,"Yolo, CA, USA",,6113.0,CA,Name6502838,True,False,False,Low
USA,Large,Technology,IT Services,"Yolo, CA, USA",,6113.0,CA,Name6502841,True,False,False,Severe
USA,Large,Technology,IT Services,"Yolo, CA, USA",,6113.0,CA,Name6502842,False,False,True,Medium
USA,Large,Technology,IT Services,"Yolo, CA, USA",,6113.0,CA,Name6502843,True,True,False,Low
USA,Large,Technology,IT Services,"Yolo, CA, USA",,6113.0,CA,Name6502844,False,True,True,Low
USA,Large,Technology,IT Services,"Yolo, CA, USA",,6113.0,CA,Name6502845,False,True,False,Medium
USA,Large,Technology,IT Services,"Yolo, CA, USA",,6113.0,CA,Name6502846,False,True,True,Low
USA,Large,Technology,IT Services,"Yolo, CA, USA",,6113.0,CA,Name6502847,True,True,False,Severe
USA,Large,Technology,IT Services,"Yolo, CA, USA",,6113.0,CA,Name6502848,False,True,True,Low
USA,Large,Technology,IT Services,"Yolo, CA, USA",,6113.0,CA,Name6502849,False,True,False,Severe
USA,Large,Technology,IT Services,"Yolo, CA, USA",,6113.0,CA,Name6502850,False,False,True,Low
USA,Large,Technology,IT Services,"Yolo, CA, USA",,6113.0,CA,Name6502851,True,False,False,Severe
USA,Large,Technology,IT Services,"Yolo, CA, USA",,6113.0,CA,Name6502852,False,False,True,Low
USA,Large,Technology,IT Services,"Yolo, CA, USA",,6113.0,CA,Name6502853,False,True,False,High
USA,Large,Technology,IT Services,"Yolo, CA, USA",,6113.0,CA,Name6502854,True,True,False,Medium
USA,Large,Technology,IT Services,"Yolo, CA, USA",,6113.0,CA,Name6502855,True,True,False,High
USA,Large,Technology,IT Services,"Yolo, CA, USA",,6113.0,CA,Name6502857,False,True,True,Medium
USA,Large,Technology,IT Services,"Yolo, CA, USA",,6113.0,CA,Name6502858,False,True,True,Low
USA,Large,Technology,IT Services,"Yolo, CA, USA",,6113.0,CA,Name6502859,False,False,True,Low
USA,Large,Technology,IT Services,"Yolo, CA, USA",,6113.0,CA,Name6502860,True,True,False,Severe
USA,Large,Technology,IT Services,"Yolo, CA, USA",,6113.0,CA,Name6502862,False,True,True,Severe
USA,Large,Technology,IT Services,"Yolo, CA, USA",,6113.0,CA,Name6502863,True,False,False,Medium
USA,Large,Technology,IT Services,"Yolo, CA, USA",,6113.0,CA,Name6502864,False,False,True,Low
USA,Large,Technology,IT Services,"Yolo, CA, USA",,6113.0,CA,Name6502865,False,True,True,Low
USA,Large,Technology,IT Services,"Yolo, CA, USA",,6113.0,CA,Name6502866,False,False,True,Medium
USA,Large,Healthcare,Pharmaceuticals,"Yolo, CA, USA",,6113.0,CA,Name6502867,True,True,False,High
USA,Large,Healthcare,Pharmaceuticals,"Yolo, CA, USA",,6113.0,CA,Name6502868,False,True,True,High
USA,Large,Healthcare,Pharmaceuticals,"Yolo, CA, USA",,6113.0,CA,Name6502869,True,False,False,Low
