Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576629,False,True,False,Medium
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576630,True,True,False,Severe
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576631,False,True,True,Medium
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576632,False,False,True,Low
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576634,False,False,True,Low
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576635,False,True,False,Severe
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576636,True,True,False,High
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576637,False,False,True,High
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576638,True,True,False,Low
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576640,True,False,False,Severe
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576641,False,True,False,Medium
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576642,True,True,False,Severe
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576643,True,False,False,Severe
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576644,False,True,False,Medium
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576645,False,False,True,Medium
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576646,False,True,False,Low
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576647,True,False,False,High
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576648,True,True,False,Severe
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576649,False,False,True,High
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576651,True,False,False,High
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576652,False,False,True,High
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576654,True,True,False,High
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576656,True,False,False,Low
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576657,False,False,True,Severe
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576658,True,False,False,Low
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576659,False,True,False,Medium
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576660,False,False,True,Severe
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576661,False,False,True,Low
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576662,True,False,False,High
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576663,False,True,False,Medium
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576664,False,False,True,Medium
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576665,True,True,False,Low
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576666,True,True,False,Low
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576667,False,True,True,Medium
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576669,True,False,False,Severe
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576670,True,False,False,Medium
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576671,False,True,True,Severe
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576673,True,False,False,Severe
USA,Large,Technology,Software,"Thomas, GA, USA",,13275.0,GA,Name7576674,True,True,False,High
USA,Large,Technology,Hardware,"Thomas, GA, USA",,13275.0,GA,Name7576675,False,True,False,Low
USA,Large,Technology,Hardware,"Thomas, GA, USA",,13275.0,GA,Name7576677,True,True,False,High
USA,Large,Technology,Hardware,"Thomas, GA, USA",,13275.0,GA,Name7576678,True,False,False,Medium
USA,Large,Technology,Hardware,"Thomas, GA, USA",,13275.0,GA,Name7576679,False,True,False,Severe
USA,Large,Technology,Hardware,"Thomas, GA, USA",,13275.0,GA,Name7576680,True,True,False,Severe
USA,Large,Technology,Hardware,"Thomas, GA, USA",,13275.0,GA,Name7576681,True,True,False,High
USA,Large,Technology,Hardware,"Thomas, GA, USA",,13275.0,GA,Name7576682,True,False,False,High
USA,Large,Technology,Hardware,"Thomas, GA, USA",,13275.0,GA,Name7576683,False,True,False,Medium
USA,Large,Technology,Hardware,"Thomas, GA, USA",,13275.0,GA,Name7576685,False,False,True,Medium
USA,Large,Technology,Hardware,"Thomas, GA, USA",,13275.0,GA,Name7576687,True,False,False,Low
USA,Large,Technology,Hardware,"Thomas, GA, USA",,13275.0,GA,Name7576688,False,True,True,Low
USA,Large,Technology,Hardware,"Thomas, GA, USA",,13275.0,GA,Name7576689,True,True,False,Medium
USA,Large,Technology,Hardware,"Thomas, GA, USA",,13275.0,GA,Name7576690,False,False,True,Medium
USA,Large,Technology,Hardware,"Thomas, GA, USA",,13275.0,GA,Name7576691,False,False,True,Severe
USA,Large,Technology,Hardware,"Thomas, GA, USA",,13275.0,GA,Name7576692,True,False,False,Low
USA,Large,Technology,Hardware,"Thomas, GA, USA",,13275.0,GA,Name7576693,True,True,False,Severe
USA,Large,Technology,Hardware,"Thomas, GA, USA",,13275.0,GA,Name7576694,False,True,True,Low
USA,Large,Technology,Hardware,"Thomas, GA, USA",,13275.0,GA,Name7576695,True,False,False,Low
USA,Large,Technology,Hardware,"Thomas, GA, USA",,13275.0,GA,Name7576696,False,False,True,Severe
USA,Large,Technology,Hardware,"Thomas, GA, USA",,13275.0,GA,Name7576698,True,False,False,Severe
USA,Large,Technology,Hardware,"Thomas, GA, USA",,13275.0,GA,Name7576699,True,False,False,Severe
USA,Large,Technology,IT Services,"Thomas, GA, USA",,13275.0,GA,Name7576700,True,False,False,Low
USA,Large,Technology,IT Services,"Thomas, GA, USA",,13275.0,GA,Name7576701,True,True,False,Severe
USA,Large,Technology,IT Services,"Thomas, GA, USA",,13275.0,GA,Name7576702,False,True,False,Low
USA,Large,Technology,IT Services,"Thomas, GA, USA",,13275.0,GA,Name7576703,False,False,True,Medium
USA,Large,Technology,IT Services,"Thomas, GA, USA",,13275.0,GA,Name7576704,False,True,False,Severe
USA,Large,Technology,IT Services,"Thomas, GA, USA",,13275.0,GA,Name7576705,True,True,False,Low
USA,Large,Technology,IT Services,"Thomas, GA, USA",,13275.0,GA,Name7576706,True,True,False,Medium
USA,Large,Technology,IT Services,"Thomas, GA, USA",,13275.0,GA,Name7576707,True,False,False,High
USA,Large,Technology,IT Services,"Thomas, GA, USA",,13275.0,GA,Name7576708,True,True,False,Severe
USA,Large,Technology,IT Services,"Thomas, GA, USA",,13275.0,GA,Name7576709,True,False,False,Low
USA,Large,Technology,IT Services,"Thomas, GA, USA",,13275.0,GA,Name7576710,False,True,True,Low
USA,Large,Technology,IT Services,"Thomas, GA, USA",,13275.0,GA,Name7576711,False,True,True,Medium
USA,Large,Technology,IT Services,"Thomas, GA, USA",,13275.0,GA,Name7576712,True,False,False,High
USA,Large,Technology,IT Services,"Thomas, GA, USA",,13275.0,GA,Name7576713,True,False,False,Severe
USA,Large,Technology,IT Services,"Thomas, GA, USA",,13275.0,GA,Name7576714,False,True,False,Low
