Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
USA,Large,Technology,Software,"Delaware, IA, USA",,19055.0,IA,Name8796215,True,False,False,Medium
USA,Large,Technology,Software,"Delaware, IA, USA",,19055.0,IA,Name8796216,True,True,False,Severe
USA,Large,Technology,Software,"Delaware, IA, USA",,19055.0,IA,Name8796217,True,True,False,Medium
USA,Large,Technology,Software,"Delaware, IA, USA",,19055.0,IA,Name8796219,True,True,False,High
USA,Large,Technology,Software,"Delaware, IA, USA",,19055.0,IA,Name8796220,True,True,False,High
USA,Large,Technology,Software,"Delaware, IA, USA",,19055.0,IA,Name8796221,True,True,False,Low
USA,Large,Technology,Software,"Delaware, IA, USA",,19055.0,IA,Name8796222,True,True,False,Low
USA,Large,Technology,Software,"Delaware, IA, USA",,19055.0,IA,Name8796223,False,True,True,Low
USA,Large,Technology,Software,"Delaware, IA, USA",,19055.0,IA,Name8796224,True,False,False,High
USA,Large,Technology,Software,"Delaware, IA, USA",,19055.0,IA,Name8796225,False,True,False,Medium
USA,Large,Technology,Software,"Delaware, IA, USA",,19055.0,IA,Name8796226,True,True,False,Medium
USA,Large,Technology,Hardware,"Delaware, IA, USA",,19055.0,IA,Name8796227,False,True,False,Severe
USA,Large,Technology,Hardware,"Delaware, IA, USA",,19055.0,IA,Name8796228,True,True,False,Severe
USA,Large,Technology,Hardware,"Delaware, IA, USA",,19055.0,IA,Name8796230,False,True,False,Severe
USA,Large,Technology,Hardware,"Delaware, IA, USA",,19055.0,IA,Name8796231,True,True,False,Severe
USA,Large,Technology,Hardware,"Delaware, IA, USA",,19055.0,IA,Name8796232,False,False,True,Medium
USA,Large,Technology,Hardware,"Delaware, IA, USA",,19055.0,IA,Name8796233,False,True,True,Low
USA,Large,Technology,Hardware,"Delaware, IA, USA",,19055.0,IA,Name8796234,True,False,False,Severe
USA,Large,Technology,Hardware,"Delaware, IA, USA",,19055.0,IA,Name8796235,True,True,False,Low
USA,Large,Technology,Hardware,"Delaware, IA, USA",,19055.0,IA,Name8796236,True,True,False,Low
USA,Large,Technology,Hardware,"Delaware, IA, USA",,19055.0,IA,Name8796237,True,False,False,Severe
USA,Large,Technology,Hardware,"Delaware, IA, USA",,19055.0,IA,Name8796238,False,True,False,Medium
USA,Large,Technology,Hardware,"Delaware, IA, USA",,19055.0,IA,Name8796239,False,False,True,Low
USA,Large,Technology,Hardware,"Delaware, IA, USA",,19055.0,IA,Name8796240,True,False,False,Low
USA,Large,Technology,Hardware,"Delaware, IA, USA",,19055.0,IA,Name8796241,True,True,False,High
USA,Large,Technology,Hardware,"Delaware, IA, USA",,19055.0,IA,Name8796242,True,False,False,Medium
USA,Large,Technology,Hardware,"Delaware, IA, USA",,19055.0,IA,Name8796243,False,True,False,Low
USA,Large,Technology,Hardware,"Delaware, IA, USA",,19055.0,IA,Name8796245,True,True,False,High
USA,Large,Technology,Hardware,"Delaware, IA, USA",,19055.0,IA,Name8796246,False,True,True,High
USA,Large,Technology,Hardware,"Delaware, IA, USA",,19055.0,IA,Name8796247,False,True,False,Severe
USA,Large,Technology,Hardware,"Delaware, IA, USA",,19055.0,IA,Name8796248,True,True,False,Severe
USA,Large,Technology,Hardware,"Delaware, IA, USA",,19055.0,IA,Name8796249,True,False,False,High
USA,Large,Technology,Hardware,"Delaware, IA, USA",,19055.0,IA,Name8796251,False,False,True,Low
USA,Large,Technology,Hardware,"Delaware, IA, USA",,19055.0,IA,Name8796252,True,False,False,Medium
USA,Large,Technology,Hardware,"Delaware, IA, USA",,19055.0,IA,Name8796253,False,True,False,Medium
USA,Large,Technology,IT Services,"Delaware, IA, USA",,19055.0,IA,Name8796256,False,True,False,Low
USA,Large,Technology,IT Services,"Delaware, IA, USA",,19055.0,IA,Name8796257,True,True,False,Low
USA,Large,Technology,IT Services,"Delaware, IA, USA",,19055.0,IA,Name8796258,True,True,False,Severe
USA,Large,Technology,IT Services,"Delaware, IA, USA",,19055.0,IA,Name8796259,False,False,True,Medium
USA,Large,Technology,IT Services,"Delaware, IA, USA",,19055.0,IA,Name8796260,False,False,True,High
USA,Large,Technology,IT Services,"Delaware, IA, USA",,19055.0,IA,Name8796262,True,False,False,Low
USA,Large,Technology,IT Services,"Delaware, IA, USA",,19055.0,IA,Name8796263,True,True,False,Medium
USA,Large,Technology,IT Services,"Delaware, IA, USA",,19055.0,IA,Name8796264,True,False,False,High
USA,Large,Technology,IT Services,"Delaware, IA, USA",,19055.0,IA,Name8796265,True,False,False,Severe
USA,Large,Technology,IT Services,"Delaware, IA, USA",,19055.0,IA,Name8796266,False,True,False,Severe
USA,Large,Technology,IT Services,"Delaware, IA, USA",,19055.0,IA,Name8796267,True,False,False,Low
USA,Large,Technology,IT Services,"Delaware, IA, USA",,19055.0,IA,Name8796268,True,False,False,High
USA,Large,Technology,IT Services,"Delaware, IA, USA",,19055.0,IA,Name8796269,True,False,False,Severe
