Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
USA,Large,Technology,Software,"Jefferson, KY, USA",,21111.0,KY,Name9669946,True,False,False,High
USA,Large,Technology,Software,"Jefferson, KY, USA",,21111.0,KY,Name9669947,False,True,True,Low
USA,Large,Technology,Software,"Jefferson, KY, USA",,21111.0,KY,Name9669948,False,True,False,Low
USA,Large,Technology,Software,"Jefferson, KY, USA",,21111.0,KY,Name9669950,True,True,False,High
USA,Large,Technology,Software,"Jefferson, KY, USA",,21111.0,KY,Name9669951,True,True,False,High
USA,Large,Technology,Software,"Jefferson, KY, USA",,21111.0,KY,Name9669952,True,False,False,Medium
USA,Large,Technology,Software,"Jefferson, KY, USA",,21111.0,KY,Name9669953,False,True,False,Low
USA,Large,Technology,Software,"Jefferson, KY, USA",,21111.0,KY,Name9669954,True,True,False,Low
USA,Large,Technology,Software,"Jefferson, KY, USA",,21111.0,KY,Name9669957,True,False,False,High
USA,Large,Technology,Software,"Jefferson, KY, USA",,21111.0,KY,Name9669958,False,True,True,High
USA,Large,Technology,Software,"Jefferson, KY, USA",,21111.0,KY,Name9669959,True,False,False,Low
USA,Large,Technology,Software,"Jefferson, KY, USA",,21111.0,KY,Name9669960,False,True,False,High
USA,Large,Technology,Software,"Jefferson, KY, USA",,21111.0,KY,Name9669961,False,True,False,Low
USA,Large,Technology,Software,"Jefferson, KY, USA",,21111.0,KY,Name9669962,False,False,True,Severe
USA,Large,Technology,Software,"Jefferson, KY, USA",,21111.0,KY,Name9669963,True,True,False,High
USA,Large,Technology,Software,"Jefferson, KY, USA",,21111.0,KY,Name9669964,True,True,False,High
USA,Large,Technology,Software,"Jefferson, KY, USA",,21111.0,KY,Name9669965,True,False,False,Medium
USA,Large,Technology,Software,"Jefferson, KY, USA",,21111.0,KY,Name9669966,False,False,True,Medium
USA,Large,Technology,Software,"Jefferson, KY, USA",,21111.0,KY,Name9669967,True,False,False,Low
USA,Large,Technology,Software,"Jefferson, KY, USA",,21111.0,KY,Name9669968,False,False,True,Severe
USA,Large,Technology,Software,"Jefferson, KY, USA",,21111.0,KY,Name9669969,False,True,False,Low
