Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
USA,Large,Technology,Software,"Gallatin, MT, USA",,30031.0,MT,Name12040297,False,True,True,Medium
USA,Large,Technology,Software,"Gallatin, MT, USA",,30031.0,MT,Name12040298,True,False,False,Medium
USA,Large,Technology,Software,"Gallatin, MT, USA",,30031.0,MT,Name12040299,True,True,False,High
USA,Large,Technology,Software,"Gallatin, MT, USA",,30031.0,MT,Name12040300,False,True,True,Low
USA,Large,Technology,Software,"Gallatin, MT, USA",,30031.0,MT,Name12040301,True,True,False,Medium
USA,Large,Technology,Software,"Gallatin, MT, USA",,30031.0,MT,Name12040302,False,False,True,High
USA,Large,Technology,Software,"Gallatin, MT, USA",,30031.0,MT,Name12040303,True,False,False,High
USA,Large,Technology,Software,"Gallatin, MT, USA",,30031.0,MT,Name12040304,True,False,False,Severe
USA,Large,Technology,Software,"Gallatin, MT, USA",,30031.0,MT,Name12040305,True,False,False,Severe
USA,Large,Technology,Software,"Gallatin, MT, USA",,30031.0,MT,Name12040306,False,False,True,Medium
USA,Large,Technology,Software,"Gallatin, MT, USA",,30031.0,MT,Name12040307,True,True,False,Medium
USA,Large,Technology,Software,"Gallatin, MT, USA",,30031.0,MT,Name12040308,True,True,False,High
USA,Large,Technology,Software,"Gallatin, MT, USA",,30031.0,MT,Name12040309,False,True,True,Medium
USA,Large,Technology,Software,"Gallatin, MT, USA",,30031.0,MT,Name12040310,True,False,False,Severe
USA,Large,Technology,Software,"Gallatin, MT, USA",,30031.0,MT,Name12040311,True,True,False,High
USA,Large,Technology,Software,"Gallatin, MT, USA",,30031.0,MT,Name12040312,False,True,True,High
USA,Large,Technology,Software,"Gallatin, MT, USA",,30031.0,MT,Name12040313,True,False,False,High
USA,Large,Technology,Software,"Gallatin, MT, USA",,30031.0,MT,Name12040314,True,False,False,Medium
USA,Large,Technology,Software,"Gallatin, MT, USA",,30031.0,MT,Name12040315,True,False,False,High
USA,Large,Technology,Software,"Gallatin, MT, USA",,30031.0,MT,Name12040316,True,False,False,Low
