Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
USA,Large,Technology,Software,"Dodge, NE, USA",,31053.0,NE,Name12191443,False,True,True,High
USA,Large,Technology,Software,"Dodge, NE, USA",,31053.0,NE,Name12191444,False,True,True,Medium
USA,Large,Technology,Software,"Dodge, NE, USA",,31053.0,NE,Name12191445,True,True,False,Medium
USA,Large,Technology,Software,"Dodge, NE, USA",,31053.0,NE,Name12191446,False,True,False,Severe
USA,Large,Technology,Software,"Dodge, NE, USA",,31053.0,NE,Name12191447,False,True,True,Severe
USA,Large,Technology,Software,"Dodge, NE, USA",,31053.0,NE,Name12191449,True,False,False,High
USA,Large,Technology,Software,"Dodge, NE, USA",,31053.0,NE,Name12191450,False,True,False,Low
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191451,True,False,False,Low
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191452,False,True,False,High
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191453,False,False,True,High
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191455,True,False,False,Medium
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191456,False,False,True,Severe
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191457,False,False,True,Low
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191458,False,True,False,High
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191460,True,True,False,Low
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191461,False,True,False,Low
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191462,True,False,False,Low
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191463,True,True,False,Low
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191464,False,False,True,Severe
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191465,True,True,False,Severe
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191466,False,True,False,High
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191467,True,True,False,Medium
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191468,False,True,False,Low
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191469,False,True,False,Medium
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191470,True,True,False,Low
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191471,True,False,False,Medium
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191472,True,True,False,Severe
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191473,True,True,False,Medium
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191474,False,True,True,High
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191475,False,True,True,High
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191476,True,False,False,Severe
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191477,True,False,False,Medium
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191478,True,True,False,High
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191479,True,True,False,Severe
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191480,False,True,False,Low
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191481,True,True,False,Low
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191482,True,False,False,High
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191483,True,False,False,Severe
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191484,False,False,True,High
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191486,True,True,False,Low
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191487,False,True,False,High
USA,Large,Technology,Hardware,"Dodge, NE, USA",,31053.0,NE,Name12191489,False,True,False,High
USA,Large,Technology,IT Services,"Dodge, NE, USA",,31053.0,NE,Name12191491,True,True,False,High
USA,Large,Technology,IT Services,"Dodge, NE, USA",,31053.0,NE,Name12191492,False,False,True,Medium
USA,Large,Technology,IT Services,"Dodge, NE, USA",,31053.0,NE,Name12191493,False,False,True,Medium
USA,Large,Technology,IT Services,"Dodge, NE, USA",,31053.0,NE,Name12191494,True,True,False,High
USA,Large,Technology,IT Services,"Dodge, NE, USA",,31053.0,NE,Name12191495,True,False,False,Medium
USA,Large,Technology,IT Services,"Dodge, NE, USA",,31053.0,NE,Name12191496,True,False,False,Low
USA,Large,Technology,IT Services,"Dodge, NE, USA",,31053.0,NE,Name12191497,True,False,False,High
