Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
USA,Large,Technology,Software,"Geauga, OH, USA",,39055.0,OH,Name13644343,True,True,False,Low
USA,Large,Technology,Software,"Geauga, OH, USA",,39055.0,OH,Name13644344,True,True,False,Medium
USA,Large,Technology,Software,"Geauga, OH, USA",,39055.0,OH,Name13644345,True,False,False,Low
USA,Large,Technology,Software,"Geauga, OH, USA",,39055.0,OH,Name13644346,True,True,False,Medium
USA,Large,Technology,Software,"Geauga, OH, USA",,39055.0,OH,Name13644347,True,False,False,Severe
USA,Large,Technology,Software,"Geauga, OH, USA",,39055.0,OH,Name13644348,False,False,True,High
USA,Large,Technology,Software,"Geauga, OH, USA",,39055.0,OH,Name13644349,True,False,False,Severe
USA,Large,Technology,Software,"Geauga, OH, USA",,39055.0,OH,Name13644350,True,True,False,Low
USA,Large,Technology,Software,"Geauga, OH, USA",,39055.0,OH,Name13644351,False,True,True,High
USA,Large,Technology,Software,"Geauga, OH, USA",,39055.0,OH,Name13644353,False,True,True,Medium
USA,Large,Technology,Software,"Geauga, OH, USA",,39055.0,OH,Name13644354,True,True,False,Low
USA,Large,Technology,Software,"Geauga, OH, USA",,39055.0,OH,Name13644355,True,False,False,High
USA,Large,Technology,Software,"Geauga, OH, USA",,39055.0,OH,Name13644356,True,False,False,Low
USA,Large,Technology,Software,"Geauga, OH, USA",,39055.0,OH,Name13644357,True,True,False,High
USA,Large,Technology,Software,"Geauga, OH, USA",,39055.0,OH,Name13644358,False,True,True,Medium
USA,Large,Technology,Software,"Geauga, OH, USA",,39055.0,OH,Name13644359,True,False,False,Low
USA,Large,Technology,Software,"Geauga, OH, USA",,39055.0,OH,Name13644360,False,True,True,Medium
USA,Large,Technology,Software,"Geauga, OH, USA",,39055.0,OH,Name13644361,True,False,False,Low
USA,Large,Technology,Software,"Geauga, OH, USA",,39055.0,OH,Name13644362,True,True,False,High
USA,Large,Technology,Software,"Geauga, OH, USA",,39055.0,OH,Name13644363,False,True,False,Severe
USA,Large,Technology,Software,"Geauga, OH, USA",,39055.0,OH,Name13644364,True,True,False,High
USA,Large,Technology,Software,"Geauga, OH, USA",,39055.0,OH,Name13644365,True,True,False,Severe
USA,Large,Technology,Software,"Geauga, OH, USA",,39055.0,OH,Name13644366,True,False,False,Low
USA,Large,Technology,Software,"Geauga, OH, USA",,39055.0,OH,Name13644367,True,True,False,High
USA,Large,Technology,Software,"Geauga, OH, USA",,39055.0,OH,Name13644368,True,False,False,High
USA,Large,Technology,Software,"Geauga, OH, USA",,39055.0,OH,Name13644369,False,False,True,High
USA,Large,Technology,Software,"Geauga, OH, USA",,39055.0,OH,Name13644370,True,True,False,Low
USA,Large,Technology,Hardware,"Geauga, OH, USA",,39055.0,OH,Name13644372,True,False,False,Medium
USA,Large,Technology,Hardware,"Geauga, OH, USA",,39055.0,OH,Name13644375,False,True,True,High
USA,Large,Technology,Hardware,"Geauga, OH, USA",,39055.0,OH,Name13644376,True,False,False,High
USA,Large,Technology,Hardware,"Geauga, OH, USA",,39055.0,OH,Name13644377,False,False,True,Severe
USA,Large,Technology,Hardware,"Geauga, OH, USA",,39055.0,OH,Name13644378,False,True,True,High
USA,Large,Technology,Hardware,"Geauga, OH, USA",,39055.0,OH,Name13644379,True,False,False,Low
USA,Large,Technology,IT Services,"Geauga, OH, USA",,39055.0,OH,Name13644380,False,True,True,Medium
USA,Large,Technology,IT Services,"Geauga, OH, USA",,39055.0,OH,Name13644381,False,True,False,Severe
USA,Large,Technology,IT Services,"Geauga, OH, USA",,39055.0,OH,Name13644382,True,False,False,Medium
