Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
USA,Large,Technology,Software,"Jefferson, OR, USA",,41031.0,OR,Name14291170,False,False,True,Medium
USA,Large,Technology,Software,"Jefferson, OR, USA",,41031.0,OR,Name14291171,True,False,False,High
USA,Large,Technology,Software,"Jefferson, OR, USA",,41031.0,OR,Name14291173,True,True,False,High
USA,Large,Technology,Software,"Jefferson, OR, USA",,41031.0,OR,Name14291174,True,False,False,High
USA,Large,Technology,Software,"Jefferson, OR, USA",,41031.0,OR,Name14291175,False,True,True,Medium
USA,Large,Technology,Software,"Jefferson, OR, USA",,41031.0,OR,Name14291176,True,True,False,Low
USA,Large,Technology,Software,"Jefferson, OR, USA",,41031.0,OR,Name14291177,False,False,True,Medium
USA,Large,Technology,Software,"Jefferson, OR, USA",,41031.0,OR,Name14291178,False,False,True,Low
USA,Large,Technology,Software,"Jefferson, OR, USA",,41031.0,OR,Name14291180,True,False,False,Severe
USA,Large,Technology,Software,"Jefferson, OR, USA",,41031.0,OR,Name14291181,True,True,False,Medium
USA,Large,Technology,Software,"Jefferson, OR, USA",,41031.0,OR,Name14291182,False,False,True,Severe
USA,Large,Technology,Software,"Jefferson, OR, USA",,41031.0,OR,Name14291183,False,True,False,Low
USA,Large,Technology,Software,"Jefferson, OR, USA",,41031.0,OR,Name14291184,True,False,False,Low
USA,Large,Technology,Software,"Jefferson, OR, USA",,41031.0,OR,Name14291185,False,True,True,Low
USA,Large,Technology,Software,"Jefferson, OR, USA",,41031.0,OR,Name14291186,False,True,False,Severe
USA,Large,Technology,Software,"Jefferson, OR, USA",,41031.0,OR,Name14291187,True,False,False,Low
USA,Large,Technology,Software,"Jefferson, OR, USA",,41031.0,OR,Name14291188,True,False,False,Low
USA,Large,Technology,Software,"Jefferson, OR, USA",,41031.0,OR,Name14291189,False,False,True,Low
USA,Large,Technology,Software,"Jefferson, OR, USA",,41031.0,OR,Name14291190,True,True,False,Severe
USA,Large,Technology,Software,"Jefferson, OR, USA",,41031.0,OR,Name14291191,True,False,False,Severe
USA,Large,Technology,Software,"Jefferson, OR, USA",,41031.0,OR,Name14291192,False,False,True,Severe
USA,Large,Technology,Software,"Jefferson, OR, USA",,41031.0,OR,Name14291193,False,False,True,Severe
USA,Large,Technology,Software,"Jefferson, OR, USA",,41031.0,OR,Name14291194,True,True,False,High
USA,Large,Technology,Software,"Jefferson, OR, USA",,41031.0,OR,Name14291195,True,True,False,Medium
USA,Large,Technology,Software,"Jefferson, OR, USA",,41031.0,OR,Name14291196,False,False,True,Medium
USA,Large,Technology,Software,"Jefferson, OR, USA",,41031.0,OR,Name14291197,True,False,False,High
USA,Large,Technology,Software,"Jefferson, OR, USA",,41031.0,OR,Name14291198,True,False,False,Medium
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291200,False,True,True,High
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291201,False,True,False,Medium
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291203,True,True,False,Medium
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291204,True,False,False,Severe
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291205,False,True,False,High
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291206,True,True,False,Medium
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291207,True,False,False,Medium
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291208,True,True,False,Medium
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291209,True,False,False,Severe
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291210,True,True,False,High
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291211,False,True,True,Medium
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291212,True,True,False,Severe
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291213,True,True,False,Low
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291214,True,False,False,Low
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291215,True,True,False,Low
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291217,False,False,True,Low
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291218,True,True,False,Severe
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291219,True,False,False,Medium
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291220,True,True,False,Low
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291221,False,True,True,Severe
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291222,False,False,True,Severe
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291223,True,True,False,Low
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291224,True,False,False,High
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291225,True,True,False,Medium
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291226,False,True,True,High
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291227,True,True,False,Low
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291228,True,True,False,Severe
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291229,True,False,False,Medium
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291230,False,False,True,Medium
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291231,True,True,False,Medium
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291232,False,False,True,Low
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291233,True,True,False,Medium
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291234,False,True,True,High
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291235,False,False,True,Low
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291236,False,True,False,Severe
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291237,True,True,False,High
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291238,True,True,False,High
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291239,True,False,False,Severe
USA,Large,Technology,Hardware,"Jefferson, OR, USA",,41031.0,OR,Name14291240,True,True,False,Medium
