Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
USA,Large,Technology,Software,"Cheatham, TN, USA",,47021.0,TN,Name15222576,True,True,False,High
USA,Large,Technology,Software,"Cheatham, TN, USA",,47021.0,TN,Name15222577,False,True,False,High
USA,Large,Technology,Software,"Cheatham, TN, USA",,47021.0,TN,Name15222578,True,False,False,Medium
USA,Large,Technology,Software,"Cheatham, TN, USA",,47021.0,TN,Name15222579,True,False,False,Medium
USA,Large,Technology,Software,"Cheatham, TN, USA",,47021.0,TN,Name15222580,False,False,True,Low
USA,Large,Technology,Software,"Cheatham, TN, USA",,47021.0,TN,Name15222581,True,True,False,Medium
USA,Large,Technology,Software,"Cheatham, TN, USA",,47021.0,TN,Name15222582,True,False,False,Medium
USA,Large,Technology,Software,"Cheatham, TN, USA",,47021.0,TN,Name15222583,False,True,False,Low
USA,Large,Technology,Software,"Cheatham, TN, USA",,47021.0,TN,Name15222584,True,False,False,Low
USA,Large,Technology,Software,"Cheatham, TN, USA",,47021.0,TN,Name15222585,True,False,False,Severe
USA,Large,Technology,Software,"Cheatham, TN, USA",,47021.0,TN,Name15222586,True,True,False,High
USA,Large,Technology,Software,"Cheatham, TN, USA",,47021.0,TN,Name15222587,False,True,True,High
USA,Large,Technology,Software,"Cheatham, TN, USA",,47021.0,TN,Name15222588,True,True,False,Medium
USA,Large,Technology,Software,"Cheatham, TN, USA",,47021.0,TN,Name15222589,False,True,False,Severe
USA,Large,Technology,Software,"Cheatham, TN, USA",,47021.0,TN,Name15222590,True,False,False,Severe
USA,Large,Technology,Software,"Cheatham, TN, USA",,47021.0,TN,Name15222592,False,True,True,Low
USA,Large,Technology,Software,"Cheatham, TN, USA",,47021.0,TN,Name15222593,False,True,False,High
USA,Large,Technology,Software,"Cheatham, TN, USA",,47021.0,TN,Name15222594,False,True,True,Severe
USA,Large,Technology,Software,"Cheatham, TN, USA",,47021.0,TN,Name15222595,True,False,False,High
USA,Large,Technology,Software,"Cheatham, TN, USA",,47021.0,TN,Name15222596,True,False,False,High
USA,Large,Technology,Software,"Cheatham, TN, USA",,47021.0,TN,Name15222597,False,True,False,Low
USA,Large,Technology,Software,"Cheatham, TN, USA",,47021.0,TN,Name15222598,True,True,False,Medium
USA,Large,Technology,Software,"Cheatham, TN, USA",,47021.0,TN,Name15222599,False,False,True,High
USA,Large,Technology,Software,"Cheatham, TN, USA",,47021.0,TN,Name15222600,False,True,True,High
USA,Large,Technology,Software,"Cheatham, TN, USA",,47021.0,TN,Name15222601,True,False,False,Severe
USA,Large,Technology,Software,"Cheatham, TN, USA",,47021.0,TN,Name15222602,True,False,False,Medium
USA,Large,Technology,Software,"Cheatham, TN, USA",,47021.0,TN,Name15222603,False,True,False,Low
USA,Large,Technology,Software,"Cheatham, TN, USA",,47021.0,TN,Name15222604,True,False,False,Low
USA,Large,Technology,Hardware,"Cheatham, TN, USA",,47021.0,TN,Name15222605,False,False,True,High
USA,Large,Technology,Hardware,"Cheatham, TN, USA",,47021.0,TN,Name15222606,False,True,True,Severe
USA,Large,Technology,Hardware,"Cheatham, TN, USA",,47021.0,TN,Name15222607,False,True,False,High
USA,Large,Technology,Hardware,"Cheatham, TN, USA",,47021.0,TN,Name15222608,True,False,False,Medium
USA,Large,Technology,Hardware,"Cheatham, TN, USA",,47021.0,TN,Name15222609,True,False,False,High
USA,Large,Technology,Hardware,"Cheatham, TN, USA",,47021.0,TN,Name15222610,False,True,True,High
USA,Large,Technology,IT Services,"Cheatham, TN, USA",,47021.0,TN,Name15222611,False,True,False,Medium
USA,Large,Technology,IT Services,"Cheatham, TN, USA",,47021.0,TN,Name15222613,False,True,True,High
USA,Large,Technology,IT Services,"Cheatham, TN, USA",,47021.0,TN,Name15222614,True,True,False,Low
USA,Large,Technology,IT Services,"Cheatham, TN, USA",,47021.0,TN,Name15222615,True,True,False,Medium
USA,Large,Technology,IT Services,"Cheatham, TN, USA",,47021.0,TN,Name15222616,False,False,True,Medium
USA,Large,Technology,IT Services,"Cheatham, TN, USA",,47021.0,TN,Name15222617,False,True,False,Low
USA,Large,Technology,IT Services,"Cheatham, TN, USA",,47021.0,TN,Name15222618,False,True,True,Low
USA,Large,Technology,IT Services,"Cheatham, TN, USA",,47021.0,TN,Name15222619,True,False,False,Medium
USA,Large,Technology,IT Services,"Cheatham, TN, USA",,47021.0,TN,Name15222620,True,True,False,Low
USA,Large,Technology,IT Services,"Cheatham, TN, USA",,47021.0,TN,Name15222621,False,True,False,Low
USA,Large,Technology,IT Services,"Cheatham, TN, USA",,47021.0,TN,Name15222622,False,True,False,Low
USA,Large,Technology,IT Services,"Cheatham, TN, USA",,47021.0,TN,Name15222623,False,False,True,High
USA,Large,Technology,IT Services,"Cheatham, TN, USA",,47021.0,TN,Name15222624,True,True,False,High
USA,Large,Technology,IT Services,"Cheatham, TN, USA",,47021.0,TN,Name15222625,False,False,True,Low
USA,Large,Technology,IT Services,"Cheatham, TN, USA",,47021.0,TN,Name15222626,True,True,False,Low
USA,Large,Technology,IT Services,"Cheatham, TN, USA",,47021.0,TN,Name15222627,False,True,True,Severe
USA,Large,Technology,IT Services,"Cheatham, TN, USA",,47021.0,TN,Name15222628,False,True,True,Low
USA,Large,Technology,IT Services,"Cheatham, TN, USA",,47021.0,TN,Name15222629,True,False,False,Medium
USA,Large,Technology,IT Services,"Cheatham, TN, USA",,47021.0,TN,Name15222630,False,True,True,Low
USA,Large,Technology,IT Services,"Cheatham, TN, USA",,47021.0,TN,Name15222631,False,False,True,Medium
USA,Large,Healthcare,Pharmaceuticals,"Cheatham, TN, USA",,47021.0,TN,Name15222632,False,True,False,Medium
USA,Large,Healthcare,Pharmaceuticals,"Cheatham, TN, USA",,47021.0,TN,Name15222633,True,False,False,Medium
USA,Large,Healthcare,Pharmaceuticals,"Cheatham, TN, USA",,47021.0,TN,Name15222634,False,True,True,Low
USA,Large,Healthcare,Pharmaceuticals,"Cheatham, TN, USA",,47021.0,TN,Name15222635,False,True,True,Medium
USA,Large,Healthcare,Pharmaceuticals,"Cheatham, TN, USA",,47021.0,TN,Name15222637,True,True,False,Low
USA,Large,Healthcare,Pharmaceuticals,"Cheatham, TN, USA",,47021.0,TN,Name15222638,False,False,True,High
USA,Large,Healthcare,Pharmaceuticals,"Cheatham, TN, USA",,47021.0,TN,Name15222639,True,False,False,Severe
USA,Large,Healthcare,Pharmaceuticals,"Cheatham, TN, USA",,47021.0,TN,Name15222640,False,True,True,Medium
