Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
USA,Large,Technology,Software,"Garfield, UT, USA",,49017.0,UT,Name16584998,True,True,False,Low
USA,Large,Technology,Software,"Garfield, UT, USA",,49017.0,UT,Name16584999,False,False,True,Severe
USA,Large,Technology,Software,"Garfield, UT, USA",,49017.0,UT,Name16585000,False,True,False,Low
USA,Large,Technology,Software,"Garfield, UT, USA",,49017.0,UT,Name16585003,True,False,False,Severe
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585004,True,True,False,Low
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585005,True,False,False,Severe
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585007,True,True,False,Low
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585008,True,False,False,Severe
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585009,False,False,True,Medium
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585010,True,False,False,Medium
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585011,True,False,False,High
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585013,False,True,False,High
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585014,True,True,False,Medium
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585015,True,False,False,High
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585017,True,False,False,High
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585018,True,True,False,Severe
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585019,True,True,False,High
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585020,True,False,False,Low
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585021,True,True,False,Severe
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585022,False,True,False,Severe
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585023,False,True,True,High
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585025,False,True,True,Severe
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585027,False,True,True,Severe
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585028,True,False,False,High
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585029,True,False,False,Medium
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585030,False,False,True,High
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585031,False,True,False,Low
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585033,False,False,True,Severe
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585034,True,True,False,Medium
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585035,False,False,True,Severe
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585037,False,False,True,Low
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585038,True,True,False,Severe
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585039,False,True,True,Low
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585040,True,False,False,Severe
USA,Large,Technology,Hardware,"Garfield, UT, USA",,49017.0,UT,Name16585041,True,True,False,Low
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585042,False,True,True,High
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585043,False,True,True,High
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585044,True,False,False,Low
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585047,False,False,True,Medium
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585048,False,False,True,Medium
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585049,True,True,False,Severe
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585050,True,True,False,High
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585051,False,True,False,Low
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585052,False,False,True,Medium
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585053,True,False,False,High
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585054,True,True,False,Low
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585055,True,False,False,Low
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585056,True,False,False,Medium
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585057,False,True,False,High
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585058,True,True,False,Low
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585059,True,False,False,Medium
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585060,False,True,True,High
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585062,False,True,False,Severe
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585064,True,False,False,Medium
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585066,False,False,True,Medium
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585068,False,True,False,Medium
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585069,False,True,False,High
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585070,False,True,False,High
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585071,True,True,False,Low
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585072,False,True,True,Severe
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585073,True,False,False,Low
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585074,False,True,True,Severe
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585075,False,True,True,Low
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585076,True,False,False,Medium
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585077,True,False,False,Low
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585078,True,False,False,Low
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585079,True,True,False,Medium
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585080,True,False,False,Severe
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585081,False,False,True,Low
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585082,False,False,True,Low
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585083,True,False,False,High
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585084,False,False,True,High
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585085,True,True,False,Severe
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585086,False,False,True,High
USA,Large,Technology,IT Services,"Garfield, UT, USA",,49017.0,UT,Name16585088,False,True,False,Medium
USA,Large,Healthcare,Pharmaceuticals,"Garfield, UT, USA",,49017.0,UT,Name16585089,True,True,False,Low
USA,Large,Healthcare,Pharmaceuticals,"Garfield, UT, USA",,49017.0,UT,Name16585092,True,True,False,High
USA,Large,Healthcare,Pharmaceuticals,"Garfield, UT, USA",,49017.0,UT,Name16585094,True,False,False,High
USA,Large,Healthcare,Pharmaceuticals,"Garfield, UT, USA",,49017.0,UT,Name16585095,True,False,False,High
USA,Large,Healthcare,Pharmaceuticals,"Garfield, UT, USA",,49017.0,UT,Name16585096,True,True,False,Low
