Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753911,False,True,False,Medium
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753912,True,True,False,Low
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753913,True,False,False,Medium
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753914,True,True,False,High
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753915,True,False,False,Medium
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753917,True,False,False,Low
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753918,False,False,True,Low
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753919,True,True,False,Severe
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753920,False,False,True,Medium
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753921,False,False,True,Severe
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753922,True,True,False,Medium
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753923,True,True,False,Severe
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753924,True,True,False,Medium
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753928,True,True,False,Severe
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753929,True,True,False,High
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753931,False,True,True,Low
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753932,False,True,False,Medium
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753934,True,False,False,Low
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753935,False,False,True,Low
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753936,True,True,False,Severe
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753937,False,False,True,Medium
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753938,True,True,False,High
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753939,False,True,False,High
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753940,False,False,True,Medium
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753941,True,False,False,High
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753942,False,False,True,High
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753943,False,True,True,High
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753944,True,True,False,Medium
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753945,False,True,True,High
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753946,False,True,True,Medium
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753947,False,False,True,Low
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753948,True,False,False,Severe
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753949,False,False,True,Severe
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753950,False,True,True,High
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753951,False,True,False,Medium
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753952,False,True,False,High
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753953,True,True,False,Medium
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753954,False,True,True,High
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753955,True,False,False,Severe
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753957,True,False,False,Low
USA,Large,Technology,Software,"Culpeper, VA, USA",,51047.0,VA,Name16753958,False,True,False,High
USA,Large,Technology,Hardware,"Culpeper, VA, USA",,51047.0,VA,Name16753959,True,False,False,Medium
USA,Large,Technology,Hardware,"Culpeper, VA, USA",,51047.0,VA,Name16753961,False,False,True,Severe
USA,Large,Technology,Hardware,"Culpeper, VA, USA",,51047.0,VA,Name16753962,False,False,True,High
USA,Large,Technology,Hardware,"Culpeper, VA, USA",,51047.0,VA,Name16753963,False,True,False,Severe
USA,Large,Technology,Hardware,"Culpeper, VA, USA",,51047.0,VA,Name16753964,True,False,False,Low
USA,Large,Technology,Hardware,"Culpeper, VA, USA",,51047.0,VA,Name16753965,True,False,False,High
USA,Large,Technology,Hardware,"Culpeper, VA, USA",,51047.0,VA,Name16753966,False,False,True,Low
USA,Large,Technology,Hardware,"Culpeper, VA, USA",,51047.0,VA,Name16753967,True,False,False,Severe
USA,Large,Technology,Hardware,"Culpeper, VA, USA",,51047.0,VA,Name16753968,False,False,True,High
USA,Large,Technology,Hardware,"Culpeper, VA, USA",,51047.0,VA,Name16753969,True,True,False,Low
USA,Large,Technology,Hardware,"Culpeper, VA, USA",,51047.0,VA,Name16753970,True,False,False,Low
USA,Large,Technology,Hardware,"Culpeper, VA, USA",,51047.0,VA,Name16753971,True,False,False,Low
USA,Large,Technology,Hardware,"Culpeper, VA, USA",,51047.0,VA,Name16753972,False,False,True,Low
USA,Large,Technology,Hardware,"Culpeper, VA, USA",,51047.0,VA,Name16753973,False,True,False,Medium
