Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
USA,Large,Technology,Software,"Douglas, WA, USA",,53017.0,WA,Name17223675,False,True,False,High
USA,Large,Technology,Software,"Douglas, WA, USA",,53017.0,WA,Name17223677,True,False,False,Medium
USA,Large,Technology,Software,"Douglas, WA, USA",,53017.0,WA,Name17223678,False,True,True,High
USA,Large,Technology,Software,"Douglas, WA, USA",,53017.0,WA,Name17223680,True,True,False,Medium
USA,Large,Technology,Software,"Douglas, WA, USA",,53017.0,WA,Name17223682,True,False,False,Severe
USA,Large,Technology,Software,"Douglas, WA, USA",,53017.0,WA,Name17223683,True,True,False,Severe
USA,Large,Technology,Software,"Douglas, WA, USA",,53017.0,WA,Name17223684,False,True,True,High
USA,Large,Technology,Software,"Douglas, WA, USA",,53017.0,WA,Name17223686,False,True,True,Severe
USA,Large,Technology,Software,"Douglas, WA, USA",,53017.0,WA,Name17223687,True,False,False,Low
USA,Large,Technology,Software,"Douglas, WA, USA",,53017.0,WA,Name17223688,False,False,True,Low
USA,Large,Technology,Software,"Douglas, WA, USA",,53017.0,WA,Name17223689,True,True,False,Severe
USA,Large,Technology,Software,"Douglas, WA, USA",,53017.0,WA,Name17223690,True,False,False,High
USA,Large,Technology,Software,"Douglas, WA, USA",,53017.0,WA,Name17223691,False,True,True,Medium
USA,Large,Technology,Software,"Douglas, WA, USA",,53017.0,WA,Name17223692,False,False,True,Low
USA,Large,Technology,Software,"Douglas, WA, USA",,53017.0,WA,Name17223693,True,False,False,High
USA,Large,Technology,Software,"Douglas, WA, USA",,53017.0,WA,Name17223694,True,True,False,High
USA,Large,Technology,Hardware,"Douglas, WA, USA",,53017.0,WA,Name17223695,True,True,False,High
USA,Large,Technology,Hardware,"Douglas, WA, USA",,53017.0,WA,Name17223696,False,False,True,High
USA,Large,Technology,Hardware,"Douglas, WA, USA",,53017.0,WA,Name17223697,True,True,False,Low
USA,Large,Technology,Hardware,"Douglas, WA, USA",,53017.0,WA,Name17223698,True,True,False,Low
USA,Large,Technology,Hardware,"Douglas, WA, USA",,53017.0,WA,Name17223699,False,True,True,Severe
USA,Large,Technology,Hardware,"Douglas, WA, USA",,53017.0,WA,Name17223700,False,True,False,Low
USA,Large,Technology,Hardware,"Douglas, WA, USA",,53017.0,WA,Name17223702,True,True,False,Low
USA,Large,Technology,Hardware,"Douglas, WA, USA",,53017.0,WA,Name17223703,False,False,True,Low
USA,Large,Technology,Hardware,"Douglas, WA, USA",,53017.0,WA,Name17223704,False,True,False,High
USA,Large,Technology,Hardware,"Douglas, WA, USA",,53017.0,WA,Name17223705,False,False,True,High
USA,Large,Technology,Hardware,"Douglas, WA, USA",,53017.0,WA,Name17223706,False,False,True,Severe
USA,Large,Technology,Hardware,"Douglas, WA, USA",,53017.0,WA,Name17223707,True,True,False,Low
USA,Large,Technology,Hardware,"Douglas, WA, USA",,53017.0,WA,Name17223708,True,False,False,High
USA,Large,Technology,Hardware,"Douglas, WA, USA",,53017.0,WA,Name17223709,True,True,False,High
USA,Large,Technology,Hardware,"Douglas, WA, USA",,53017.0,WA,Name17223710,True,False,False,High
USA,Large,Technology,Hardware,"Douglas, WA, USA",,53017.0,WA,Name17223711,False,False,True,Severe
USA,Large,Technology,Hardware,"Douglas, WA, USA",,53017.0,WA,Name17223712,True,False,False,High
USA,Large,Technology,Hardware,"Douglas, WA, USA",,53017.0,WA,Name17223713,False,True,False,Low
USA,Large,Technology,Hardware,"Douglas, WA, USA",,53017.0,WA,Name17223714,False,True,True,Medium
USA,Large,Technology,Hardware,"Douglas, WA, USA",,53017.0,WA,Name17223716,False,False,True,Medium
USA,Large,Technology,Hardware,"Douglas, WA, USA",,53017.0,WA,Name17223717,True,True,False,Severe
USA,Large,Technology,Hardware,"Douglas, WA, USA",,53017.0,WA,Name17223718,True,True,False,High
USA,Large,Technology,Hardware,"Douglas, WA, USA",,53017.0,WA,Name17223720,True,False,False,Low
USA,Large,Technology,Hardware,"Douglas, WA, USA",,53017.0,WA,Name17223721,True,True,False,Medium
USA,Large,Technology,Hardware,"Douglas, WA, USA",,53017.0,WA,Name17223723,True,False,False,Medium
USA,Large,Technology,Hardware,"Douglas, WA, USA",,53017.0,WA,Name17223724,False,True,True,Severe
USA,Large,Technology,Hardware,"Douglas, WA, USA",,53017.0,WA,Name17223726,False,False,True,High
USA,Large,Technology,Hardware,"Douglas, WA, USA",,53017.0,WA,Name17223727,False,False,True,Severe
