Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
YEM,Large,Technology,Software,YEM,,,,Name585375,False,True,True,High
YEM,Large,Technology,Software,YEM,,,,Name585376,False,True,False,Low
YEM,Large,Technology,Software,YEM,,,,Name585377,False,True,True,Severe
YEM,Large,Technology,Software,YEM,,,,Name585378,False,False,True,Low
YEM,Large,Technology,Software,YEM,,,,Name585381,True,True,False,High
YEM,Large,Technology,Software,YEM,,,,Name585382,False,True,True,Medium
YEM,Large,Technology,Software,YEM,,,,Name585383,False,True,True,Medium
YEM,Large,Technology,Software,YEM,,,,Name585384,True,True,False,Severe
YEM,Large,Technology,Software,YEM,,,,Name585385,True,True,False,Low
YEM,Large,Technology,Software,YEM,,,,Name585386,False,False,True,High
YEM,Large,Technology,Software,YEM,,,,Name585387,True,True,False,Medium
YEM,Large,Technology,Software,YEM,,,,Name585389,True,True,False,Medium
YEM,Large,Technology,Software,YEM,,,,Name585391,True,False,False,Severe
YEM,Large,Technology,Software,YEM,,,,Name585392,True,True,False,Low
YEM,Large,Technology,Software,YEM,,,,Name585393,True,True,False,Severe
YEM,Large,Technology,Software,YEM,,,,Name585394,True,True,False,Severe
YEM,Large,Technology,Software,YEM,,,,Name585395,True,False,False,Severe
YEM,Large,Technology,Software,YEM,,,,Name585396,True,False,False,Medium
YEM,Large,Technology,Software,YEM,,,,Name585397,True,False,False,Medium
YEM,Large,Technology,Software,YEM,,,,Name585398,False,True,False,Low
YEM,Large,Technology,Software,YEM,,,,Name585399,False,True,True,Medium
YEM,Large,Technology,Software,YEM,,,,Name585400,True,False,False,Severe
YEM,Large,Technology,Software,YEM,,,,Name585401,False,False,True,Low
YEM,Large,Technology,Software,YEM,,,,Name585402,True,False,False,Medium
YEM,Large,Technology,Software,YEM,,,,Name585403,True,False,False,Severe
YEM,Large,Technology,Software,YEM,,,,Name585404,False,True,True,Low
YEM,Large,Technology,Software,YEM,,,,Name585405,True,True,False,Severe
YEM,Large,Technology,Software,YEM,,,,Name585406,False,False,True,Medium
YEM,Large,Technology,Hardware,YEM,,,,Name585407,True,False,False,Medium
YEM,Large,Technology,Hardware,YEM,,,,Name585408,False,True,False,High
YEM,Large,Technology,Hardware,YEM,,,,Name585409,True,False,False,Medium
YEM,Large,Technology,Hardware,YEM,,,,Name585410,False,False,True,High
YEM,Large,Technology,Hardware,YEM,,,,Name585411,True,True,False,Medium
YEM,Large,Technology,IT Services,YEM,,,,Name585412,True,False,False,Low
YEM,Large,Technology,IT Services,YEM,,,,Name585413,False,True,False,Severe
YEM,Large,Technology,IT Services,YEM,,,,Name585414,True,False,False,High
YEM,Large,Technology,IT Services,YEM,,,,Name585415,False,True,False,Low
YEM,Large,Technology,IT Services,YEM,,,,Name585416,True,False,False,Severe
YEM,Large,Technology,IT Services,YEM,,,,Name585419,True,False,False,Low
YEM,Large,Technology,IT Services,YEM,,,,Name585420,False,True,True,Severe
YEM,Large,Technology,IT Services,YEM,,,,Name585421,False,True,False,Severe
YEM,Large,Technology,IT Services,YEM,,,,Name585423,False,True,False,Low
YEM,Large,Technology,IT Services,YEM,,,,Name585424,True,True,False,High
YEM,Large,Healthcare,Pharmaceuticals,YEM,,,,Name585425,True,True,False,Low
YEM,Large,Healthcare,Pharmaceuticals,YEM,,,,Name585426,True,False,False,Severe
YEM,Large,Healthcare,Pharmaceuticals,YEM,,,,Name585427,True,True,False,Low
YEM,Large,Healthcare,Pharmaceuticals,YEM,,,,Name585428,False,True,True,High
YEM,Large,Healthcare,Pharmaceuticals,YEM,,,,Name585429,True,True,False,Severe
YEM,Large,Healthcare,Pharmaceuticals,YEM,,,,Name585430,True,True,False,Severe
YEM,Large,Healthcare,Pharmaceuticals,YEM,,,,Name585431,True,False,False,Medium
YEM,Large,Healthcare,Pharmaceuticals,YEM,,,,Name585433,True,False,False,Medium
YEM,Large,Healthcare,Pharmaceuticals,YEM,,,,Name585434,True,False,False,Severe
YEM,Large,Healthcare,Pharmaceuticals,YEM,,,,Name585436,True,False,False,Severe
YEM,Large,Healthcare,Pharmaceuticals,YEM,,,,Name585437,False,True,False,Medium
YEM,Large,Healthcare,Pharmaceuticals,YEM,,,,Name585438,True,True,False,Severe
YEM,Large,Healthcare,Pharmaceuticals,YEM,,,,Name585439,False,True,True,Severe
YEM,Large,Healthcare,Pharmaceuticals,YEM,,,,Name585440,False,False,True,High
YEM,Large,Healthcare,Pharmaceuticals,YEM,,,,Name585441,False,True,True,Medium
YEM,Large,Healthcare,Pharmaceuticals,YEM,,,,Name585442,True,True,False,Low
YEM,Large,Healthcare,Pharmaceuticals,YEM,,,,Name585443,False,True,False,Severe
YEM,Large,Healthcare,Pharmaceuticals,YEM,,,,Name585445,True,True,False,High
YEM,Large,Healthcare,Pharmaceuticals,YEM,,,,Name585447,True,True,False,Low
YEM,Large,Healthcare,Pharmaceuticals,YEM,,,,Name585448,False,False,True,Medium
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585449,True,True,False,High
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585450,False,True,False,High
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585451,True,False,False,Medium
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585453,False,True,False,Medium
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585454,True,True,False,Low
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585455,True,True,False,Severe
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585456,True,False,False,Medium
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585457,True,False,False,Severe
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585458,True,False,False,Medium
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585459,True,True,False,Low
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585460,True,True,False,Severe
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585461,True,False,False,Severe
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585462,True,False,False,Low
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585463,True,True,False,High
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585465,True,False,False,Medium
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585466,True,False,False,High
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585467,False,False,True,Low
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585468,True,False,False,Medium
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585469,True,True,False,Severe
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585471,True,False,False,Medium
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585472,False,False,True,Medium
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585473,True,False,False,High
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585474,False,False,True,High
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585475,True,True,False,Severe
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585476,False,False,True,Low
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585477,True,True,False,Low
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585478,True,False,False,Severe
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585479,True,False,False,Severe
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585480,False,True,False,High
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585481,False,False,True,High
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585483,False,False,True,Low
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585484,True,False,False,Medium
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585485,False,False,True,Medium
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585486,False,True,True,Low
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585487,True,False,False,High
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585488,False,False,True,Low
YEM,Large,Healthcare,Medical Devices,YEM,,,,Name585489,True,True,False,Severe
