State,FIPS,States_Full,Growth_Rate
AL,1,Alabama,0.1473970256588618
AK,2,Alaska,0.12443970612875754
AZ,4,Arizona,0.6632357613864768
AR,5,Arkansas,0.0687817481611891
CA,6,California,0.623289964953528
CO,8,Colorado,0.03424916003264322
CT,9,Connecticut,0.3927569792901613
DE,10,Delaware,0.19696832385171958
DC,11,District of Columbia,0.8298786583208669
FL,12,Florida,0.6100662852454725
GA,13,Georgia,0.8340922331825742
HI,15,Hawaii,0.4821864142477723
ID,16,Idaho,0.11343564059715372
IL,17,Illinois,0.5436526915706863
IN,18,Indiana,0.4559492583722419
IA,19,Iowa,0.2900875184549605
KS,20,Kansas,0.5065963932872387
KY,21,Kentucky,0.5784110098908982
LA,22,Louisiana,0.2404841246241617
ME,23,Maine,0.2591164563389031
MD,24,Maryland,0.123551023648939
MA,25,Massachusetts,0.13983737823415643
MI,26,Michigan,0.29390902910431416
MN,27,Minnesota,0.9863784708219107
MS,28,Mississippi,0.9691115830729221
MO,29,Missouri,0.8270077062645061
MT,30,Montana,0.28896417632906357
NE,31,Nebraska,0.21758318443143088
NV,32,Nevada,0.34375351793215425
NH,33,New Hampshire,0.333920903865637
NJ,34,New Jersey,0.13201225281567897
NM,35,New Mexico,0.016215389106360445
NY,36,New York,0.08871346951327908
NC,37,North Carolina,0.8600727446031071
ND,38,North Dakota,0.044973794982393955
OH,39,Ohio,0.9768053043055286
OK,40,Oklahoma,0.45418036164939546
OR,41,Oregon,0.2322971080248628
PA,42,Pennsylvania,0.5923726365238231
RI,44,Rhode Island,0.4856180191171654
SC,45,South Carolina,0.8092369682879256
SD,46,South Dakota,0.08190315983266816
TN,47,Tennessee,0.5101890199697708
TX,48,Texas,0.5176202609175277
UT,49,Utah,0.8370815438604831
VT,50,Vermont,0.15526360533184314
VA,51,Virginia,0.9449143720312682
WA,53,Washington,0.5319673368376737
WV,54,West Virginia,0.9960216184161087
WI,55,Wisconsin,0.056130002156452696
WY,56,Wyoming,0.5193297663085025
PR,72,Puerto Rico,0.3819527078242516
