State,FIPS,States_Full,Growth_Rate
AL,1,Alabama,0.7005599931883546
AK,2,Alaska,0.6195377431837267
AZ,4,Arizona,0.40412638071084606
AR,5,Arkansas,0.9700613572167385
CA,6,California,0.5317650961624519
CO,8,Colorado,0.010336343487593713
CT,9,Connecticut,0.2915852114239097
DE,10,Delaware,0.2490773758230127
DC,11,District of Columbia,0.8111121003438153
FL,12,Florida,0.01545796799181609
GA,13,Georgia,0.18125140291884823
HI,15,Hawaii,0.3682603718246026
ID,16,Idaho,0.008783909168271098
IL,17,Illinois,0.5392906528724216
IN,18,Indiana,0.23586539745412216
IA,19,Iowa,0.8807196402187388
KS,20,Kansas,0.20725242389112608
KY,21,Kentucky,0.4283454553963395
LA,22,Louisiana,0.5483400437251118
ME,23,Maine,0.6882162870170321
MD,24,Maryland,0.4150750698793112
MA,25,Massachusetts,0.7177467353380969
MI,26,Michigan,0.39825399828057895
MN,27,Minnesota,0.7936327949698436
MS,28,Mississippi,0.9293376298211772
MO,29,Missouri,0.651173835354876
MT,30,Montana,0.6897473264819634
NE,31,Nebraska,0.7324223771496287
NV,32,Nevada,0.9689270656327383
NH,33,New Hampshire,0.31206936387325124
NJ,34,New Jersey,0.4619922525209683
NM,35,New Mexico,0.7678701546518584
NY,36,New York,0.959676533333933
NC,37,North Carolina,0.5070562248245803
ND,38,North Dakota,0.16259750501995796
OH,39,Ohio,0.3470620933277935
OK,40,Oklahoma,0.2626671507077468
OR,41,Oregon,0.3969812049306667
PA,42,Pennsylvania,0.28014284116514077
RI,44,Rhode Island,0.23161923238222026
SC,45,South Carolina,0.3568964531396076
SD,46,South Dakota,0.6079982518344407
TN,47,Tennessee,0.7656578102269054
TX,48,Texas,0.3392859207143877
UT,49,Utah,0.40457852552131934
VT,50,Vermont,0.7431070364766335
VA,51,Virginia,0.08967422797154079
WA,53,Washington,0.37418173995134973
WV,54,West Virginia,0.4490693304794925
WI,55,Wisconsin,0.523914073981384
WY,56,Wyoming,0.7033964077147093
PR,72,Puerto Rico,0.2509370407699413
