State,FIPS,States_Full,Growth_Rate
AL,1,Alabama,0.7764143129303055
AK,2,Alaska,0.16364873965901938
AZ,4,Arizona,0.1989452008184277
AR,5,Arkansas,0.3010087338617462
CA,6,California,0.46262944012084994
CO,8,Colorado,0.34735371076329036
CT,9,Connecticut,0.30856393504423285
DE,10,Delaware,0.13765554984964645
DC,11,District of Columbia,0.30644772646905094
FL,12,Florida,0.3153681219812111
GA,13,Georgia,0.5930715990265748
HI,15,Hawaii,0.17353906052339918
ID,16,Idaho,0.02006441297854744
IL,17,Illinois,0.24519449275482608
IN,18,Indiana,0.4751440492296569
IA,19,Iowa,0.8573407321078639
KS,20,Kansas,0.89870660557278
KY,21,Kentucky,0.7869799916080479
LA,22,Louisiana,0.680130204973043
ME,23,Maine,0.010349139791779094
MD,24,Maryland,0.839752384996161
MA,25,Massachusetts,0.8533648611582738
MI,26,Michigan,0.7305799448759552
MN,27,Minnesota,0.8667131491343798
MS,28,Mississippi,0.6212344677017101
MO,29,Missouri,0.7458116779804841
MT,30,Montana,0.4437758275199756
NE,31,Nebraska,0.3893819060098599
NV,32,Nevada,0.8774906765930508
NH,33,New Hampshire,0.408943514663742
NJ,34,New Jersey,0.6950482463645029
NM,35,New Mexico,0.5822097273915584
NY,36,New York,0.7023359458849207
NC,37,North Carolina,0.0012550358394012306
ND,38,North Dakota,0.03934621718782083
OH,39,Ohio,0.10648295987458856
OK,40,Oklahoma,0.41145817871373513
OR,41,Oregon,0.20118349007768244
PA,42,Pennsylvania,0.3882880136111465
RI,44,Rhode Island,0.8809752962048691
SC,45,South Carolina,0.5514998478940013
SD,46,South Dakota,0.6635100906637457
TN,47,Tennessee,0.13208981853402513
TX,48,Texas,0.34488520407874035
UT,49,Utah,0.41516709605757773
VT,50,Vermont,0.9657175456906979
VA,51,Virginia,0.28722627830418346
WA,53,Washington,0.2912689118151671
WV,54,West Virginia,0.9078116182161726
WI,55,Wisconsin,0.054722904657058535
WY,56,Wyoming,0.46105709142466045
PR,72,Puerto Rico,0.7354503173108566
