State,FIPS,States_Full,Growth_Rate
AL,1,Alabama,0.31947097247412903
AK,2,Alaska,0.5212742178211904
AZ,4,Arizona,0.36904817088998954
AR,5,Arkansas,0.91273816923439
CA,6,California,0.38664761947012194
CO,8,Colorado,0.9503790734534663
CT,9,Connecticut,0.16618483401255935
DE,10,Delaware,0.5192028156711517
DC,11,District of Columbia,0.8815121131063401
FL,12,Florida,0.07336568918218578
GA,13,Georgia,0.37398435454541556
HI,15,Hawaii,0.3075301651950635
ID,16,Idaho,0.1680287227025531
IL,17,Illinois,0.8929169043796547
IN,18,Indiana,0.6830989771677353
IA,19,Iowa,0.24572281142986752
KS,20,Kansas,0.45097749716215574
KY,21,Kentucky,0.30002505850545047
LA,22,Louisiana,0.5799809887533182
ME,23,Maine,0.2311197371344199
MD,24,Maryland,0.052108822657575216
MA,25,Massachusetts,0.578746522587297
MI,26,Michigan,0.746965358341874
MN,27,Minnesota,0.6899467124306657
MS,28,Mississippi,0.6822552234154101
MO,29,Missouri,0.42857259925809943
MT,30,Montana,0.8764003718939718
NE,31,Nebraska,0.9487053307317975
NV,32,Nevada,0.9459666828753865
NH,33,New Hampshire,0.02680477485106536
NJ,34,New Jersey,0.230253446926447
NM,35,New Mexico,0.10006778576963937
NY,36,New York,0.4709697031277068
NC,37,North Carolina,0.2537125074461568
ND,38,North Dakota,0.7555475818699148
OH,39,Ohio,0.41207535880275803
OK,40,Oklahoma,0.28008358180341153
OR,41,Oregon,0.055620229273344535
PA,42,Pennsylvania,0.9829036725569075
RI,44,Rhode Island,0.9086729927598002
SC,45,South Carolina,0.1997882597894084
SD,46,South Dakota,0.17080275964580005
TN,47,Tennessee,0.0413862114687803
TX,48,Texas,0.8264696954208589
UT,49,Utah,0.07878202412203916
VT,50,Vermont,0.39886539572040713
VA,51,Virginia,0.24715393784279693
WA,53,Washington,0.37572733637784184
WV,54,West Virginia,0.24507008209790815
WI,55,Wisconsin,0.006961246445225
WY,56,Wyoming,0.827729141060753
PR,72,Puerto Rico,0.8750974715348525
