parent,child,Count,Growth_Rate,Type
,HKG,809,0.6492317919711785,Overall
HKG,HiTech,50,0.5243127719025366,Sector
HKG,Agriculture,80,0.1948631707362959,Sector
HKG,Transportation,41,0.02432321906598256,Sector
HKG,Consumer_Products,57,0.7966351875490775,Sector
HKG,Unassigned,7,0.8897403372894394,Sector
HKG,Communication,84,0.4631739263440573,Sector
HKG,Trade,10,0.6804738196096153,Sector
HKG,Business_Services,96,0.3847367974460614,Sector
HKG,Business_Products,19,0.9087242986953428,Sector
HKG,Construction,72,0.9920738017877981,Sector
HKG,Services,61,0.6715923903396613,Sector
HKG,Mining,55,0.5384179538130031,Sector
HKG,Health_Care,89,0.7911330440037115,Sector
HKG,EnergyExpL_Prod,55,0.9703588810410628,Sector
HKG,Utilities,33,0.9079172799440314,Sector
