parent,child,Count,Growth_Rate,Type
,Rheintal-Bodenseegebiet,707,0.4426900201948982,Overall
Rheintal-Bodenseegebiet,HiTech,83,0.20891821236920793,Sector
Rheintal-Bodenseegebiet,Agriculture,79,0.5185711343170595,Sector
Rheintal-Bodenseegebiet,Transportation,0,0.8551955371868003,Sector
Rheintal-Bodenseegebiet,Consumer_Products,93,0.7166889787195287,Sector
Rheintal-Bodenseegebiet,Unassigned,87,0.05482745462628702,Sector
Rheintal-Bodenseegebiet,Communication,6,0.7561354701021719,Sector
Rheintal-Bodenseegebiet,Trade,23,0.2540129095646425,Sector
Rheintal-Bodenseegebiet,Business_Services,17,0.22979744726060536,Sector
Rheintal-Bodenseegebiet,Business_Products,33,0.4869701374418757,Sector
Rheintal-Bodenseegebiet,Construction,4,0.4006070750187204,Sector
Rheintal-Bodenseegebiet,Services,80,0.42855110114187245,Sector
Rheintal-Bodenseegebiet,Mining,78,0.4539074329671974,Sector
Rheintal-Bodenseegebiet,Health_Care,99,0.5175983922730355,Sector
Rheintal-Bodenseegebiet,EnergyExpL_Prod,14,0.05457799929548579,Sector
Rheintal-Bodenseegebiet,Utilities,11,0.7039910206389836,Sector
