parent,child,Count,Growth_Rate,Type
,Arr. Thuin,802,0.46363610243181513,Overall
Arr. Thuin,HiTech,95,0.46279455986852625,Sector
Arr. Thuin,Agriculture,4,0.8546838335915938,Sector
Arr. Thuin,Transportation,62,0.38429867457131706,Sector
Arr. Thuin,Consumer_Products,14,0.13008895396445097,Sector
Arr. Thuin,Unassigned,10,0.045451524823252876,Sector
Arr. Thuin,Communication,82,0.7783893736093307,Sector
Arr. Thuin,Trade,83,0.16506438808437107,Sector
Arr. Thuin,Business_Services,57,0.1672782087631981,Sector
Arr. Thuin,Business_Products,38,0.35431797947882016,Sector
Arr. Thuin,Construction,84,0.5211615421750824,Sector
Arr. Thuin,Services,53,0.43024991677517255,Sector
Arr. Thuin,Mining,50,0.9775913121514183,Sector
Arr. Thuin,Health_Care,91,0.5585223759656155,Sector
Arr. Thuin,EnergyExpL_Prod,28,0.7261568534539024,Sector
Arr. Thuin,Utilities,51,0.3984920392011737,Sector
