parent,child,Count,Growth_Rate,Type
,Vidin,1758,0.21886725452883082,Overall
Vidin,Technology,122,0.9678456610014411,Sector
Vidin,Healthcare,160,0.487911188141533,Sector
Vidin,Finance,115,0.1356348355060557,Sector
Vidin,Energy,149,0.34524189774800806,Sector
Vidin,Consumer Goods,154,0.9636292770901657,Sector
Vidin,Utilities,168,0.8935478435825379,Sector
Vidin,Real Estate,146,0.5310624629979716,Sector
Vidin,Telecommunications,119,0.009797439819915543,Sector
Vidin,Materials,221,0.918039693768416,Sector
Vidin,Industrials,137,0.774557144353122,Sector
Vidin,Consumer Services,113,0.330812881100117,Sector
Vidin,Transportation,154,0.1781111517838202,Sector
Technology,Software,70,0.1735318625695612,Industry
Technology,Hardware,22,0.739938379996625,Industry
Technology,IT Services,30,0.32097273110202396,Industry
Healthcare,Pharmaceuticals,28,0.8513311148518145,Industry
Healthcare,Medical Devices,81,0.062389405623902716,Industry
Healthcare,Healthcare Services,51,0.48809112842126556,Industry
Finance,Banking,12,0.1130269824412371,Industry
Finance,Insurance,74,0.3721143944219665,Industry
Finance,Investment Services,29,0.8612549818009088,Industry
Energy,Oil & Gas,79,0.6372317706142943,Industry
Energy,Renewable Energy,51,0.25838581580564834,Industry
Energy,Energy Exploration,19,0.4234577470955396,Industry
Consumer Goods,Food & Beverage,67,0.4224357673676987,Industry
Consumer Goods,Household Products,82,0.6870082091996427,Industry
Consumer Goods,Apparel,5,0.030586480837454633,Industry
Utilities,Electric,0,0.394991966012712,Industry
Utilities,Water,88,0.7377331836504427,Industry
Utilities,Gas,80,0.26675291050950023,Industry
Real Estate,Residential,67,0.30282297629859967,Industry
Real Estate,Commercial,26,0.6743801668558834,Industry
Real Estate,Industrial,53,0.8757550870811456,Industry
Telecommunications,Mobile,76,0.2799026755469396,Industry
Telecommunications,Broadband,5,0.9872292162057718,Industry
Telecommunications,Satellite,38,0.9774097657592493,Industry
Materials,Chemicals,90,0.7052853491659744,Industry
Materials,Metals & Mining,48,0.05234975124957142,Industry
Materials,Construction Materials,83,0.8519213049137713,Industry
Industrials,Aerospace & Defense,4,0.9440991834752849,Industry
Industrials,Machinery,80,0.7005173265700113,Industry
Industrials,Industrial Services,53,0.4418219633292443,Industry
Consumer Services,Retail,29,0.2406252788857819,Industry
Consumer Services,Travel & Leisure,37,0.4684523334274411,Industry
Consumer Services,Media,47,0.5138758587144905,Industry
Transportation,Airlines,82,0.5902155369646346,Industry
Transportation,Railroads,10,0.19735612734609442,Industry
Transportation,Logistics,62,0.9220971434150743,Industry
