parent,child,Count,Growth_Rate,Type
,Traunstein,2110,0.46650369465251085,Overall
Traunstein,Technology,219,0.4299815764586459,Sector
Traunstein,Healthcare,167,0.9915295187733079,Sector
Traunstein,Finance,155,0.7158525013939444,Sector
Traunstein,Energy,157,0.5063267641676319,Sector
Traunstein,Consumer Goods,114,0.9746540116594598,Sector
Traunstein,Utilities,173,0.05761892233497001,Sector
Traunstein,Real Estate,132,0.28046440028547903,Sector
Traunstein,Telecommunications,225,0.8788328510017553,Sector
Traunstein,Materials,211,0.025560232604652344,Sector
Traunstein,Industrials,157,0.5946756037493169,Sector
Traunstein,Consumer Services,202,0.9785094402674873,Sector
Traunstein,Transportation,198,0.8525569729950837,Sector
Technology,Software,98,0.5608485325021937,Industry
Technology,Hardware,65,0.015203993932105364,Industry
Technology,IT Services,56,0.33464738484201373,Industry
Healthcare,Pharmaceuticals,73,0.8994198116634385,Industry
Healthcare,Medical Devices,38,0.6086921607669865,Industry
Healthcare,Healthcare Services,56,0.029329681801627205,Industry
Finance,Banking,19,0.16446800569904652,Industry
Finance,Insurance,95,0.23043112632022866,Industry
Finance,Investment Services,41,0.07433564116219016,Industry
Energy,Oil & Gas,97,0.5595821331439484,Industry
Energy,Renewable Energy,45,0.44496316734205044,Industry
Energy,Energy Exploration,15,0.9645613011944149,Industry
Consumer Goods,Food & Beverage,64,0.7463554611053074,Industry
Consumer Goods,Household Products,42,0.7743931458418924,Industry
Consumer Goods,Apparel,8,0.740673832628158,Industry
Utilities,Electric,49,0.6833500830412926,Industry
Utilities,Water,99,0.5038008850199245,Industry
Utilities,Gas,25,0.5575058692929566,Industry
Real Estate,Residential,6,0.6931300946189386,Industry
Real Estate,Commercial,88,0.9861437646678932,Industry
Real Estate,Industrial,38,0.835403721374901,Industry
Telecommunications,Mobile,94,0.49297318874345053,Industry
Telecommunications,Broadband,33,0.9476755297631504,Industry
Telecommunications,Satellite,98,0.7199279025820746,Industry
Materials,Chemicals,92,0.31409414194493823,Industry
Materials,Metals & Mining,78,0.5791512800940519,Industry
Materials,Construction Materials,41,0.10932074550022397,Industry
Industrials,Aerospace & Defense,76,0.8950121735455202,Industry
Industrials,Machinery,55,0.10671583266513518,Industry
Industrials,Industrial Services,26,0.32255330180824293,Industry
Consumer Services,Retail,88,0.9469675699168029,Industry
Consumer Services,Travel & Leisure,27,0.44981426544255076,Industry
Consumer Services,Media,87,0.9899356677253143,Industry
Transportation,Airlines,96,0.3642420966448563,Industry
Transportation,Railroads,53,0.17362511930938251,Industry
Transportation,Logistics,49,0.6225399575868112,Industry
