parent,child,Count,Growth_Rate,Type
,Straubing-Bogen,932,0.4463497516726357,Overall
Straubing-Bogen,HiTech,43,0.933352994763389,Sector
Straubing-Bogen,Agriculture,66,0.14436269725698792,Sector
Straubing-Bogen,Transportation,61,0.7252954199936673,Sector
Straubing-Bogen,Consumer_Products,50,0.0038536071001632477,Sector
Straubing-Bogen,Unassigned,68,0.5059702020595278,Sector
Straubing-Bogen,Communication,57,0.46429688938483005,Sector
Straubing-Bogen,Trade,91,0.28395100228805426,Sector
Straubing-Bogen,Business_Services,97,0.7129988551445351,Sector
Straubing-Bogen,Business_Products,90,0.9658703296190203,Sector
Straubing-Bogen,Construction,60,0.5996869431783352,Sector
Straubing-Bogen,Services,26,0.46970919308359016,Sector
Straubing-Bogen,Mining,13,0.6302019419817607,Sector
Straubing-Bogen,Health_Care,77,0.22391879816465754,Sector
Straubing-Bogen,EnergyExpL_Prod,76,0.027695783590071854,Sector
Straubing-Bogen,Utilities,57,0.004081617480944821,Sector
