parent,child,Count,Growth_Rate,Type
,Kronach,781,0.5531183470927897,Overall
Kronach,HiTech,58,0.9994319154558917,Sector
Kronach,Agriculture,6,0.7802628761881755,Sector
Kronach,Transportation,64,0.6023171674760966,Sector
Kronach,Consumer_Products,8,0.7328987535082376,Sector
Kronach,Unassigned,84,0.31976471482375857,Sector
Kronach,Communication,60,0.5748007284841359,Sector
Kronach,Trade,97,0.7370643168998544,Sector
Kronach,Business_Services,27,0.4126689208720804,Sector
Kronach,Business_Products,35,0.4132136152474447,Sector
Kronach,Construction,2,0.5233130018284985,Sector
Kronach,Services,70,0.5637856413587287,Sector
Kronach,Mining,64,0.5034410665458855,Sector
Kronach,Health_Care,51,0.20591545134793587,Sector
Kronach,EnergyExpL_Prod,72,0.48514238181003433,Sector
Kronach,Utilities,83,0.44275465454508744,Sector
