parent,child,Count,Growth_Rate,Type
,Wunsiedel i. Fichtelgebirge,639,0.44637917898318696,Overall
Wunsiedel i. Fichtelgebirge,HiTech,13,0.6771482832348851,Sector
Wunsiedel i. Fichtelgebirge,Agriculture,63,0.5331618429847271,Sector
Wunsiedel i. Fichtelgebirge,Transportation,41,0.310110352828192,Sector
Wunsiedel i. Fichtelgebirge,Consumer_Products,90,0.9636239256288535,Sector
Wunsiedel i. Fichtelgebirge,Unassigned,14,0.35302320360630046,Sector
Wunsiedel i. Fichtelgebirge,Communication,67,0.2343730414230859,Sector
Wunsiedel i. Fichtelgebirge,Trade,50,0.6644430662242042,Sector
Wunsiedel i. Fichtelgebirge,Business_Services,8,0.1567853191916223,Sector
Wunsiedel i. Fichtelgebirge,Business_Products,36,0.3341299975916361,Sector
Wunsiedel i. Fichtelgebirge,Construction,74,0.29243776717260417,Sector
Wunsiedel i. Fichtelgebirge,Services,3,0.08213295576336077,Sector
Wunsiedel i. Fichtelgebirge,Mining,39,0.44420095201212706,Sector
Wunsiedel i. Fichtelgebirge,Health_Care,37,0.16516032215839127,Sector
Wunsiedel i. Fichtelgebirge,EnergyExpL_Prod,57,0.9640184344765991,Sector
Wunsiedel i. Fichtelgebirge,Utilities,47,0.5209382204512149,Sector
