parent,child,Count,Growth_Rate,Type
,"Wiesbaden, Kreisfreie Stadt",1856,0.9102412898331712,Overall
"Wiesbaden, Kreisfreie Stadt",Technology,136,0.7221910719954345,Sector
"Wiesbaden, Kreisfreie Stadt",Healthcare,184,0.878554784475997,Sector
"Wiesbaden, Kreisfreie Stadt",Finance,251,0.5371189794865168,Sector
"Wiesbaden, Kreisfreie Stadt",Energy,110,0.5736411046771811,Sector
"Wiesbaden, Kreisfreie Stadt",Consumer Goods,199,0.32158542717959293,Sector
"Wiesbaden, Kreisfreie Stadt",Utilities,82,0.30604924920661214,Sector
"Wiesbaden, Kreisfreie Stadt",Real Estate,114,0.8701792918952008,Sector
"Wiesbaden, Kreisfreie Stadt",Telecommunications,181,0.670664646446433,Sector
"Wiesbaden, Kreisfreie Stadt",Materials,149,0.6058151169184914,Sector
"Wiesbaden, Kreisfreie Stadt",Industrials,160,0.03829486701140117,Sector
"Wiesbaden, Kreisfreie Stadt",Consumer Services,148,0.9766860248837411,Sector
"Wiesbaden, Kreisfreie Stadt",Transportation,142,0.3467833360728779,Sector
Technology,Software,30,0.1024005404655538,Industry
Technology,Hardware,17,0.26694375162202366,Industry
Technology,IT Services,89,0.20903762037807727,Industry
Healthcare,Pharmaceuticals,54,0.9127797950329724,Industry
Healthcare,Medical Devices,34,0.29363357875797824,Industry
Healthcare,Healthcare Services,96,0.33605102869341397,Industry
Finance,Banking,95,0.651151540814246,Industry
Finance,Insurance,69,0.5296541150238993,Industry
Finance,Investment Services,87,0.2957858922622174,Industry
Energy,Oil & Gas,48,0.5910129108132981,Industry
Energy,Renewable Energy,56,0.9303719353806432,Industry
Energy,Energy Exploration,6,0.37630241089143024,Industry
Consumer Goods,Food & Beverage,99,0.6276198832252483,Industry
Consumer Goods,Household Products,20,0.5819229926973392,Industry
Consumer Goods,Apparel,80,0.04391513073885045,Industry
Utilities,Electric,18,0.7042810950695864,Industry
Utilities,Water,7,0.3582733436674229,Industry
Utilities,Gas,57,0.25174872199696086,Industry
Real Estate,Residential,48,0.2709893137867754,Industry
Real Estate,Commercial,20,0.4630525963418862,Industry
Real Estate,Industrial,46,0.23166608785202236,Industry
Telecommunications,Mobile,66,0.8824882037959898,Industry
Telecommunications,Broadband,30,0.8732580488634109,Industry
Telecommunications,Satellite,85,0.9072739324802668,Industry
Materials,Chemicals,15,0.8584051009970814,Industry
Materials,Metals & Mining,80,0.6736775798465641,Industry
Materials,Construction Materials,54,0.2787187566130017,Industry
Industrials,Aerospace & Defense,47,0.49577786411586944,Industry
Industrials,Machinery,69,0.2694605188025524,Industry
Industrials,Industrial Services,44,0.20751714515133857,Industry
Consumer Services,Retail,49,0.9334386943873016,Industry
Consumer Services,Travel & Leisure,22,0.02173611404775644,Industry
Consumer Services,Media,77,0.6127798497423153,Industry
Transportation,Airlines,73,0.5148102642358175,Industry
Transportation,Railroads,9,0.705261561033776,Industry
Transportation,Logistics,60,0.9711332157987066,Industry
