parent,child,Count,Growth_Rate,Type
,Leer,409,0.5935310441926743,Overall
Leer,HiTech,20,0.7103203636121606,Sector
Leer,Agriculture,0,0.8801691852371505,Sector
Leer,Transportation,6,0.3453744847556075,Sector
Leer,Consumer_Products,82,0.3418194118905544,Sector
Leer,Unassigned,73,0.14833151358424623,Sector
Leer,Communication,57,0.25646154647859254,Sector
Leer,Trade,9,0.7502428455353559,Sector
Leer,Business_Services,14,0.7256638479983804,Sector
Leer,Business_Products,0,0.8228055211203631,Sector
Leer,Construction,55,0.9748074236311959,Sector
Leer,Services,11,0.7115320994433811,Sector
Leer,Mining,7,0.011470566250989966,Sector
Leer,Health_Care,33,0.6378581742038787,Sector
Leer,EnergyExpL_Prod,39,0.8943369860981638,Sector
Leer,Utilities,3,0.6917716930500925,Sector
