parent,child,Count,Growth_Rate,Type
,Wesermarsch,657,0.41315673682535314,Overall
Wesermarsch,HiTech,11,0.1690991585874495,Sector
Wesermarsch,Agriculture,97,0.2926469193164051,Sector
Wesermarsch,Transportation,84,0.19856391235261117,Sector
Wesermarsch,Consumer_Products,8,0.06501212138025958,Sector
Wesermarsch,Unassigned,80,0.9079487255391032,Sector
Wesermarsch,Communication,38,0.4757580193166615,Sector
Wesermarsch,Trade,15,0.7197745872087477,Sector
Wesermarsch,Business_Services,62,0.033902779571239106,Sector
Wesermarsch,Business_Products,33,0.32040430222133853,Sector
Wesermarsch,Construction,18,0.9624016480684003,Sector
Wesermarsch,Services,1,0.05353317766828447,Sector
Wesermarsch,Mining,4,0.2895222807752219,Sector
Wesermarsch,Health_Care,71,0.41070306491282305,Sector
Wesermarsch,EnergyExpL_Prod,99,0.47345796569474974,Sector
Wesermarsch,Utilities,36,0.8246223897670023,Sector
