parent,child,Count,Growth_Rate,Type
,"Ludwigshafen am Rhein, Kreisfreie Stadt",668,0.5483022259633396,Overall
"Ludwigshafen am Rhein, Kreisfreie Stadt",HiTech,30,0.28575814016477896,Sector
"Ludwigshafen am Rhein, Kreisfreie Stadt",Agriculture,2,0.29557949814221496,Sector
"Ludwigshafen am Rhein, Kreisfreie Stadt",Transportation,65,0.7711761729678209,Sector
"Ludwigshafen am Rhein, Kreisfreie Stadt",Consumer_Products,37,0.47559566070556003,Sector
"Ludwigshafen am Rhein, Kreisfreie Stadt",Unassigned,38,0.9576445940564643,Sector
"Ludwigshafen am Rhein, Kreisfreie Stadt",Communication,58,0.5322706873015992,Sector
"Ludwigshafen am Rhein, Kreisfreie Stadt",Trade,24,0.7105015676109834,Sector
"Ludwigshafen am Rhein, Kreisfreie Stadt",Business_Services,82,0.3212564062993174,Sector
"Ludwigshafen am Rhein, Kreisfreie Stadt",Business_Products,16,0.20649723022096433,Sector
"Ludwigshafen am Rhein, Kreisfreie Stadt",Construction,35,0.2796376383864877,Sector
"Ludwigshafen am Rhein, Kreisfreie Stadt",Services,36,0.542519824782564,Sector
"Ludwigshafen am Rhein, Kreisfreie Stadt",Mining,88,0.9722250949640285,Sector
"Ludwigshafen am Rhein, Kreisfreie Stadt",Health_Care,39,0.9907034352751646,Sector
"Ludwigshafen am Rhein, Kreisfreie Stadt",EnergyExpL_Prod,21,0.8098271720686311,Sector
"Ludwigshafen am Rhein, Kreisfreie Stadt",Utilities,97,0.07334026650351244,Sector
