parent,child,Count,Growth_Rate,Type
,Stormarn,620,0.4283121047170658,Overall
Stormarn,HiTech,6,0.39104404038163876,Sector
Stormarn,Agriculture,30,0.8873345735368254,Sector
Stormarn,Transportation,71,0.09672516056457503,Sector
Stormarn,Consumer_Products,8,0.4698332293040479,Sector
Stormarn,Unassigned,99,0.08119887735578468,Sector
Stormarn,Communication,66,0.4275937076894799,Sector
Stormarn,Trade,45,0.7228843366395424,Sector
Stormarn,Business_Services,18,0.156003444700335,Sector
Stormarn,Business_Products,21,0.38646081008915223,Sector
Stormarn,Construction,24,0.7735572590928804,Sector
Stormarn,Services,5,0.1894182933920826,Sector
Stormarn,Mining,4,0.49860549521407216,Sector
Stormarn,Health_Care,76,0.7286281362651149,Sector
Stormarn,EnergyExpL_Prod,63,0.5757894437822699,Sector
Stormarn,Utilities,84,0.03960476274818492,Sector
