parent,child,Count,Growth_Rate,Type
,"Jena, Kreisfreie Stadt",1724,0.2675747463845416,Overall
"Jena, Kreisfreie Stadt",Technology,94,0.05139859774581568,Sector
"Jena, Kreisfreie Stadt",Healthcare,197,0.0818481414508323,Sector
"Jena, Kreisfreie Stadt",Finance,173,0.04967845640523694,Sector
"Jena, Kreisfreie Stadt",Energy,116,0.9406812671172543,Sector
"Jena, Kreisfreie Stadt",Consumer Goods,201,0.29016652917621255,Sector
"Jena, Kreisfreie Stadt",Utilities,110,0.048106891680461006,Sector
"Jena, Kreisfreie Stadt",Real Estate,85,0.5940205729550339,Sector
"Jena, Kreisfreie Stadt",Telecommunications,126,0.5564211415756213,Sector
"Jena, Kreisfreie Stadt",Materials,192,0.9454059897923031,Sector
"Jena, Kreisfreie Stadt",Industrials,178,0.5690513912268095,Sector
"Jena, Kreisfreie Stadt",Consumer Services,76,0.2616753321507568,Sector
"Jena, Kreisfreie Stadt",Transportation,176,0.9882667661378179,Sector
Technology,Software,55,0.7768265594159902,Industry
Technology,Hardware,35,0.1830499643293706,Industry
Technology,IT Services,4,0.46098957842238164,Industry
Healthcare,Pharmaceuticals,63,0.45973528503310745,Industry
Healthcare,Medical Devices,79,0.5109890045033146,Industry
Healthcare,Healthcare Services,55,0.4935273188982523,Industry
Finance,Banking,77,0.43552130779917575,Industry
Finance,Insurance,83,0.4375734359253458,Industry
Finance,Investment Services,13,0.620351446844708,Industry
Energy,Oil & Gas,15,0.8171139101784696,Industry
Energy,Renewable Energy,40,0.7767890084174451,Industry
Energy,Energy Exploration,61,0.21981937803581364,Industry
Consumer Goods,Food & Beverage,93,0.17358356453616264,Industry
Consumer Goods,Household Products,22,0.5403513517729529,Industry
Consumer Goods,Apparel,86,0.23469813982451304,Industry
Utilities,Electric,21,0.2708668493681107,Industry
Utilities,Water,65,0.3187333375466621,Industry
Utilities,Gas,24,0.21213259705135257,Industry
Real Estate,Residential,21,0.4555129609182954,Industry
Real Estate,Commercial,56,0.13016105651508714,Industry
Real Estate,Industrial,8,0.6186957108701993,Industry
Telecommunications,Mobile,62,0.9993079125300628,Industry
Telecommunications,Broadband,7,0.3959341689926974,Industry
Telecommunications,Satellite,57,0.7109574574003379,Industry
Materials,Chemicals,46,0.35913833395188577,Industry
Materials,Metals & Mining,74,0.33756750266985136,Industry
Materials,Construction Materials,72,0.6202602190639452,Industry
Industrials,Aerospace & Defense,20,0.6433439454401856,Industry
Industrials,Machinery,84,0.5770258857975252,Industry
Industrials,Industrial Services,74,0.05444059713800631,Industry
Consumer Services,Retail,14,0.4304316417205648,Industry
Consumer Services,Travel & Leisure,28,0.4672246376656308,Industry
Consumer Services,Media,34,0.9622408470816325,Industry
Transportation,Airlines,84,0.745660491375113,Industry
Transportation,Railroads,52,0.6675417599150326,Industry
Transportation,Logistics,40,0.005317455841053587,Industry
