parent,child,Count,Growth_Rate,Type
,Kymenlaakso,1711,0.3945376416549865,Overall
Kymenlaakso,Technology,109,0.21377307896624287,Sector
Kymenlaakso,Healthcare,217,0.5263342411559894,Sector
Kymenlaakso,Finance,169,0.3726122204160355,Sector
Kymenlaakso,Energy,146,0.8528400152221685,Sector
Kymenlaakso,Consumer Goods,116,0.07909033621078498,Sector
Kymenlaakso,Utilities,99,0.0899110033360555,Sector
Kymenlaakso,Real Estate,51,0.26758690399550733,Sector
Kymenlaakso,Telecommunications,239,0.365390239638974,Sector
Kymenlaakso,Materials,171,0.6891916643714134,Sector
Kymenlaakso,Industrials,206,0.31426403914821466,Sector
Kymenlaakso,Consumer Services,65,0.2618243645530176,Sector
Kymenlaakso,Transportation,123,0.7899439630902014,Sector
Technology,Software,87,0.45520669178293605,Industry
Technology,Hardware,19,0.10854152369019421,Industry
Technology,IT Services,3,0.8150860360081993,Industry
Healthcare,Pharmaceuticals,57,0.2079640923939058,Industry
Healthcare,Medical Devices,83,0.6095310838596062,Industry
Healthcare,Healthcare Services,77,0.611712628485754,Industry
Finance,Banking,99,0.3361346539281358,Industry
Finance,Insurance,58,0.5450382839876309,Industry
Finance,Investment Services,12,0.7450912138740429,Industry
Energy,Oil & Gas,33,0.6030778542859676,Industry
Energy,Renewable Energy,23,0.33062831378212865,Industry
Energy,Energy Exploration,90,0.3204448135045722,Industry
Consumer Goods,Food & Beverage,15,0.06995386583346175,Industry
Consumer Goods,Household Products,24,0.6772229613283026,Industry
Consumer Goods,Apparel,77,0.9590709780356005,Industry
Utilities,Electric,10,0.855798462626335,Industry
Utilities,Water,37,0.06174246420176799,Industry
Utilities,Gas,52,0.6829883867636017,Industry
Real Estate,Residential,18,0.6265720411883001,Industry
Real Estate,Commercial,11,0.6272551870633356,Industry
Real Estate,Industrial,22,0.9136048680952373,Industry
Telecommunications,Mobile,68,0.0194141904894084,Industry
Telecommunications,Broadband,97,0.02027710497143531,Industry
Telecommunications,Satellite,74,0.5760435557358218,Industry
Materials,Chemicals,61,0.001827573071097599,Industry
Materials,Metals & Mining,33,0.06355534558524156,Industry
Materials,Construction Materials,77,0.4225639657973629,Industry
Industrials,Aerospace & Defense,64,0.49384059349717746,Industry
Industrials,Machinery,54,0.36548042866817965,Industry
Industrials,Industrial Services,88,0.9898587385563129,Industry
Consumer Services,Retail,27,0.09323622034141499,Industry
Consumer Services,Travel & Leisure,4,0.524383343102195,Industry
Consumer Services,Media,34,0.665783892208197,Industry
Transportation,Airlines,31,0.5101328089716113,Industry
Transportation,Railroads,80,0.27227469398660076,Industry
Transportation,Logistics,12,0.05852955329440601,Industry
